,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Toledo,12,39.0,95,3.25
1,2,Arkansas,12,45.0,168,3.75
2,3,Navy,13,47.0,214,3.62
3,4,Northern Illinois,14,49.0,144,3.50
4,5,Army,12,51.0,146,4.25
5,6,Penn State,12,52.0,194,4.33
6,7,Ball State,13,54.0,171,4.15
7,7,Duke,14,54.0,178,3.86
8,7,Georgia,13,54.0,201,4.15
9,10,Air Force,12,55.0,188,4.58
10,11,Kent State,12,56.0,170,4.67
11,11,Notre Dame,13,56.0,187,4.31
12,11,Middle Tennessee,13,56.0,200,4.31
13,11,Alabama,13,56.0,209,4.31
14,11,Ohio State,14,56.0,229,4.00
15,16,Arizona,13,57.0,185,4.39
16,16,Western Kentucky,12,57.0,215,4.75
17,16,Ohio,13,57.0,235,4.39
18,16,Texas A&M,13,57.0,248,4.39
19,20,Fresno State,13,58.0,178,4.46
20,20,Stanford,14,58.0,181,4.14
21,20,LSU,13,58.0,256,4.46
22,23,Colorado,12,59.0,234,4.92
23,24,South Carolina,13,61.0,234,4.69
24,24,TCU,12,61.0,258,5.08
25,26,Tennessee,12,63.0,243,5.25
26,26,Western Michigan,12,63.0,256,5.25
27,28,Wisconsin,13,64.0,218,4.92
28,28,Wyoming,12,64.0,276,5.33
29,30,Oregon,13,65.0,243,5.00
30,30,Eastern Michigan,12,65.0,246,5.42
31,30,Auburn,14,65.0,255,4.64
32,30,Miami (Florida),13,65.0,287,5.00
33,30,UTEP,12,65.0,298,5.42
34,35,Iowa,13,66.0,147,5.08
35,35,Louisiana-Lafayette,13,66.0,248,5.08
36,37,Baylor,13,67.0,215,5.15
37,37,Marshall,14,67.0,263,4.79
38,37,Nebraska,13,67.0,294,5.15
39,40,Tulsa,12,68.0,198,5.67
40,40,San Jose State,12,68.0,263,5.67
41,42,UCF,13,69.0,258,5.31
42,42,South Alabama,12,69.0,265,5.75
43,44,North Texas,13,70.0,206,5.39
44,44,Florida Atlantic,12,70.0,229,5.83
45,44,Boston College,13,70.0,243,5.39
46,44,South Florida,12,70.0,281,5.83
47,48,Oklahoma State,13,71.0,206,5.46
48,48,Michigan State,14,71.0,262,5.07
49,50,UAB,12,72.0,261,6.00
50,50,Louisiana-Monroe,12,72.0,262,6.00
51,50,Cincinnati,13,72.0,269,5.54
52,50,SMU,12,72.0,284,6.00
53,50,Akron,12,72.0,289,6.00
54,50,Louisville,13,72.0,293,5.54
55,56,UTSA,12,73.0,228,6.08
56,56,Oklahoma,13,73.0,273,5.62
57,56,Georgia State,12,73.0,276,6.08
58,56,Missouri,14,73.0,277,5.21
59,56,Central Michigan,12,73.0,280,6.08
60,56,Washington State,13,73.0,342,5.62
61,62,Minnesota,13,74.0,273,5.69
62,62,Indiana,12,74.0,280,6.17
63,62,Wake Forest,12,74.0,315,6.17
64,65,Syracuse,13,75.0,279,5.77
65,65,New Mexico State,12,75.0,284,6.25
66,65,North Carolina,13,75.0,317,5.77
67,65,Oregon State,13,75.0,340,5.77
68,69,Temple,12,76.0,331,6.33
69,70,Colorado State,14,77.0,261,5.50
70,70,Boise State,13,77.0,269,5.92
71,70,Virginia Tech,13,77.0,342,5.92
72,70,Hawai'i,12,77.0,355,6.42
73,74,Utah,12,78.0,263,6.50
74,74,Nevada,12,78.0,278,6.50
75,74,Troy,12,78.0,318,6.50
76,77,Massachusetts,12,79.0,200,6.58
77,77,BYU,13,79.0,318,6.08
78,79,Florida State,14,80.0,351,5.71
79,79,Purdue,12,80.0,360,6.67
80,79,Illinois,12,80.0,378,6.67
81,82,New Mexico,12,81.0,268,6.75
82,82,Texas State,12,81.0,272,6.75
83,82,Georgia Tech,13,81.0,281,6.23
84,82,Mississippi,13,81.0,285,6.23
85,82,Vanderbilt,13,81.0,300,6.23
86,82,West Virginia,12,81.0,316,6.75
87,82,Rutgers,13,81.0,343,6.23
88,89,Texas,13,82.0,238,6.31
89,89,Mississippi State,13,82.0,268,6.31
90,89,Kansas State,13,82.0,280,6.31
91,89,Washington,13,82.0,322,6.31
92,89,UNLV,13,82.0,329,6.31
93,89,Memphis,12,82.0,361,6.83
94,95,San Diego State,13,83.0,344,6.39
95,96,Buffalo,13,84.0,249,6.46
96,96,Virginia,12,84.0,324,7.00
97,96,Southern Mississippi,12,84.0,343,7.00
98,99,Tulane,13,86.0,296,6.62
99,99,East Carolina,13,86.0,347,6.62
100,99,Florida,12,86.0,380,7.17
101,99,Miami (Ohio),12,86.0,409,7.17
102,103,Northwestern,12,87.0,336,7.25
103,104,Kentucky,12,89.0,353,7.42
104,104,Kansas,12,89.0,367,7.42
105,106,Rice,14,90.0,326,6.43
106,106,Clemson,13,90.0,357,6.92
107,106,Houston,13,90.0,361,6.92
108,109,Arkansas State,13,91.0,317,7.00
109,109,California,12,91.0,325,7.58
110,109,Pittsburgh,13,91.0,487,7.00
111,112,USC,14,92.0,358,6.57
112,112,Texas Tech,13,92.0,363,7.08
113,112,Maryland,13,92.0,381,7.08
114,112,Connecticut,12,92.0,401,7.67
115,116,UCLA,13,94.0,332,7.23
116,116,Iowa State,12,94.0,350,7.83
117,116,Arizona State,14,94.0,354,6.71
118,119,Utah State,14,95.0,363,6.79
119,120,Louisiana Tech,12,96.0,380,8.00
120,121,Bowling Green,14,99.0,353,7.07
121,122,North Carolina State,12,102.0,386,8.50
122,123,Florida International,12,106.0,472,8.83
123,124,Idaho,12,107.0,509,8.92
124,125,Michigan,13,113.0,460,8.69
