,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Houston,13,13,6,3,3,1,1,1
1,1,Miami (Florida),13,13,4,2,2,2,2,1
2,1,New Mexico,12,13,9,5,5,4,3,2
3,1,TCU,12,13,5,2,1,1,1,1
4,1,UCLA,13,13,5,3,2,1,0,0
5,6,Maryland,13,12,6,2,0,0,0,0
6,7,Marshall,14,11,5,1,1,1,1,0
7,7,Memphis,12,11,3,3,0,0,0,0
8,7,Stanford,14,11,6,6,3,2,2,2
9,10,Florida State,14,10,6,3,2,2,2,2
10,10,Kansas State,13,10,5,1,1,1,1,1
11,12,BYU,13,9,4,1,1,1,1,1
12,12,Colorado State,14,9,2,2,2,1,1,0
13,12,North Carolina,13,9,4,2,2,2,1,1
14,12,Notre Dame,13,9,3,1,0,0,0,0
15,12,Rutgers,13,9,4,3,2,2,2,2
16,12,UAB,12,9,3,1,1,1,1,1
17,12,Washington,13,9,5,2,2,1,1,1
18,19,Auburn,14,8,3,2,2,2,2,2
19,19,Ball State,13,8,3,2,1,1,1,1
20,19,California,12,8,2,1,0,0,0,0
21,19,Colorado,12,8,2,0,0,0,0,0
22,19,Florida,12,8,3,2,1,1,1,1
23,19,Hawai'i,12,8,5,3,2,2,1,0
24,19,Iowa State,12,8,3,3,3,3,2,2
25,19,LSU,13,8,2,2,2,2,1,0
26,19,Louisiana-Lafayette,13,8,3,1,1,1,1,1
27,19,Michigan,13,8,1,0,0,0,0,0
28,19,Navy,13,8,3,1,0,0,0,0
29,19,Oregon,13,8,4,2,1,1,1,0
30,19,San Diego State,13,8,1,0,0,0,0,0
31,19,South Florida,12,8,0,0,0,0,0,0
32,19,Tennessee,12,8,3,1,0,0,0,0
33,19,Texas Tech,13,8,4,3,2,2,1,1
34,19,UCF,13,8,3,1,1,0,0,0
35,19,UNLV,13,8,5,1,1,1,0,0
36,19,Vanderbilt,13,8,3,1,1,1,0,0
37,38,Alabama,13,7,3,2,1,1,1,1
38,38,Baylor,13,7,4,2,1,1,1,1
39,38,Boise State,13,7,4,4,2,2,1,1
40,38,Boston College,13,7,3,2,2,2,1,1
41,38,Buffalo,13,7,2,2,1,1,1,1
42,38,Massachusetts,12,7,2,1,1,1,1,1
43,38,Middle Tennessee,13,7,3,2,1,0,0,0
44,38,Nebraska,13,7,2,2,2,1,1,1
45,38,Northern Illinois,14,7,4,1,1,1,1,1
46,38,Oklahoma,13,7,4,2,1,1,0,0
47,38,Pittsburgh,13,7,3,1,0,0,0,0
48,38,South Alabama,12,7,2,1,1,0,0,0
49,38,Temple,12,7,1,0,0,0,0,0
