,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,SMU,12,92,869,7.7,72.4
1,2,Texas Tech,13,107,932,8.2,71.7
2,2,Louisiana-Monroe,12,93,860,7.8,71.7
3,4,Ohio,13,99,912,7.6,70.2
4,5,Houston,13,103,884,7.9,68.0
5,5,Texas,13,99,884,7.6,68.0
6,7,Temple,12,90,810,7.5,67.5
7,8,Tulane,13,96,842,7.4,64.8
8,9,Ball State,13,99,841,7.6,64.7
9,10,Buffalo,13,90,825,6.9,63.5
10,11,Fresno State,13,90,818,6.9,62.9
11,12,Rutgers,13,91,810,7.0,62.3
12,13,California,12,80,737,6.7,61.4
13,14,Idaho,12,80,723,6.7,60.3
14,15,West Virginia,12,86,720,7.2,60.0
15,16,Virginia,12,81,708,6.8,59.0
16,17,Nevada,12,77,699,6.4,58.3
17,18,UCF,13,92,745,7.1,57.3
18,19,UCLA,13,82,743,6.3,57.2
19,20,Illinois,12,82,685,6.8,57.1
20,21,South Alabama,12,83,684,6.9,57.0
21,21,Connecticut,12,73,684,6.1,57.0
22,23,Oklahoma State,13,91,736,7.0,56.6
23,23,Arizona State,14,92,793,6.6,56.6
24,25,TCU,12,81,676,6.8,56.3
25,26,Oregon State,13,81,725,6.2,55.8
26,26,Arizona,13,75,726,5.8,55.8
27,28,Troy,12,81,666,6.8,55.5
28,29,Missouri,14,103,768,7.4,54.9
29,30,South Florida,12,73,657,6.1,54.8
30,31,Baylor,13,80,707,6.2,54.4
31,32,Tennessee,12,75,648,6.3,54.0
32,33,Memphis,12,72,645,6.0,53.8
33,34,Duke,14,86,750,6.1,53.6
34,35,Kent State,12,73,642,6.1,53.5
35,36,Western Kentucky,12,76,641,6.3,53.4
36,37,Penn State,12,72,638,6.0,53.2
37,38,Hawai'i,12,69,635,5.8,52.9
38,39,Eastern Michigan,12,68,632,5.7,52.7
39,40,Utah State,14,80,733,5.7,52.4
40,41,Southern Mississippi,12,62,628,5.2,52.3
41,42,Clemson,13,85,679,6.5,52.2
42,42,Cincinnati,13,82,678,6.3,52.2
43,44,Texas A&M,13,85,675,6.5,51.9
44,44,Western Michigan,12,70,623,5.8,51.9
45,46,New Mexico State,12,66,621,5.5,51.8
46,47,Navy,13,71,667,5.5,51.3
47,48,Utah,12,78,610,6.5,50.8
48,49,Kentucky,12,71,604,5.9,50.3
49,50,Vanderbilt,13,83,651,6.4,50.1
50,50,Pittsburgh,13,72,651,5.5,50.1
51,52,Texas State,12,75,598,6.3,49.8
52,52,UNLV,13,79,647,6.1,49.8
53,52,Notre Dame,13,70,648,5.4,49.8
54,55,Wyoming,12,70,590,5.8,49.2
55,56,Colorado,12,64,586,5.3,48.8
56,56,Miami (Ohio),12,61,585,5.1,48.8
57,58,Oklahoma,13,73,632,5.6,48.6
58,59,San Diego State,13,82,628,6.3,48.3
59,60,Louisiana-Lafayette,13,69,626,5.3,48.2
60,61,USC,14,66,674,4.7,48.1
61,62,Georgia,13,83,624,6.4,48.0
62,63,Georgia Tech,13,76,623,5.8,47.9
63,64,Boise State,13,74,618,5.7,47.5
64,64,Washington,13,69,618,5.3,47.5
65,66,Washington State,13,81,615,6.2,47.3
66,66,Army,12,66,568,5.5,47.3
67,68,Marshall,14,75,656,5.4,46.9
68,69,East Carolina,13,67,609,5.2,46.8
69,69,Middle Tennessee,13,66,608,5.1,46.8
70,71,Stanford,14,75,652,5.4,46.6
71,72,Northern Illinois,14,82,650,5.9,46.4
72,73,Louisiana Tech,12,62,555,5.2,46.3
73,74,Michigan State,14,72,646,5.1,46.1
74,75,Kansas,12,63,551,5.3,45.9
75,75,Florida State,14,71,643,5.1,45.9
