,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Navy,13,34,282,2.6,21.7
1,2,Tulsa,12,37,305,3.1,25.4
2,3,Boston College,13,47,399,3.6,30.7
3,4,Ball State,13,49,404,3.8,31.1
4,5,UNLV,13,45,406,3.5,31.2
5,6,Arizona State,14,56,439,4.0,31.4
6,7,New Mexico,12,44,387,3.7,32.3
7,8,Army,12,45,390,3.8,32.5
8,9,Iowa,13,52,425,4.0,32.7
9,10,Penn State,12,55,403,4.6,33.6
10,11,Miami (Ohio),12,52,410,4.3,34.2
11,12,Michigan,13,54,448,4.2,34.5
12,13,UTEP,12,48,417,4.0,34.8
13,13,Northwestern,12,49,417,4.1,34.8
14,15,Minnesota,13,57,469,4.4,36.1
15,16,Air Force,12,53,435,4.4,36.3
16,16,Maryland,13,58,472,4.5,36.3
17,18,Arizona,13,52,478,4.0,36.8
18,19,Wisconsin,13,55,484,4.2,37.2
19,20,Boise State,13,54,489,4.2,37.6
20,21,Tennessee,12,55,455,4.6,37.9
21,22,Arkansas,12,49,461,4.1,38.4
22,22,Colorado,12,52,461,4.3,38.4
23,24,Missouri,14,72,543,5.1,38.8
24,25,New Mexico State,12,51,474,4.3,39.5
25,26,Mississippi State,13,64,515,4.9,39.6
26,27,Vanderbilt,13,63,518,4.8,39.8
27,28,Alabama,13,63,520,4.8,40.0
28,29,Florida Atlantic,12,57,486,4.8,40.5
29,30,Auburn,14,70,569,5.0,40.6
30,31,Duke,14,64,570,4.6,40.7
31,31,Georgia Tech,13,63,529,4.8,40.7
32,33,Connecticut,12,56,490,4.7,40.8
33,34,Florida International,12,57,494,4.8,41.2
34,35,UCF,13,62,541,4.8,41.6
35,35,Mississippi,13,72,541,5.5,41.6
36,37,Central Michigan,12,52,500,4.3,41.7
37,38,South Carolina,13,69,543,5.3,41.8
38,39,Louisiana-Monroe,12,61,503,5.1,41.9
39,40,Southern Mississippi,12,67,508,5.6,42.3
40,41,Middle Tennessee,13,54,555,4.2,42.7
41,42,Eastern Michigan,12,63,514,5.3,42.8
42,43,Purdue,12,61,515,5.1,42.9
43,43,Indiana,12,62,515,5.2,42.9
44,45,Louisiana Tech,12,58,519,4.8,43.3
45,45,Massachusetts,12,60,520,5.0,43.3
46,45,North Carolina State,12,69,520,5.8,43.3
47,48,Stanford,14,74,625,5.3,44.6
48,49,Miami (Florida),13,71,582,5.5,44.8
49,50,East Carolina,13,69,584,5.3,44.9
50,51,Kansas State,13,66,585,5.1,45.0
51,52,Utah,12,56,542,4.7,45.2
52,52,Bowling Green,14,73,633,5.2,45.2
53,54,Rice,14,74,634,5.3,45.3
54,55,Ohio State,14,73,638,5.2,45.6
55,56,South Alabama,12,64,549,5.3,45.8
56,57,Texas,13,67,597,5.2,45.9
57,58,Northern Illinois,14,75,644,5.4,46.0
58,58,Notre Dame,13,73,598,5.6,46.0
59,60,Nevada,12,69,553,5.8,46.1
60,61,Marshall,14,84,649,6.0,46.4
61,62,Pittsburgh,13,75,605,5.8,46.5
62,63,Western Kentucky,12,74,559,6.2,46.6
63,64,San Jose State,12,61,561,5.1,46.8
64,65,Illinois,12,70,563,5.8,46.9
65,66,Iowa State,12,66,564,5.5,47.0
66,67,Georgia,13,82,616,6.3,47.4
67,67,Georgia State,12,77,569,6.4,47.4
68,69,Washington State,13,75,628,5.8,48.3
69,69,UAB,12,72,579,6.0,48.3
70,71,West Virginia,12,63,588,5.3,49.0
71,72,Wyoming,12,65,589,5.4,49.1
72,73,Kentucky,12,69,593,5.8,49.4
73,74,Florida State,14,79,694,5.6,49.6
74,75,Clemson,13,72,651,5.5,50.1
75,76,Louisiana-Lafayette,13,68,654,5.2,50.3
76,77,Michigan State,14,76,706,5.4,50.4
77,78,Oregon State,13,82,658,6.3,50.6
78,79,Wake Forest,12,71,611,5.9,50.9
79,80,Toledo,12,70,619,5.8,51.6
80,81,Virginia Tech,13,86,672,6.6,51.7
81,82,Nebraska,13,77,676,5.9,52.0
82,83,North Texas,13,82,687,6.3,52.8
83,84,Texas A&M,13,81,690,6.2,53.1
84,85,Fresno State,13,68,693,5.2,53.3
85,86,Kent State,12,74,641,6.2,53.4
86,86,Temple,12,77,641,6.4,53.4
87,88,Akron,12,78,642,6.5,53.5
88,89,Rutgers,13,84,699,6.5,53.8
