,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Auburn,14,729,4596,6.30,48,52.07,328.29
1,2,Navy,13,775,4230,5.46,50,59.62,325.38
2,3,Army,12,693,3717,5.36,34,57.75,309.75
3,4,New Mexico,12,604,3706,6.14,40,50.33,308.83
4,5,Ohio State,14,635,4321,6.80,45,45.36,308.64
5,6,Georgia Tech,13,713,3891,5.46,46,54.85,299.31
6,7,Northern Illinois,14,655,4161,6.35,39,46.79,297.21
7,8,Wisconsin,13,557,3689,6.62,35,42.85,283.77
8,9,Oregon,13,568,3556,6.26,42,43.69,273.54
9,10,BYU,13,664,3476,5.23,24,51.08,267.38
10,11,Arizona,13,647,3444,5.32,36,49.77,264.92
11,12,Air Force,12,637,3152,4.95,30,53.08,262.67
12,13,Baylor,13,627,3368,5.37,47,48.23,259.08
13,14,Toledo,12,482,2887,5.99,26,40.17,240.58
14,15,Washington,13,610,3107,5.09,35,46.92,239.00
15,16,Missouri,14,588,3330,5.66,35,42.00,237.86
16,17,Rice,14,699,3183,4.55,31,49.93,227.36
17,18,Oklahoma,13,559,2911,5.21,19,43.00,223.92
18,19,Nebraska,13,584,2804,4.80,24,44.92,215.69
19,20,Boston College,13,523,2762,5.28,24,40.23,212.46
20,21,Arkansas,12,474,2504,5.28,14,39.50,208.67
21,22,Stanford,14,584,2904,4.97,30,41.71,207.43
22,23,Arkansas State,13,580,2686,4.63,31,44.62,206.62
23,24,Marshall,14,571,2883,5.05,34,40.79,205.93
24,25,Alabama,13,461,2673,5.80,28,35.46,205.62
25,26,Louisiana-Lafayette,13,564,2672,4.74,33,43.38,205.54
26,27,Colorado State,14,570,2872,5.04,37,40.71,205.14
27,28,Florida State,14,505,2844,5.63,42,36.07,203.14
28,29,LSU,13,523,2630,5.03,37,40.23,202.31
29,30,Indiana,12,458,2422,5.29,25,38.17,201.83
30,31,South Carolina,13,537,2580,4.80,27,41.31,198.46
31,32,Boise State,13,563,2578,4.58,33,43.31,198.31
32,33,Middle Tennessee,13,527,2576,4.89,25,40.54,198.15
33,34,Western Kentucky,12,468,2362,5.05,31,39.00,196.83
34,35,UCLA,13,566,2556,4.52,36,43.54,196.62
35,36,Texas,13,574,2551,4.44,25,44.15,196.23
36,37,Syracuse,13,554,2539,4.58,25,42.62,195.31
37,38,Minnesota,13,586,2538,4.33,23,45.08,195.23
38,39,Bowling Green,14,579,2707,4.68,30,41.36,193.36
39,40,Arizona State,14,608,2679,4.41,36,43.43,191.36
40,41,Wyoming,12,448,2283,5.10,21,37.33,190.25
41,42,Mississippi,13,528,2470,4.68,22,40.62,190.00
42,43,Mississippi State,13,527,2469,4.69,29,40.54,189.92
43,44,Tennessee,12,460,2261,4.92,18,38.33,188.42
44,45,Texas A&M,13,465,2406,5.17,33,35.77,185.08
45,46,UTEP,12,533,2213,4.15,17,44.42,184.42
46,47,Florida Atlantic,12,499,2190,4.39,21,41.58,182.50
47,48,Kent State,12,434,2189,5.04,16,36.17,182.42
48,49,Nevada,12,560,2183,3.90,23,46.67,181.92
49,50,North Texas,13,549,2349,4.28,31,42.23,180.69
50,51,Iowa,13,556,2338,4.21,18,42.77,179.85
51,52,Utah State,14,593,2503,4.22,21,42.36,178.79
52,53,UAB,12,455,2137,4.70,17,37.92,178.08
53,54,Duke,14,544,2492,4.58,28,38.86,178.00
54,54,Kansas State,13,514,2314,4.50,29,39.54,178.00
55,56,Clemson,13,545,2283,4.19,26,41.92,175.62
56,57,UTSA,12,426,2105,4.94,23,35.50,175.42
57,58,Penn State,12,501,2088,4.17,22,41.75,174.00
58,59,Michigan State,14,569,2433,4.28,23,40.64,173.79
59,60,South Alabama,12,488,2073,4.25,25,40.67,172.75
60,61,UNLV,13,507,2243,4.42,25,39.00,172.54
61,62,Northwestern,12,507,2069,4.08,16,42.25,172.42
62,63,USC,14,534,2408,4.51,29,38.14,172.00
63,64,Oklahoma State,13,503,2231,4.44,35,38.69,171.62
64,65,Texas State,12,471,2058,4.37,22,39.25,171.50
65,66,Georgia,13,486,2209,4.55,26,37.38,169.92
66,67,Cincinnati,13,517,2188,4.23,28,39.77,168.31
67,68,Buffalo,13,538,2176,4.04,21,41.38,167.38
68,69,San Diego State,13,510,2166,4.25,30,39.23,166.62
69,70,Tulsa,12,483,1977,4.09,15,40.25,164.75
70,71,North Carolina State,12,519,1952,3.76,14,43.25,162.67
71,72,Utah,12,473,1929,4.08,19,39.42,160.75
72,73,Miami (Florida),13,436,2084,4.78,25,33.54,160.31
73,74,Louisiana Tech,12,410,1922,4.69,14,34.17,160.17
74,75,UCF,13,471,2079,4.41,28,36.23,159.92
75,76,Eastern Michigan,12,445,1896,4.26,13,37.08,158.00
76,77,Virginia,12,489,1879,3.84,18,40.75,156.58
77,78,Kansas,12,496,1851,3.73,12,41.33,154.25
78,79,Ball State,13,450,1985,4.41,28,34.62,152.69
79,80,Fresno State,13,413,1967,4.76,21,31.77,151.31
80,81,Notre Dame,13,440,1962,4.46,12,33.85,150.92
81,82,Temple,12,422,1792,4.25,17,35.17,149.33
82,83,West Virginia,12,427,1784,4.18,18,35.58,148.67
83,84,Maryland,13,476,1929,4.05,18,36.62,148.38
84,85,North Carolina,13,490,1928,3.93,19,37.69,148.31
85,86,Kentucky,12,431,1775,4.12,16,35.92,147.92
86,87,Louisville,13,455,1909,4.20,18,35.00,146.85
87,88,Florida,12,482,1749,3.63,14,40.17,145.75
88,89,Iowa State,12,488,1726,3.54,16,40.67,143.83
89,90,New Mexico State,12,444,1716,3.86,14,37.00,143.00
90,91,Troy,12,437,1692,3.87,23,36.42,141.00
91,92,East Carolina,13,463,1821,3.93,30,35.62,140.08
92,93,Houston,13,435,1807,4.15,19,33.46,139.00
