,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,BYU,13,13,75,88,6.77
1,2,Tulane,13,19,68,87,6.69
2,3,Northern Illinois,14,19,67,86,6.14
3,4,East Carolina,13,18,67,85,6.54
4,5,Baylor,13,19,63,82,6.31
5,6,Oklahoma State,13,21,60,81,6.23
6,7,Houston,13,25,55,80,6.15
7,8,Tulsa,12,15,63,78,6.50
8,8,Vanderbilt,13,18,60,78,6.00
9,10,UCF,13,14,63,77,5.92
10,11,Marshall,14,18,58,76,5.43
11,12,Florida State,14,26,49,75,5.36
12,12,Duke,14,18,57,75,5.36
13,12,Utah State,14,17,58,75,5.36
14,12,Rice,14,14,61,75,5.36
15,16,Oregon,13,17,57,74,5.69
16,16,Missouri,14,20,54,74,5.29
17,16,Ohio State,14,16,58,74,5.29
18,19,TCU,12,19,54,73,6.08
19,20,Washington,13,16,55,71,5.46
20,21,Northwestern,12,19,51,70,5.83
21,21,Virginia Tech,13,19,51,70,5.38
22,23,Buffalo,13,15,54,69,5.31
23,24,North Texas,13,18,50,68,5.23
24,24,Kansas State,13,17,51,68,5.23
25,24,Fresno State,13,14,54,68,5.23
26,24,Texas Tech,13,8,60,68,5.23
27,24,USC,14,17,51,68,4.86
28,24,Auburn,14,13,55,68,4.86
29,30,Penn State,12,13,54,67,5.58
30,30,Iowa State,12,8,59,67,5.58
31,30,LSU,13,11,56,67,5.15
32,33,Virginia,12,10,56,66,5.50
33,33,Ohio,13,14,52,66,5.08
34,33,UNLV,13,11,55,66,5.08
35,33,Arkansas State,13,9,57,66,5.08
36,37,Kansas,12,14,51,65,5.42
37,38,Colorado State,14,10,54,64,4.57
38,39,Boise State,13,16,47,63,4.85
39,39,North Carolina,13,13,50,63,4.85
40,39,Michigan State,14,17,46,63,4.50
41,42,Louisiana Tech,12,18,44,62,5.17
42,42,Miami (Florida),13,18,44,62,4.77
43,42,Oklahoma,13,16,46,62,4.77
44,42,Louisville,13,16,46,62,4.77
45,42,Alabama,13,11,51,62,4.77
46,42,Arizona State,14,21,41,62,4.43
47,48,Indiana,12,7,54,61,5.08
48,49,Clemson,13,18,42,60,4.62
49,49,Texas A&M,13,17,43,60,4.62
50,49,Minnesota,13,10,50,60,4.62
51,52,Texas,13,10,49,59,4.54
52,52,Stanford,14,13,46,59,4.21
53,54,Connecticut,12,13,45,58,4.83
54,55,Florida Atlantic,12,13,44,57,4.75
55,55,South Alabama,12,11,46,57,4.75
56,55,Florida,12,10,47,57,4.75
57,55,Cincinnati,13,13,44,57,4.38
58,55,Rutgers,13,8,49,57,4.38
59,60,SMU,12,11,45,56,4.67
60,60,Hawai'i,12,9,47,56,4.67
61,62,Memphis,12,11,44,55,4.58
62,62,Utah,12,3,52,55,4.58
63,62,Arizona,13,18,37,55,4.23
64,62,Georgia,13,7,48,55,4.23
65,66,Nebraska,13,14,40,54,4.15
66,66,Georgia Tech,13,14,40,54,4.15
67,66,Wisconsin,13,9,45,54,4.15
68,69,Wake Forest,12,12,41,53,4.42
69,69,Western Michigan,12,8,45,53,4.42
70,69,San Diego State,13,8,45,53,4.08
71,72,Tennessee,12,14,38,52,4.33
72,72,Texas State,12,11,41,52,4.33
73,72,UCLA,13,14,38,52,4.00
74,72,Mississippi State,13,14,38,52,4.00
75,72,Iowa,13,13,39,52,4.00
76,72,Mississippi,13,13,39,52,4.00
77,78,South Carolina,13,18,33,51,3.92
78,78,Ball State,13,13,38,51,3.92
79,80,San Jose State,12,12,38,50,4.17
80,80,Michigan,13,17,33,50,3.85
81,80,Bowling Green,14,8,42,50,3.57
82,83,West Virginia,12,12,37,49,4.08
83,83,UTSA,12,8,41,49,4.08
84,83,Pittsburgh,13,8,41,49,3.77
85,86,Colorado,12,10,38,48,4.00
86,86,Troy,12,6,42,48,4.00
87,86,Washington State,13,16,32,48,3.69
88,89,Central Michigan,12,14,33,47,3.92
89,89,Western Kentucky,12,14,33,47,3.92
90,89,Nevada,12,10,37,47,3.92
91,89,Miami (Ohio),12,10,37,47,3.92
92,89,Arkansas,12,8,39,47,3.92
93,89,Oregon State,13,19,28,47,3.62
94,89,Middle Tennessee,13,15,32,47,3.62
95,89,Louisiana-Lafayette,13,14,33,47,3.62
96,97,North Carolina State,12,12,34,46,3.83
97,97,Massachusetts,12,8,38,46,3.83
98,99,Louisiana-Monroe,12,13,32,45,3.75
99,99,Syracuse,13,15,30,45,3.46
100,99,Notre Dame,13,13,32,45,3.46
101,102,Akron,12,13,31,44,3.67
102,102,Wyoming,12,9,35,44,3.67
103,104,Boston College,13,9,34,43,3.31
104,105,California,12,5,37,42,3.50
105,105,Maryland,13,11,31,42,3.23
106,107,Purdue,12,13,28,41,3.42
107,107,Idaho,12,10,31,41,3.42
108,107,Kent State,12,9,32,41,3.42
109,110,Florida International,12,7,31,38,3.17
110,111,South Florida,12,11,25,36,3.00
111,111,Temple,12,3,33,36,3.00
112,113,UTEP,12,3,30,33,2.75
113,113,Navy,13,13,20,33,2.54
114,115,Southern Mississippi,12,6,26,32,2.67
115,115,Air Force,12,4,28,32,2.67
116,117,New Mexico,12,4,27,31,2.58
117,117,Kentucky,12,3,28,31,2.58
118,117,Illinois,12,3,28,31,2.58
119,120,UAB,12,7,23,30,2.50
120,120,Georgia State,12,7,23,30,2.50
121,122,New Mexico State,12,10,19,29,2.42
122,123,Toledo,12,8,19,27,2.25
123,123,Army,12,7,20,27,2.25
124,123,Eastern Michigan,12,7,20,27,2.25
