,Rank,Name,G,Total Time,Time/G
0,1,Bowling Green,14,476:43,34:03.07
1,2,Louisville,13,439:41,33:49.31
2,3,Florida,12,405:48,33:49.00
3,4,Wisconsin,13,436:24,33:34.15
4,5,Virginia,12,400:34,33:22.83
5,6,Georgia Tech,13,433:11,33:19.31
6,7,Michigan State,14,466:26,33:19.00
7,8,Virginia Tech,13,433:01,33:18.54
8,9,Mississippi State,13,432:30,33:16.15
9,10,USC,14,463:00,33:04.29
10,11,Minnesota,13,427:33,32:53.31
11,12,Rice,14,458:58,32:47.00
12,13,UTEP,12,389:18,32:26.50
13,14,Nevada,12,389:05,32:25.42
14,15,UTSA,12,388:49,32:24.08
15,16,Oregon State,13,421:10,32:23.85
16,17,Western Kentucky,12,388:25,32:22.08
17,18,New Mexico,12,388:09,32:20.75
18,19,Oklahoma,13,419:54,32:18.00
19,20,North Texas,13,418:56,32:13.54
20,21,UCF,13,418:33,32:11.77
21,22,Army,12,385:48,32:09.00
22,23,San Diego State,13,416:33,32:02.54
23,24,South Carolina,13,416:12,32:00.92
24,25,Alabama,13,416:04,32:00.31
25,26,Texas State,12,382:53,31:54.42
26,27,North Carolina State,12,382:38,31:53.17
27,28,Florida Atlantic,12,382:03,31:50.25
28,29,Stanford,14,444:39,31:45.64
29,30,Vanderbilt,13,411:58,31:41.38
30,31,Kansas State,13,411:25,31:38.85
31,32,Navy,13,410:53,31:36.38
32,33,Buffalo,13,410:04,31:32.62
33,34,Ohio State,14,439:44,31:24.57
34,35,Michigan,13,406:43,31:17.15
35,36,Cincinnati,13,406:42,31:17.08
36,37,Idaho,12,375:00,31:15.00
37,38,Iowa,13,406:09,31:14.54
38,39,Utah State,14,437:00,31:12.86
39,40,Iowa State,12,373:19,31:06.58
40,41,Florida International,12,370:35,30:52.92
41,42,Colorado State,14,431:35,30:49.64
42,43,Pittsburgh,13,400:17,30:47.46
43,44,San Jose State,12,367:36,30:38.00
44,45,Kent State,12,367:24,30:37.00
45,46,UAB,12,367:06,30:35.50
46,47,Arkansas,12,365:17,30:26.42
47,48,Syracuse,13,395:36,30:25.85
48,49,TCU,12,364:37,30:23.08
49,50,Auburn,14,425:14,30:22.43
50,51,Eastern Michigan,12,364:15,30:21.25
51,52,Arizona State,14,424:56,30:21.14
52,53,South Alabama,12,363:58,30:19.83
53,54,Utah,12,363:44,30:18.67
54,55,Texas,13,393:41,30:17.00
55,56,Tulane,13,390:37,30:02.85
56,57,Memphis,12,360:10,30:00.83
57,58,LSU,13,390:05,30:00.38
58,59,Penn State,12,359:55,29:59.58
59,60,Missouri,14,419:49,29:59.21
60,61,Arkansas State,13,389:06,29:55.85
61,62,Central Michigan,12,358:30,29:52.50
62,63,UNLV,13,387:38,29:49.08
63,64,Louisiana-Lafayette,13,387:09,29:46.85
64,65,Mississippi,13,386:36,29:44.31
65,66,Kansas,12,356:44,29:43.67
66,67,Wake Forest,12,356:15,29:41.25
67,68,Troy,12,354:44,29:33.67
68,69,Maryland,13,384:09,29:33.00
69,70,Massachusetts,12,353:21,29:26.75
70,71,New Mexico State,12,353:05,29:25.42
71,72,Florida State,14,411:36,29:24.00
72,73,Georgia,13,381:58,29:22.92
73,74,Louisiana-Monroe,12,352:25,29:22.08
74,75,Akron,12,352:08,29:20.67
75,76,Nebraska,13,381:20,29:20.00
76,77,East Carolina,13,381:13,29:19.46
77,78,Rutgers,13,381:03,29:18.69
78,79,Toledo,12,351:22,29:16.83
79,80,Northwestern,12,351:05,29:15.42
80,81,Boston College,13,380:13,29:14.85
81,82,California,12,350:41,29:13.42
82,83,Illinois,12,350:16,29:11.33
83,84,Notre Dame,13,378:25,29:06.54
84,85,Duke,14,406:53,29:03.79
85,86,UCLA,13,377:41,29:03.15
86,87,SMU,12,347:10,28:55.83
87,88,Connecticut,12,347:00,28:55.00
88,89,Colorado,12,345:51,28:49.25
89,90,Tennessee,12,345:49,28:49.08
90,91,Ball State,13,374:34,28:48.77
91,92,Western Michigan,12,344:27,28:42.25
92,93,Washington,13,372:56,28:41.23
93,94,Washington State,13,372:05,28:37.31
94,95,Northern Illinois,14,399:40,28:32.86
95,96,Arizona,13,370:31,28:30.08
96,97,Temple,12,341:47,28:28.92
97,98,South Florida,12,341:40,28:28.33
98,99,Texas Tech,13,369:30,28:25.38
99,100,Fresno State,13,368:57,28:22.85
100,101,Boise State,13,368:40,28:21.54
101,102,West Virginia,12,339:51,28:19.25
102,103,Tulsa,12,338:38,28:13.17
103,104,Middle Tennessee,13,366:32,28:11.69
104,105,Kentucky,12,336:00,28:00.00
105,106,Georgia State,12,335:34,27:57.83
106,107,BYU,13,360:03,27:41.77
107,108,North Carolina,13,359:52,27:40.92
108,109,Miami (Ohio),12,331:59,27:39.92
109,110,Purdue,12,330:58,27:34.83
110,111,Air Force,12,330:49,27:34.08
111,112,Clemson,13,354:51,27:17.77
112,113,Southern Mississippi,12,327:25,27:17.08
113,114,Baylor,13,354:41,27:17.00
114,115,Ohio,13,353:34,27:11.85
115,116,Marshall,14,377:00,26:55.71
116,117,Texas A&M,13,347:41,26:44.69
117,118,Oklahoma State,13,347:37,26:44.38
118,119,Hawai'i,12,319:47,26:38.92
119,120,Miami (Florida),13,337:42,25:58.62
120,121,Louisiana Tech,12,310:53,25:54.42
121,122,Indiana,12,309:45,25:48.75
122,123,Houston,13,334:08,25:42.15
123,124,Oregon,13,332:10,25:33.08
124,125,Wyoming,12,300:34,25:02.83
