,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Clemson,13,123.0,461,9.46
1,2,Tulane,13,111.0,441,8.54
2,3,Utah State,14,109.0,402,7.79
3,4,Fresno State,13,108.0,439,8.31
4,5,Stanford,14,107.0,469,7.64
5,5,Missouri,14,107.0,406,7.64
6,7,Louisville,13,102.0,461,7.85
7,7,Marshall,14,102.0,368,7.29
8,9,Arizona State,14,101.0,413,7.21
9,10,Maryland,13,100.0,445,7.69
10,10,Hawai'i,12,100.0,359,8.33
11,12,Baylor,13,99.0,338,7.62
12,13,Florida State,14,98.0,408,7.00
13,13,TCU,12,98.0,360,8.17
14,15,Virginia Tech,13,96.0,412,7.39
15,16,Syracuse,13,94.0,432,7.23
16,16,Oklahoma State,13,94.0,331,7.23
17,18,Nebraska,13,93.0,401,7.15
18,19,Ohio State,14,91.0,382,6.50
19,19,USC,14,91.0,373,6.50
20,19,Michigan State,14,91.0,366,6.50
21,19,South Florida,12,91.0,335,7.58
22,23,Buffalo,13,90.0,363,6.92
23,23,Auburn,14,90.0,329,6.43
24,23,SMU,12,90.0,323,7.50
25,26,Cincinnati,13,89.0,374,6.85
26,26,Virginia,12,89.0,367,7.42
27,26,Texas,13,89.0,347,6.85
28,29,Boston College,13,88.0,375,6.77
29,29,Mississippi,13,88.0,342,6.77
30,29,Vanderbilt,13,88.0,334,6.77
31,29,Boise State,13,88.0,294,6.77
32,33,South Alabama,12,87.0,359,7.25
33,33,South Carolina,13,87.0,348,6.69
34,35,Pittsburgh,13,86.0,340,6.62
35,36,Louisiana-Lafayette,13,85.0,275,6.54
36,37,Bowling Green,14,84.0,335,6.00
37,37,North Carolina State,12,84.0,277,7.00
38,39,Georgia Tech,13,83.0,342,6.39
39,39,BYU,13,83.0,337,6.39
40,39,West Virginia,12,83.0,316,6.92
41,42,Colorado State,14,82.0,329,5.86
42,42,Rutgers,13,82.0,315,6.31
43,42,Texas Tech,13,82.0,275,6.31
44,45,North Carolina,13,81.0,383,6.23
45,45,Georgia,13,81.0,337,6.23
46,45,UCF,13,81.0,290,6.23
47,48,Utah,12,80.0,336,6.67
48,48,Iowa,13,80.0,239,6.15
49,50,North Texas,13,79.0,338,6.08
50,50,East Carolina,13,79.0,311,6.08
51,52,Houston,13,78.0,360,6.00
52,52,UCLA,13,78.0,344,6.00
53,52,Southern Mississippi,12,78.0,252,6.50
54,55,Memphis,12,77.0,290,6.42
55,55,Arizona,13,77.0,255,5.92
56,57,Toledo,12,76.0,328,6.33
57,57,San Diego State,13,76.0,291,5.85
58,57,Oregon State,13,76.0,282,5.85
59,57,Washington State,13,76.0,274,5.85
60,57,California,12,76.0,222,6.33
61,62,Wyoming,12,75.0,275,6.25
62,63,Washington,13,74.0,310,5.69
63,63,Northwestern,12,74.0,303,6.17
64,63,Tulsa,12,74.0,303,6.17
65,63,Ball State,13,74.0,288,5.69
66,63,Central Michigan,12,74.0,261,6.17
67,63,Mississippi State,13,74.0,260,5.69
68,69,Oklahoma,13,73.0,303,5.62
69,69,Rice,14,73.0,302,5.21
70,69,Minnesota,13,73.0,286,5.62
71,69,Ohio,13,73.0,275,5.62
72,69,Kansas,12,73.0,274,6.08
73,69,UNLV,13,73.0,254,5.62
74,69,Temple,12,73.0,230,6.08
75,69,Louisiana Tech,12,73.0,209,6.08
76,77,Northern Illinois,14,72.0,301,5.14
77,78,Arkansas State,13,71.0,297,5.46
78,78,Idaho,12,71.0,278,5.92
79,78,Colorado,12,71.0,250,5.92
80,78,Kansas State,13,71.0,240,5.46
81,82,Florida Atlantic,12,70.0,323,5.83
82,82,Michigan,13,70.0,283,5.39
83,82,Oregon,13,70.0,270,5.39
84,82,Louisiana-Monroe,12,70.0,188,5.83
85,86,Penn State,12,69.0,328,5.75
86,86,LSU,13,69.0,281,5.31
87,86,Duke,14,69.0,273,4.93
88,86,Alabama,13,69.0,245,5.31
89,90,Middle Tennessee,13,68.0,271,5.23
90,90,Western Kentucky,12,68.0,249,5.67
91,92,Arkansas,12,67.0,294,5.58
92,92,Texas A&M,13,67.0,196,5.15
93,94,Akron,12,66.0,248,5.50
94,94,Connecticut,12,66.0,243,5.50
95,94,Troy,12,66.0,236,5.50
96,94,Illinois,12,66.0,216,5.50
97,98,Tennessee,12,65.0,216,5.42
98,99,Wake Forest,12,64.0,280,5.33
99,99,Notre Dame,13,64.0,270,4.92
100,99,Wisconsin,13,64.0,246,4.92
101,99,Indiana,12,64.0,232,5.33
102,103,Nevada,12,62.0,240,5.17
103,103,Georgia State,12,62.0,171,5.17
104,103,Miami (Ohio),12,62.0,164,5.17
105,106,Florida,12,61.0,249,5.08
106,106,Miami (Florida),13,61.0,249,4.69
107,106,UAB,12,61.0,192,5.08
108,106,Western Michigan,12,61.0,151,5.08
109,110,Iowa State,12,60.0,192,5.00
110,111,Army,12,58.0,204,4.83
111,112,Texas State,12,57.0,222,4.75
112,112,Florida International,12,57.0,192,4.75
113,114,Kent State,12,56.0,222,4.67
114,115,Purdue,12,55.0,181,4.58
115,116,Kentucky,12,54.0,216,4.50
116,117,UTSA,12,50.0,187,4.17
117,118,San Jose State,12,49.0,181,4.08
118,119,New Mexico State,12,48.0,150,4.00
119,120,New Mexico,12,47.0,185,3.92
120,121,Eastern Michigan,12,46.0,199,3.83
121,121,Massachusetts,12,46.0,133,3.83
122,123,UTEP,12,44.0,153,3.67
123,124,Air Force,12,42.0,170,3.50
124,125,Navy,13,39.0,114,3.00
