,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,Florida State,14,26,529,5,1.86
1,2,Houston,13,25,305,2,1.92
2,3,Oklahoma State,13,21,337,2,1.62
3,3,Arizona State,14,21,345,5,1.50
4,5,Missouri,14,20,232,2,1.43
5,6,Northwestern,12,19,261,4,1.58
6,6,TCU,12,19,195,1,1.58
7,6,Baylor,13,19,441,5,1.46
8,6,Tulane,13,19,382,3,1.46
9,6,Oregon State,13,19,200,3,1.46
10,6,Virginia Tech,13,19,94,1,1.46
11,6,Northern Illinois,14,19,260,2,1.36
12,13,Louisiana Tech,12,18,134,1,1.50
13,13,Arizona,13,18,303,5,1.38
14,13,East Carolina,13,18,298,2,1.38
15,13,Vanderbilt,13,18,277,0,1.38
16,13,North Texas,13,18,266,2,1.38
17,13,Miami (Florida),13,18,250,2,1.38
18,13,Clemson,13,18,164,2,1.38
19,13,South Carolina,13,18,121,0,1.38
20,13,Duke,14,18,216,2,1.29
21,13,Marshall,14,18,184,3,1.29
22,23,Kansas State,13,17,401,3,1.31
23,23,Michigan,13,17,322,2,1.31
24,23,Oregon,13,17,309,3,1.31
25,23,Texas A&M,13,17,286,4,1.31
26,23,Utah State,14,17,241,2,1.21
27,23,Michigan State,14,17,166,2,1.21
28,23,USC,14,17,150,1,1.21
29,30,Washington State,13,16,343,4,1.23
30,30,Oklahoma,13,16,258,3,1.23
31,30,Washington,13,16,233,2,1.23
32,30,Louisville,13,16,191,2,1.23
33,30,Boise State,13,16,134,1,1.23
34,30,Ohio State,14,16,197,2,1.14
35,36,Tulsa,12,15,169,0,1.25
36,36,Middle Tennessee,13,15,270,4,1.15
37,36,Buffalo,13,15,222,3,1.15
38,36,Syracuse,13,15,163,0,1.15
39,40,Central Michigan,12,14,296,3,1.17
40,40,Tennessee,12,14,243,4,1.17
41,40,Kansas,12,14,171,1,1.17
42,40,Western Kentucky,12,14,118,0,1.17
43,40,Louisiana-Lafayette,13,14,352,3,1.08
44,40,Nebraska,13,14,257,4,1.08
45,40,Georgia Tech,13,14,255,2,1.08
46,40,Mississippi State,13,14,233,1,1.08
47,40,UCLA,13,14,230,1,1.08
48,40,Fresno State,13,14,223,2,1.08
49,40,Ohio,13,14,180,3,1.08
50,40,UCF,13,14,112,0,1.08
51,40,Rice,14,14,113,1,1.00
52,53,Louisiana-Monroe,12,13,235,2,1.08
53,53,Florida Atlantic,12,13,220,2,1.08
54,53,Akron,12,13,132,1,1.08
55,53,Penn State,12,13,127,0,1.08
56,53,Connecticut,12,13,124,1,1.08
57,53,Purdue,12,13,59,0,1.08
58,53,Cincinnati,13,13,249,1,1.00
59,53,Iowa,13,13,174,2,1.00
60,53,BYU,13,13,143,3,1.00
61,53,Ball State,13,13,130,0,1.00
62,53,Navy,13,13,120,0,1.00
63,53,North Carolina,13,13,95,1,1.00
64,53,Notre Dame,13,13,93,3,1.00
65,53,Mississippi,13,13,61,0,1.00
66,53,Stanford,14,13,172,3,0.93
67,53,Auburn,14,13,112,1,0.93
68,69,Wake Forest,12,12,213,2,1.00
69,69,West Virginia,12,12,183,2,1.00
70,69,North Carolina State,12,12,146,1,1.00
71,69,San Jose State,12,12,58,0,1.00
72,73,Memphis,12,11,269,2,0.92
73,73,South Alabama,12,11,206,1,0.92
74,73,Texas State,12,11,169,1,0.92
75,73,SMU,12,11,96,1,0.92
76,73,South Florida,12,11,56,1,0.92
77,73,Alabama,13,11,253,3,0.85
78,73,Maryland,13,11,118,2,0.85
79,73,UNLV,13,11,87,0,0.85
80,73,LSU,13,11,76,0,0.85
81,82,Colorado,12,10,202,2,0.83
82,82,Florida,12,10,172,1,0.83
83,82,New Mexico State,12,10,89,0,0.83
84,82,Nevada,12,10,69,0,0.83
85,82,Idaho,12,10,67,0,0.83
86,82,Virginia,12,10,65,0,0.83
87,82,Miami (Ohio),12,10,35,0,0.83
88,82,Minnesota,13,10,191,3,0.77
89,82,Texas,13,10,78,1,0.77
90,82,Colorado State,14,10,26,0,0.71
91,92,Wyoming,12,9,162,2,0.75
92,92,Hawai'i,12,9,85,1,0.75
93,92,Kent State,12,9,84,0,0.75
94,92,Boston College,13,9,163,1,0.69
95,92,Arkansas State,13,9,117,0,0.69
96,92,Wisconsin,13,9,30,0,0.69
97,98,UTSA,12,8,166,1,0.67
98,98,Arkansas,12,8,62,1,0.67
99,98,Toledo,12,8,45,0,0.67
100,98,Massachusetts,12,8,41,0,0.67
101,98,Western Michigan,12,8,23,0,0.67
102,98,Iowa State,12,8,18,0,0.67
103,98,Texas Tech,13,8,178,1,0.62
104,98,Pittsburgh,13,8,116,1,0.62
105,98,San Diego State,13,8,54,1,0.62
106,98,Rutgers,13,8,47,0,0.62
107,98,Bowling Green,14,8,200,0,0.57
108,109,Eastern Michigan,12,7,66,1,0.58
109,109,Indiana,12,7,55,0,0.58
110,109,Florida International,12,7,48,0,0.58
111,109,UAB,12,7,43,0,0.58
112,109,Georgia State,12,7,16,0,0.58
113,109,Army,12,7,0,0,0.58
114,109,Georgia,13,7,78,1,0.54
115,116,Troy,12,6,170,2,0.50
116,116,Southern Mississippi,12,6,43,0,0.50
117,118,California,12,5,0,0,0.42
118,119,New Mexico,12,4,51,0,0.33
119,119,Air Force,12,4,38,0,0.33
120,121,Kentucky,12,3,70,0,0.25
121,121,Utah,12,3,22,1,0.25
122,121,Illinois,12,3,22,0,0.25
123,121,Temple,12,3,10,0,0.25
124,121,UTEP,12,3,0,0,0.25
