,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Michigan State,14,125,41,21,11,5,1,0,0,0
1,1,Wisconsin,13,125,40,19,9,5,2,0,0,0
2,3,Alabama,13,126,43,21,9,2,2,2,1,1
3,4,Florida,12,128,52,24,11,8,2,1,0,0
4,5,Louisville,13,129,42,13,6,2,0,0,0,0
5,6,Iowa,13,132,35,15,9,3,1,0,0,0
6,7,Western Kentucky,12,135,50,20,9,5,3,0,0,0
7,8,Wake Forest,12,142,40,16,11,8,4,1,0,0
8,9,Florida State,14,144,37,12,6,6,2,1,0,0
9,9,Oregon,13,144,38,20,9,5,2,1,0,0
10,11,Florida Atlantic,12,146,42,23,10,4,3,0,0,0
11,11,Virginia Tech,13,146,44,21,13,5,4,3,3,0
12,13,Texas State,12,148,60,25,17,6,2,0,0,0
13,14,Memphis,12,149,52,25,10,3,2,2,0,0
14,15,Baylor,13,150,69,29,15,6,1,0,0,0
15,15,UTSA,12,150,48,18,7,2,0,0,0,0
16,17,TCU,12,151,45,25,15,9,5,3,0,0
17,18,North Texas,13,152,52,24,13,7,4,4,1,1
18,19,BYU,13,154,46,26,16,9,7,2,0,0
19,20,Oklahoma,13,155,56,25,14,9,6,3,2,1
20,20,South Florida,12,155,44,19,9,6,2,1,0,0
21,22,Cincinnati,13,161,44,12,3,1,1,1,0,0
22,22,Kansas State,13,161,36,16,12,8,5,2,1,1
23,24,Utah State,14,162,57,27,9,5,3,0,0,0
24,25,Bowling Green,14,163,43,20,15,6,3,1,0,0
25,26,Georgia,13,165,55,22,13,7,7,5,2,1
26,27,Mississippi State,13,166,52,19,10,5,3,2,0,0
27,27,Rice,14,166,58,31,16,11,7,5,2,0
28,29,Florida International,12,167,68,35,19,10,5,2,0,0
29,29,LSU,13,167,50,18,8,4,0,0,0,0
30,29,San Diego State,13,167,56,30,14,6,3,1,0,0
31,32,Central Michigan,12,168,51,27,15,4,2,1,1,0
32,32,Notre Dame,13,168,34,16,8,4,2,0,0,0
33,34,Akron,12,169,46,21,7,2,1,1,1,1
34,34,Army,12,169,69,30,13,6,4,2,0,0
35,34,South Carolina,13,169,51,22,9,6,4,4,2,1
36,34,Syracuse,13,169,52,24,18,11,3,2,1,1
37,38,Kent State,12,172,57,22,13,7,1,1,1,1
38,39,Buffalo,13,174,62,35,20,10,4,2,1,0
39,39,Connecticut,12,174,62,25,12,6,2,1,1,0
40,39,Massachusetts,12,174,65,30,18,10,4,2,1,0
41,39,Utah,12,174,57,30,13,4,1,1,0,0
42,39,Virginia,12,174,69,39,15,7,6,4,1,1
43,44,Clemson,13,175,57,28,11,11,8,4,1,1
44,44,Maryland,13,175,60,24,9,5,3,3,0,0
45,44,Minnesota,13,175,64,27,12,5,4,2,0,0
46,47,Mississippi,13,176,50,22,10,8,5,1,0,0
47,47,North Carolina State,12,176,60,28,13,7,2,1,0,0
48,47,SMU,12,176,53,22,12,8,4,2,1,0
49,47,UCF,13,176,57,22,10,4,1,1,0,0
50,51,East Carolina,13,177,46,18,8,4,1,1,1,0
51,52,Kentucky,12,178,60,23,13,6,6,1,1,0
52,52,Middle Tennessee,13,178,46,20,11,5,0,0,0,0
53,52,Navy,13,178,41,8,6,1,0,0,0,0
54,55,Stanford,14,179,54,21,11,5,3,0,0,0
55,55,Tennessee,12,179,65,25,14,8,2,1,0,0
56,55,USC,14,179,53,23,9,5,2,1,0,0
57,55,Western Michigan,12,179,54,22,10,6,2,0,0,0
58,59,Iowa State,12,180,64,35,18,7,4,2,0,0
59,59,Louisiana Tech,12,180,53,18,9,4,3,0,0,0
60,61,South Alabama,12,181,47,24,18,9,4,3,1,0
61,61,Washington,13,181,53,21,8,4,3,2,0,0
62,63,Arkansas State,13,182,67,29,17,11,7,3,1,0
63,63,Tulsa,12,182,55,24,12,6,4,4,3,1
64,65,Penn State,12,183,56,20,10,4,0,0,0,0
65,65,Pittsburgh,13,183,59,28,13,7,5,3,1,0
66,65,Vanderbilt,13,183,38,17,9,5,3,1,0,0
67,68,Ball State,13,184,60,25,12,6,2,1,0,0
68,68,Georgia State,12,184,70,30,12,7,2,1,1,0
69,68,Nebraska,13,184,61,26,8,1,0,0,0,0
70,68,UCLA,13,184,46,16,6,3,1,0,0,0
71,72,Arkansas,12,185,55,24,13,8,3,3,2,0
72,72,Colorado State,14,185,72,31,19,14,11,6,2,0
73,72,Michigan,13,185,53,20,12,5,1,0,0,0
74,72,Ohio State,14,185,49,23,12,7,7,3,2,0
75,76,Arizona State,14,186,74,31,13,8,4,3,1,0
76,76,UNLV,13,186,70,35,14,6,5,1,0,0
77,78,Illinois,12,187,74,32,17,9,5,2,0,0
