,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,TCU,13,53,88,20,161,12.4
1,2,Alabama,14,66,105,17,188,13.4
2,3,Ohio State,13,70,109,10,189,14.5
3,4,Air Force,13,85,96,9,190,14.6
4,5,Penn State,13,76,105,11,192,14.8
5,6,Virginia Tech,13,91,90,13,194,14.9
6,6,Florida,14,84,103,21,208,14.9
7,8,Iowa,13,85,98,12,195,15.0
8,9,Rutgers,13,78,106,14,198,15.2
9,10,Oklahoma,13,76,97,26,199,15.3
10,11,North Carolina,13,84,96,22,202,15.5
11,11,Texas,14,71,121,25,217,15.5
12,13,Army,12,89,81,17,187,15.6
13,14,Arizona State,12,64,99,27,190,15.8
14,14,South Carolina,13,107,84,14,205,15.8
15,14,Wisconsin,13,67,124,15,206,15.8
16,17,Boise State,14,85,111,28,224,16.0
17,18,Mississippi,13,106,89,16,211,16.2
18,18,Nebraska,14,83,112,32,227,16.2
19,20,West Virginia,13,95,112,12,219,16.8
20,21,Arizona,13,88,117,17,222,17.1
21,22,Miami (Florida),13,90,112,22,224,17.2
22,22,Georgia Tech,14,99,129,13,241,17.2
23,24,South Florida,13,93,114,18,225,17.3
24,25,Connecticut,13,84,136,6,226,17.4
25,26,Syracuse,12,69,119,22,210,17.5
26,26,UCLA,13,113,101,13,227,17.5
27,28,Northern Illinois,13,90,120,19,229,17.6
28,28,Clemson,14,130,92,25,247,17.6
29,30,Utah,13,97,101,32,230,17.7
30,30,Tennessee,13,117,102,11,230,17.7
31,32,Temple,13,89,130,13,232,17.8
32,33,Kentucky,13,116,106,11,233,17.9
33,34,North Carolina State,12,88,116,13,217,18.1
34,34,Boston College,13,78,145,12,235,18.1
35,34,Northwestern,13,96,130,9,235,18.1
36,34,Navy,14,102,143,8,253,18.1
37,38,Colorado,12,93,101,24,218,18.2
38,39,Mississippi State,12,98,108,13,219,18.3
39,39,Vanderbilt,12,129,80,11,220,18.3
40,39,BYU,13,87,129,22,238,18.3
41,42,Kansas State,12,74,128,19,221,18.4
42,42,Oregon,13,86,128,25,239,18.4
43,42,Pittsburgh,13,89,119,31,239,18.4
44,42,Georgia,13,94,124,21,239,18.4
45,46,Kent State,12,91,113,18,222,18.5
46,47,Arkansas State,12,89,118,18,225,18.8
47,47,Duke,12,109,106,10,225,18.8
48,47,California,13,78,146,20,244,18.8
49,47,Bowling Green,13,112,120,12,244,18.8
50,47,UCF,13,75,154,16,245,18.8
51,52,Louisville,12,99,117,11,227,18.9
52,52,Virginia,12,105,104,18,227,18.9
53,52,Central Michigan,14,90,151,24,265,18.9
54,55,Louisiana-Monroe,12,80,130,19,229,19.1
55,55,Marshall,13,92,138,18,248,19.1
56,57,Purdue,12,104,115,11,230,19.2
57,57,Wake Forest,12,107,113,10,230,19.2
58,59,Maryland,12,82,133,17,232,19.3
59,59,Buffalo,12,106,113,13,232,19.3
60,59,Oregon State,13,84,139,28,251,19.3
61,59,Middle Tennessee,13,98,130,23,251,19.3
62,59,Fresno State,13,119,120,12,251,19.3
63,64,Michigan,12,115,103,15,233,19.4
64,64,Oklahoma State,13,76,150,26,252,19.4
65,64,Minnesota,13,105,134,13,252,19.4
66,64,LSU,13,115,117,20,252,19.4
67,68,Washington,12,91,126,17,234,19.5
68,68,Tulsa,12,92,122,20,234,19.5
69,68,USC,13,102,131,20,253,19.5
70,71,Ohio,14,124,132,19,275,19.6
71,72,Louisiana Tech,12,98,116,22,236,19.7
72,72,Notre Dame,12,103,118,15,236,19.7
73,74,Akron,12,106,111,20,237,19.8
74,74,Louisiana-Lafayette,12,106,118,14,238,19.8
75,74,Nevada,13,71,158,28,257,19.8
76,74,SMU,13,107,134,17,258,19.8
77,78,Texas Tech,13,101,136,22,259,19.9
78,79,Miami (Ohio),12,121,105,14,240,20.0
79,80,Eastern Michigan,12,144,82,15,241,20.1
80,81,Kansas,12,104,119,19,242,20.2
81,82,Ball State,12,115,123,6,244,20.3
82,82,Michigan State,13,90,152,22,264,20.3
83,82,Missouri,13,110,137,17,264,20.3
84,82,East Carolina,14,115,154,15,284,20.3
85,86,Cincinnati,13,106,147,14,267,20.5
