,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Pittsburgh,13,48.0,336,3.69
1,2,Nebraska,14,44.0,312,3.14
2,3,Texas,14,42.0,342,3.00
3,4,Texas Tech,13,40.0,265,3.08
4,4,Rutgers,13,40.0,245,3.08
5,6,Florida,14,39.0,241,2.79
6,7,Oklahoma,13,38.0,243,2.92
7,8,UCF,13,37.0,292,2.85
8,8,Middle Tennessee,13,37.0,252,2.85
9,8,Wisconsin,13,37.0,248,2.85
10,8,Cincinnati,13,37.0,244,2.85
11,8,Penn State,13,37.0,223,2.85
12,13,Virginia Tech,13,36.0,273,2.77
13,13,Oregon,13,36.0,206,2.77
14,15,Southern Mississippi,13,35.0,282,2.69
15,15,Syracuse,12,35.0,268,2.92
16,15,Texas A&M,13,35.0,250,2.69
17,15,Clemson,14,35.0,230,2.50
18,15,USC,13,35.0,215,2.69
19,20,Temple,13,34.0,222,2.62
20,20,Arizona,13,34.0,196,2.62
21,22,Northern Illinois,13,33.0,251,2.54
22,22,Michigan State,13,33.0,209,2.54
23,22,TCU,13,33.0,206,2.54
24,22,Troy,13,33.0,194,2.54
25,26,North Carolina,13,32.0,257,2.46
26,26,Mississippi,13,32.0,230,2.46
27,26,Connecticut,13,32.0,213,2.46
28,29,Alabama,14,31.0,250,2.21
29,29,Missouri,13,31.0,244,2.39
30,29,Ohio State,13,31.0,201,2.39
31,29,Purdue,12,31.0,195,2.58
32,29,Nevada,13,31.0,175,2.39
33,34,Kansas,12,30.0,225,2.50
34,34,Utah,13,30.0,223,2.31
35,34,Georgia,13,30.0,204,2.31
36,34,California,13,30.0,181,2.31
37,34,Iowa,13,30.0,177,2.31
38,39,Arkansas,13,29.0,211,2.23
39,39,Oklahoma State,13,29.0,203,2.23
40,39,Kent State,12,29.0,185,2.42
41,39,Northwestern,13,29.0,172,2.23
42,43,Auburn,13,28.0,200,2.15
43,43,East Carolina,14,28.0,191,2.00
44,43,West Virginia,13,28.0,184,2.15
45,43,Washington,12,28.0,183,2.33
46,47,Colorado,12,27.0,194,2.25
47,47,Central Michigan,14,27.0,161,1.93
48,47,Marshall,13,27.0,150,2.08
49,50,Maryland,12,26.0,184,2.17
50,50,BYU,13,26.0,180,2.00
51,50,South Carolina,13,26.0,173,2.00
52,50,Tulsa,12,26.0,169,2.17
53,50,Louisiana-Monroe,12,26.0,161,2.17
54,50,Florida State,13,26.0,158,2.00
55,50,Boise State,14,26.0,156,1.86
56,57,UCLA,13,25.0,196,1.92
57,57,Indiana,12,25.0,168,2.08
58,57,Georgia Tech,14,25.0,164,1.79
59,57,South Florida,13,25.0,148,1.92
60,61,Miami (Florida),13,24.0,199,1.85
61,61,Army,12,24.0,197,2.00
62,61,Wake Forest,12,24.0,170,2.00
63,61,North Carolina State,12,24.0,159,2.00
64,65,Houston,14,23.0,197,1.64
65,65,New Mexico,12,23.0,193,1.92
66,65,Colorado State,12,23.0,179,1.92
67,65,Louisville,12,23.0,165,1.92
68,65,Air Force,13,23.0,158,1.77
69,65,Arizona State,12,23.0,153,1.92
70,65,Wyoming,13,23.0,147,1.77
71,72,Buffalo,12,22.0,177,1.83
72,72,Louisiana Tech,12,22.0,170,1.83
73,72,Minnesota,13,22.0,164,1.69
74,72,Navy,14,22.0,155,1.57
75,72,Virginia,12,22.0,127,1.83
76,77,Stanford,13,21.0,173,1.62
77,77,Michigan,12,21.0,154,1.75
78,77,Rice,12,21.0,131,1.75
79,77,SMU,13,21.0,131,1.62
80,77,Ohio,14,21.0,123,1.50
81,77,Bowling Green,13,21.0,120,1.62
82,77,New Mexico State,13,21.0,107,1.62
83,84,Kansas State,12,20.0,177,1.67
84,84,Florida International,12,20.0,163,1.67
85,84,Tennessee,13,20.0,150,1.54
86,84,Toledo,12,20.0,148,1.67
87,84,Notre Dame,12,20.0,147,1.67
88,84,LSU,13,20.0,144,1.54
89,84,Arkansas State,12,20.0,143,1.67
90,84,San Jose State,12,20.0,143,1.67
91,84,Vanderbilt,12,20.0,120,1.67
92,93,Hawai'i,13,19.0,145,1.46
93,93,Illinois,12,19.0,130,1.58
94,93,San Diego State,12,19.0,129,1.58
95,93,UAB,12,19.0,125,1.58
96,93,Memphis,12,19.0,121,1.58
97,93,Western Michigan,12,19.0,114,1.58
98,99,Baylor,12,18.0,133,1.50
99,99,Boston College,13,18.0,131,1.39
100,101,Utah State,12,17.0,116,1.42
101,101,Oregon State,13,17.0,116,1.31
102,101,Duke,12,17.0,100,1.42
103,104,Eastern Michigan,12,16.0,132,1.33
104,104,Louisiana-Lafayette,12,16.0,117,1.33
105,104,Iowa State,13,16.0,96,1.23
106,104,Mississippi State,12,16.0,82,1.33
107,108,UTEP,12,15.0,120,1.25
108,108,UNLV,12,15.0,119,1.25
109,108,Ball State,12,15.0,106,1.25
110,108,Tulane,12,15.0,100,1.25
111,108,Kentucky,13,15.0,96,1.15
112,108,Idaho,13,15.0,82,1.15
113,114,Miami (Ohio),12,14.0,116,1.17
114,115,Washington State,12,13.0,57,1.08
115,116,Florida Atlantic,12,12.0,84,1.00
116,116,North Texas,12,12.0,79,1.00
117,118,Fresno State,13,11.0,73,0.85
118,118,Akron,12,11.0,63,0.92
119,120,Western Kentucky,12,10.0,63,0.83
