,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,Rutgers,13,30,19,63.33
1,2,Houston,14,27,18,66.67
2,3,Iowa State,13,32,17,53.13
3,3,East Carolina,14,29,17,58.62
4,3,Ohio,14,26,17,65.38
5,3,Arkansas,13,25,17,68.00
6,7,UCF,13,31,16,51.61
7,7,Colorado,12,28,16,57.14
8,7,Minnesota,13,26,16,61.54
9,10,Washington,12,31,15,48.39
10,10,Northern Illinois,13,29,15,51.72
11,10,Southern Mississippi,13,27,15,55.56
12,10,Missouri,13,24,15,62.50
13,10,San Jose State,12,23,15,65.22
14,15,Tennessee,13,28,14,50.00
15,15,Texas Tech,13,28,14,50.00
16,15,Middle Tennessee,13,28,14,50.00
17,15,Washington State,12,23,14,60.87
18,15,Georgia Tech,14,22,14,63.64
19,15,Air Force,13,21,14,66.67
20,21,Northwestern,13,26,13,50.00
21,21,Virginia Tech,13,23,13,56.52
22,21,Indiana,12,22,13,59.09
23,21,Florida State,13,20,13,65.00
24,21,Connecticut,13,19,13,68.42
25,26,Texas,14,25,12,48.00
26,26,Purdue,12,24,12,50.00
27,26,Tulsa,12,23,12,52.17
28,26,Miami (Florida),13,23,12,52.17
29,26,Oklahoma,13,23,12,52.17
30,26,New Mexico,12,22,12,54.55
31,26,Syracuse,12,21,12,57.14
32,26,Western Michigan,12,19,12,63.16
33,26,Oklahoma State,13,19,12,63.16
34,26,Rice,12,18,12,66.67
35,26,Wisconsin,13,16,12,75.00
36,37,USC,13,28,11,39.29
37,37,Troy,13,27,11,40.74
38,37,Kent State,12,26,11,42.31
39,37,Temple,13,25,11,44.00
40,37,Arkansas State,12,25,11,44.00
41,37,Ohio State,13,24,11,45.83
42,37,TCU,13,23,11,47.83
43,37,Mississippi,13,23,11,47.83
44,37,Army,12,22,11,50.00
45,37,SMU,13,22,11,50.00
46,37,Oregon,13,21,11,52.38
47,37,Florida Atlantic,12,21,11,52.38
48,37,Buffalo,12,21,11,52.38
49,37,Illinois,12,20,11,55.00
50,37,UAB,12,20,11,55.00
51,37,UNLV,12,20,11,55.00
52,37,Eastern Michigan,12,19,11,57.89
53,37,Boise State,14,18,11,61.11
54,37,New Mexico State,13,18,11,61.11
55,37,South Carolina,13,16,11,68.75
56,37,Kansas State,12,15,11,73.33
57,58,Hawai'i,13,31,10,32.26
58,58,Wyoming,13,25,10,40.00
59,58,Louisiana-Monroe,12,25,10,40.00
60,58,Texas A&M,13,24,10,41.67
61,58,Navy,14,24,10,41.67
62,58,North Carolina,13,23,10,43.48
63,58,Louisiana-Lafayette,12,22,10,45.45
64,58,Duke,12,22,10,45.45
65,58,BYU,13,19,10,52.63
66,58,Western Kentucky,12,19,10,52.63
67,58,UCLA,13,19,10,52.63
68,58,California,13,19,10,52.63
69,58,Kansas,12,18,10,55.56
70,58,South Florida,13,18,10,55.56
71,58,Bowling Green,13,17,10,58.82
72,58,Nevada,13,16,10,62.50
73,74,Clemson,14,32,9,28.13
74,74,Ball State,12,27,9,33.33
75,74,Pittsburgh,13,21,9,42.86
76,74,Toledo,12,21,9,42.86
77,74,Arizona State,12,21,9,42.86
78,74,Iowa,13,20,9,45.00
79,74,Utah State,12,19,9,47.37
80,74,Central Michigan,14,16,9,56.25
81,74,Stanford,13,14,9,64.29
82,74,Marshall,13,13,9,69.23
83,74,Penn State,13,11,9,81.82
84,85,Nebraska,14,26,8,30.77
85,85,Utah,13,22,8,36.36
86,85,Mississippi State,12,22,8,36.36
87,85,Oregon State,13,22,8,36.36
88,85,Idaho,13,21,8,38.10
89,85,North Texas,12,21,8,38.10
90,85,Memphis,12,21,8,38.10
91,85,Colorado State,12,19,8,42.11
92,85,Maryland,12,17,8,47.06
93,85,Virginia,12,17,8,47.06
94,85,Baylor,12,16,8,50.00
95,85,Auburn,13,15,8,53.33
96,85,Michigan State,13,14,8,57.14
97,85,Boston College,13,13,8,61.54
98,99,Fresno State,13,21,7,33.33
99,99,Florida International,12,18,7,38.89
100,99,Alabama,14,17,7,41.18
101,99,Notre Dame,12,16,7,43.75
102,99,UTEP,12,14,7,50.00
103,99,Louisville,12,14,7,50.00
104,99,Louisiana Tech,12,13,7,53.85
105,99,Arizona,13,13,7,53.85
106,99,Vanderbilt,12,11,7,63.64
107,108,Miami (Ohio),12,21,6,28.57
108,108,Akron,12,20,6,30.00
109,108,Kentucky,13,17,6,35.29
110,108,North Carolina State,12,15,6,40.00
111,108,West Virginia,13,14,6,42.86
112,108,Wake Forest,12,11,6,54.55
113,114,LSU,13,24,5,20.83
114,114,Tulane,12,19,5,26.32
115,114,Michigan,12,14,5,35.71
116,117,San Diego State,12,12,4,33.33
117,118,Florida,14,19,3,15.79
118,118,Cincinnati,13,12,3,25.00
119,120,Georgia,13,18,2,11.11
