,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,SMU,13,9,0.69
1,2,Middle Tennessee,13,8,0.62
2,3,Eastern Michigan,12,6,0.50
3,3,Florida International,12,6,0.50
4,3,Houston,14,6,0.43
5,3,East Carolina,14,6,0.43
6,3,Nebraska,14,6,0.43
7,8,Baylor,12,5,0.42
8,8,Georgia,13,5,0.38
9,8,South Carolina,13,5,0.38
10,8,UCLA,13,5,0.38
11,8,Fresno State,13,5,0.38
12,8,Rutgers,13,5,0.38
13,8,Ohio,14,5,0.36
14,15,Louisiana-Lafayette,12,4,0.33
15,15,Ball State,12,4,0.33
16,15,Western Michigan,12,4,0.33
17,15,Arkansas State,12,4,0.33
18,15,Akron,12,4,0.33
19,15,New Mexico,12,4,0.33
20,15,Bowling Green,13,4,0.31
21,15,Utah,13,4,0.31
22,15,Air Force,13,4,0.31
23,15,Minnesota,13,4,0.31
24,15,Wyoming,13,4,0.31
25,15,Auburn,13,4,0.31
26,15,Oregon,13,4,0.31
27,15,Texas,14,4,0.29
28,15,Alabama,14,4,0.29
29,30,Kent State,12,3,0.25
30,30,Kansas State,12,3,0.25
31,30,Colorado,12,3,0.25
32,30,Tulsa,12,3,0.25
33,30,Toledo,12,3,0.25
34,30,North Texas,12,3,0.25
35,30,North Carolina State,12,3,0.25
36,30,Michigan,12,3,0.25
37,30,Duke,12,3,0.25
38,30,San Jose State,12,3,0.25
39,30,Washington State,12,3,0.25
40,30,Virginia,12,3,0.25
41,30,TCU,13,3,0.23
42,30,Iowa,13,3,0.23
43,30,Mississippi,13,3,0.23
44,30,Wisconsin,13,3,0.23
45,30,Stanford,13,3,0.23
46,30,Marshall,13,3,0.23
47,30,Pittsburgh,13,3,0.23
48,30,South Florida,13,3,0.23
49,30,LSU,13,3,0.23
50,30,Oklahoma,13,3,0.23
51,30,Northern Illinois,13,3,0.23
52,30,Boise State,14,3,0.21
53,54,Rice,12,2,0.17
54,54,Utah State,12,2,0.17
55,54,Army,12,2,0.17
56,54,Colorado State,12,2,0.17
57,54,Mississippi State,12,2,0.17
58,54,Maryland,12,2,0.17
59,54,Western Kentucky,12,2,0.17
60,54,Miami (Ohio),12,2,0.17
61,54,Memphis,12,2,0.17
62,54,San Diego State,12,2,0.17
63,54,Florida Atlantic,12,2,0.17
64,54,Wake Forest,12,2,0.17
65,54,Idaho,13,2,0.15
66,54,Temple,13,2,0.15
67,54,Kentucky,13,2,0.15
68,54,BYU,13,2,0.15
69,54,Troy,13,2,0.15
70,54,Texas Tech,13,2,0.15
71,54,Southern Mississippi,13,2,0.15
72,54,USC,13,2,0.15
73,54,Michigan State,13,2,0.15
74,54,Penn State,13,2,0.15
75,54,Arkansas,13,2,0.15
76,54,Oklahoma State,13,2,0.15
77,54,New Mexico State,13,2,0.15
78,54,Florida State,13,2,0.15
79,54,Nevada,13,2,0.15
80,54,Northwestern,13,2,0.15
81,54,Central Michigan,14,2,0.14
82,54,Florida,14,2,0.14
83,84,Vanderbilt,12,1,0.08
84,84,Texas A&M,13,1,0.08
85,84,North Carolina,13,1,0.08
86,84,Purdue,12,1,0.08
87,84,Iowa State,13,1,0.08
88,84,Missouri,13,1,0.08
89,84,Louisiana-Monroe,12,1,0.08
90,84,UCF,13,1,0.08
91,84,UAB,12,1,0.08
92,84,West Virginia,13,1,0.08
93,84,Louisiana Tech,12,1,0.08
94,84,Oregon State,13,1,0.08
95,84,Arizona,13,1,0.08
96,84,Arizona State,12,1,0.08
97,84,Notre Dame,12,1,0.08
98,84,UNLV,12,1,0.08
99,84,Virginia Tech,13,1,0.08
100,84,Navy,14,1,0.07
101,84,Clemson,14,1,0.07
102,84,Georgia Tech,14,1,0.07
