,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Hawai'i,13,9,15,1.67,0,0.7,1.2
1,2,Oklahoma,13,17,30,1.76,0,1.3,2.3
2,3,USC,13,17,35,2.06,0,1.3,2.7
3,4,Iowa State,13,16,35,2.19,0,1.2,2.7
4,5,UCF,13,14,32,2.29,0,1.1,2.5
5,6,Missouri,13,20,57,2.85,1,1.5,4.4
6,7,Southern Mississippi,13,14,53,3.79,0,1.1,4.1
7,8,Ball State,12,25,96,3.84,0,2.1,8.0
8,9,LSU,13,13,52,4.00,0,1.0,4.0
9,10,Florida,14,5,21,4.20,0,0.4,1.5
10,11,Central Michigan,14,8,36,4.50,0,0.6,2.6
11,12,Kansas State,12,15,70,4.67,1,1.3,5.8
12,13,Arkansas State,12,31,147,4.74,0,2.6,12.3
13,14,Ohio State,13,9,49,5.44,0,0.7,3.8
14,15,Nevada,13,12,66,5.50,0,0.9,5.1
15,16,Troy,13,19,105,5.53,0,1.5,8.1
16,17,UNLV,12,22,122,5.55,0,1.8,10.2
17,18,North Carolina,13,28,156,5.57,0,2.2,12.0
18,19,Wyoming,13,36,202,5.61,0,2.8,15.5
19,20,Michigan,12,21,118,5.62,0,1.8,9.8
20,21,Iowa,13,23,131,5.70,0,1.8,10.1
21,22,Buffalo,12,21,121,5.76,0,1.8,10.1
22,23,TCU,13,21,126,6.00,0,1.6,9.7
23,24,Connecticut,13,22,133,6.05,0,1.7,10.2
24,25,Florida Atlantic,12,10,61,6.10,1,0.8,5.1
25,26,Louisiana-Lafayette,12,20,123,6.15,0,1.7,10.3
26,27,Rutgers,13,28,173,6.18,0,2.2,13.3
27,28,Oregon State,13,13,81,6.23,1,1.0,6.2
28,29,Tulsa,12,28,175,6.25,0,2.3,14.6
29,30,BYU,13,16,103,6.44,0,1.2,7.9
30,31,Texas A&M,13,20,130,6.50,0,1.5,10.0
31,32,Minnesota,13,29,190,6.55,0,2.2,14.6
32,33,Kentucky,13,11,73,6.64,1,0.8,5.6
33,34,Louisville,12,20,133,6.65,0,1.7,11.1
34,35,Wisconsin,13,17,114,6.71,0,1.3,8.8
35,36,Texas Tech,13,24,162,6.75,1,1.8,12.5
36,37,Stanford,13,12,82,6.83,0,0.9,6.3
37,37,Oregon,13,30,205,6.83,0,2.3,15.8
38,39,Boise State,14,22,152,6.91,0,1.6,10.9
39,40,Indiana,12,31,216,6.97,1,2.6,18.0
40,41,Florida International,12,37,265,7.16,0,3.1,22.1
41,42,UCLA,13,23,170,7.39,0,1.8,13.1
42,43,Georgia Tech,14,10,74,7.40,0,0.7,5.3
