,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Houston,14,77,20,65,2,0,591,42.2
1,1,Boise State,14,76,19,66,5,1,591,42.2
2,3,Texas,14,68,24,66,1,1,550,39.3
3,4,Cincinnati,13,66,13,63,1,1,502,38.6
4,5,TCU,13,65,15,61,0,1,498,38.3
5,6,Nevada,13,69,6,61,2,0,497,38.2
6,7,Texas Tech,13,64,11,60,2,0,481,37.0
7,8,Oregon,13,60,16,55,3,0,469,36.1
8,9,Arkansas,13,60,16,58,0,1,468,36.0
9,10,Florida,14,63,22,58,0,0,502,35.9
10,11,BYU,13,62,10,59,0,0,461,35.5
11,11,Stanford,13,59,16,53,3,0,461,35.5
12,13,Central Michigan,14,61,17,56,1,0,475,33.9
13,14,Georgia Tech,14,62,14,59,0,0,473,33.8
14,14,Fresno State,13,56,15,55,1,1,440,33.8
15,16,Troy,13,55,18,52,0,1,438,33.7
16,17,Auburn,13,55,15,54,1,1,433,33.3
17,18,Southern Mississippi,13,57,14,42,1,0,428,32.9
18,19,Texas A&M,13,56,12,51,2,0,427,32.8
19,20,Idaho,13,55,13,50,3,0,425,32.7
20,21,Alabama,14,52,30,43,2,0,449,32.1
21,21,Pittsburgh,13,50,23,46,1,0,417,32.1
22,23,Middle Tennessee,13,52,18,50,0,0,416,32.0
23,24,Virginia Tech,13,51,20,48,0,0,414,31.8
24,24,Wisconsin,13,52,17,50,0,0,413,31.8
25,26,Oregon State,13,49,22,45,1,1,409,31.5
26,27,Connecticut,13,52,14,47,1,1,405,31.2
27,28,Clemson,14,54,21,45,2,0,436,31.1
28,28,Oklahoma,13,50,18,48,0,1,404,31.1
29,30,Miami (Florida),13,50,14,50,0,1,394,30.3
30,30,North Carolina State,12,48,10,46,0,0,364,30.3
31,32,Florida State,13,48,19,40,3,0,391,30.1
32,32,Notre Dame,12,44,19,36,2,0,361,30.1
33,34,Utah,13,46,21,43,1,2,388,29.8
34,34,UTEP,12,46,13,39,2,0,358,29.8
35,36,Michigan State,13,47,20,44,0,0,386,29.7
36,36,Air Force,13,46,22,40,2,0,386,29.7
37,36,Toledo,12,46,12,40,2,0,356,29.7
38,39,Mississippi,13,49,15,45,0,0,384,29.5
39,39,Temple,13,48,17,45,0,0,384,29.5
40,39,Michigan,12,46,11,43,1,0,354,29.5
41,42,Kansas,12,45,13,42,1,0,353,29.4
42,43,Tennessee,13,49,13,46,0,1,381,29.3
43,43,Tulsa,12,45,13,42,0,0,351,29.3
44,45,SMU,13,50,11,47,0,0,380,29.2
45,45,Louisiana Tech,12,45,12,42,1,0,350,29.2
46,47,California,13,48,15,45,0,0,378,29.1
47,47,Utah State,12,44,13,40,2,1,349,29.1
48,49,Ohio State,13,44,21,42,2,2,377,29.0
49,49,Missouri,13,42,26,39,0,4,377,29.0
50,51,Georgia,13,45,20,42,1,1,376,28.9
51,52,Penn State,13,47,15,46,0,1,375,28.8
52,52,Rutgers,13,45,18,39,5,1,375,28.8
53,54,Northern Illinois,13,45,19,39,2,1,372,28.6
54,55,Bowling Green,13,48,12,44,0,1,370,28.5
55,56,Oklahoma State,13,47,13,46,1,0,369,28.4
56,57,Navy,14,51,11,49,1,1,392,28.0
57,58,Purdue,12,42,14,40,0,0,334,27.8
58,58,UAB,12,42,14,35,2,0,333,27.8
59,60,Arizona,13,44,17,39,0,1,356,27.4
60,60,Florida Atlantic,12,44,8,37,1,1,329,27.4
61,62,East Carolina,14,45,20,44,1,1,378,27.0
62,63,North Texas,12,42,10,35,0,1,319,26.6
63,64,USC,13,44,12,42,1,0,344,26.5
64,64,South Florida,13,44,12,42,0,1,344,26.5
65,66,Wake Forest,12,40,12,40,0,0,316,26.3
66,67,UCF,13,43,14,38,1,0,340,26.2
67,67,West Virginia,13,43,13,41,0,1,340,26.2
68,69,Kentucky,13,44,11,40,0,1,339,26.1
69,69,Washington,12,37,18,35,1,0,313,26.1
70,71,Northwestern,13,40,18,35,2,2,337,25.9
71,72,Louisiana-Monroe,12,39,12,35,0,1,307,25.6
72,72,Mississippi State,12,37,16,35,0,1,307,25.6
73,74,Duke,12,35,19,33,0,1,302,25.2
74,75,Nebraska,14,40,24,38,1,0,352,25.1
75,76,Ohio,14,41,21,32,3,0,347,24.8
76,76,LSU,13,39,17,34,1,1,323,24.8
77,76,Boston College,13,40,13,39,0,2,322,24.8
78,76,UNLV,12,39,9,37,0,0,298,24.8
79,80,Western Michigan,12,38,10,36,0,1,296,24.7
80,81,Illinois,12,38,9,35,0,0,290,24.2
81,82,Buffalo,12,37,10,33,1,1,289,24.1
82,83,North Carolina,13,35,21,34,0,1,309,23.8
83,84,Indiana,12,34,14,34,0,1,282,23.5
84,85,San Diego State,12,35,10,30,2,3,280,23.3
85,86,Iowa,13,35,19,32,0,1,301,23.2
86,87,Kansas State,12,34,13,29,1,1,276,23.0
87,88,Florida International,12,35,10,33,1,0,275,22.9
88,89,Hawai'i,13,37,12,34,0,2,296,22.8
89,90,Arkansas State,12,33,15,27,1,0,272,22.7
90,91,Arizona State,12,34,11,29,1,0,268,22.3
91,91,Colorado,12,34,10,31,1,0,267,22.3
92,93,Louisiana-Lafayette,12,35,8,30,1,0,266,22.2
93,94,UCLA,13,28,28,24,3,2,286,22.0
94,95,Marshall,13,34,15,34,0,0,283,21.8
95,95,Memphis,12,33,11,31,0,0,262,21.8
96,97,Colorado State,12,33,12,26,0,0,260,21.7
97,98,Maryland,12,29,18,26,1,0,256,21.3
98,99,Syracuse,12,31,13,29,0,0,254,21.2
99,100,Minnesota,13,33,13,31,2,0,272,20.9
100,101,Baylor,12,32,9,28,1,0,249,20.8
101,102,South Carolina,13,31,17,29,0,1,268,20.6
102,103,Iowa State,13,33,13,26,2,0,267,20.5
103,104,Western Kentucky,12,29,14,25,2,0,245,20.4
104,105,Virginia,12,26,17,23,1,0,232,19.3
105,105,Akron,12,30,7,30,0,0,231,19.3
106,105,Kent State,12,27,13,24,0,3,231,19.3
107,108,Ball State,12,25,19,19,1,1,230,19.2
108,109,Wyoming,13,27,16,22,2,1,238,18.3
109,109,Rice,12,28,8,25,1,0,219,18.3
110,111,Louisville,12,26,13,20,1,0,217,18.1
111,112,Eastern Michigan,12,24,10,21,1,0,197,16.4
112,113,New Mexico,12,23,13,19,0,0,196,16.3
113,113,Vanderbilt,12,21,16,20,0,1,196,16.3
114,115,Tulane,12,24,9,22,0,0,193,16.1
115,116,Miami (Ohio),12,25,7,16,0,0,187,15.6
116,117,Army,12,19,18,14,1,0,184,15.3
117,118,San Jose State,12,21,7,16,1,0,165,13.8
118,119,Washington State,12,18,7,15,0,0,144,12.0
119,120,New Mexico State,13,18,9,14,0,0,149,11.5
