,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Washington,12,21,1.75
1,1,Southern Mississippi,13,21,1.62
2,3,Iowa State,13,20,1.54
3,4,San Jose State,12,19,1.58
4,4,USC,13,19,1.46
5,4,East Carolina,14,19,1.36
6,7,Kent State,12,18,1.50
7,7,Toledo,12,18,1.50
8,7,Tennessee,13,18,1.38
9,7,Northwestern,13,18,1.38
10,11,Western Michigan,12,17,1.42
11,11,North Carolina,13,17,1.31
12,11,UCF,13,17,1.31
13,11,Oklahoma,13,17,1.31
14,11,Ohio,14,17,1.21
15,16,New Mexico,12,16,1.33
16,16,Temple,13,16,1.23
17,16,SMU,13,16,1.23
18,16,Middle Tennessee,13,16,1.23
19,16,Texas,14,16,1.14
20,16,Georgia Tech,14,16,1.14
21,22,Tulsa,12,15,1.25
22,22,Washington State,12,15,1.25
23,22,Wyoming,13,15,1.15
24,22,Oregon State,13,15,1.15
25,22,Navy,14,15,1.07
26,27,Purdue,12,14,1.17
27,27,Ball State,12,14,1.17
28,27,UAB,12,14,1.17
29,27,Arizona State,12,14,1.17
30,27,Iowa,13,14,1.08
31,27,Troy,13,14,1.08
32,27,Texas Tech,13,14,1.08
33,27,Pittsburgh,13,14,1.08
34,27,Fresno State,13,14,1.08
35,27,Northern Illinois,13,14,1.08
36,27,Clemson,14,14,1.00
37,27,Nebraska,14,14,1.00
38,39,Syracuse,12,13,1.08
39,39,Louisiana-Lafayette,12,13,1.08
40,39,Colorado,12,13,1.08
41,39,Western Kentucky,12,13,1.08
42,39,Memphis,12,13,1.08
43,39,Idaho,13,13,1.00
44,39,BYU,13,13,1.00
45,39,Connecticut,13,13,1.00
46,39,Mississippi,13,13,1.00
47,39,Missouri,13,13,1.00
48,39,Minnesota,13,13,1.00
49,39,South Florida,13,13,1.00
50,39,Oregon,13,13,1.00
51,39,UCLA,13,13,1.00
52,39,Ohio State,13,13,1.00
53,39,Virginia Tech,13,13,1.00
54,55,Kansas,12,12,1.00
55,55,Baylor,12,12,1.00
56,55,Indiana,12,12,1.00
57,55,UNLV,12,12,1.00
58,55,Buffalo,12,12,1.00
59,55,Bowling Green,13,12,0.92
60,55,Utah,13,12,0.92
61,55,Air Force,13,12,0.92
62,55,Arkansas,13,12,0.92
63,55,South Carolina,13,12,0.92
64,55,Houston,14,12,0.86
65,66,Utah State,12,11,0.92
66,66,Army,12,11,0.92
67,66,Illinois,12,11,0.92
68,66,Miami (Ohio),12,11,0.92
69,66,Arkansas State,12,11,0.92
70,66,Wisconsin,13,11,0.85
71,66,Miami (Florida),13,11,0.85
72,66,Oklahoma State,13,11,0.85
73,66,New Mexico State,13,11,0.85
74,66,Florida State,13,11,0.85
75,66,California,13,11,0.85
76,66,Nevada,13,11,0.85
77,66,Rutgers,13,11,0.85
78,66,Boise State,14,11,0.79
79,80,Maryland,12,10,0.83
80,80,Akron,12,10,0.83
81,80,Florida Atlantic,12,10,0.83
82,80,Texas A&M,13,10,0.77
83,80,TCU,13,10,0.77
84,80,Hawai'i,13,10,0.77
85,80,LSU,13,10,0.77
86,80,Arizona,13,10,0.77
87,80,Florida,14,10,0.71
88,89,Rice,12,9,0.75
89,89,Vanderbilt,12,9,0.75
90,89,Colorado State,12,9,0.75
91,89,North Carolina State,12,9,0.75
92,89,Louisiana-Monroe,12,9,0.75
93,89,Michigan,12,9,0.75
94,89,Louisville,12,9,0.75
95,89,Virginia,12,9,0.75
96,89,Boston College,13,9,0.69
97,89,Cincinnati,13,9,0.69
98,89,Marshall,13,9,0.69
99,89,Georgia,13,9,0.69
100,89,Auburn,13,9,0.69
101,89,Central Michigan,14,9,0.64
102,103,Kansas State,12,8,0.67
103,103,Mississippi State,12,8,0.67
104,103,Tulane,12,8,0.67
105,103,UTEP,12,8,0.67
106,103,North Texas,12,8,0.67
107,103,Louisiana Tech,12,8,0.67
108,103,Duke,12,8,0.67
109,103,Kentucky,13,8,0.62
110,103,Stanford,13,8,0.62
111,103,Penn State,13,8,0.62
112,103,West Virginia,13,8,0.62
113,103,Alabama,14,8,0.57
114,115,Eastern Michigan,12,7,0.58
115,115,Notre Dame,12,7,0.58
116,115,Wake Forest,12,7,0.58
117,118,Florida International,12,6,0.50
118,119,San Diego State,12,5,0.42
119,119,Michigan State,13,5,0.38
