,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Boise State,14,5.0,32,0.36
1,2,Stanford,13,8.0,44,0.62
2,3,Army,12,10.0,67,0.83
3,4,Oklahoma State,13,11.0,65,0.85
4,4,Air Force,13,11.0,81,0.85
5,6,TCU,13,12.0,76,0.92
6,6,Georgia Tech,14,12.0,86,0.86
7,6,East Carolina,14,12.0,89,0.86
8,6,North Texas,12,12.0,93,1.00
9,6,Georgia,13,12.0,96,0.92
10,11,Arizona,13,13.0,94,1.00
11,11,Nevada,13,13.0,107,1.00
12,11,Oregon,13,13.0,123,1.00
13,14,Michigan State,13,14.0,82,1.08
14,14,Louisiana-Lafayette,12,14.0,88,1.17
15,14,Northern Illinois,13,14.0,113,1.08
16,17,Cincinnati,13,15.0,96,1.15
17,17,Pittsburgh,13,15.0,101,1.15
18,17,UNLV,12,15.0,113,1.25
19,17,Oklahoma,13,15.0,124,1.15
20,21,Kentucky,13,16.0,85,1.23
21,21,Louisiana-Monroe,12,16.0,98,1.33
22,21,Mississippi,13,16.0,99,1.23
23,21,Indiana,12,16.0,110,1.33
24,21,San Diego State,12,16.0,137,1.33
25,26,Central Michigan,14,17.0,85,1.21
26,26,Penn State,13,17.0,103,1.31
27,26,Iowa State,13,17.0,104,1.31
28,26,Memphis,12,17.0,129,1.42
29,26,Southern Mississippi,13,17.0,151,1.31
30,31,USC,13,18.0,107,1.39
31,31,Toledo,12,18.0,116,1.50
32,31,Houston,14,18.0,136,1.29
33,31,Clemson,14,18.0,136,1.29
34,31,Tennessee,13,18.0,142,1.39
35,36,Nebraska,14,19.0,121,1.36
36,36,Kent State,12,19.0,135,1.58
37,36,Boston College,13,19.0,145,1.46
38,36,Middle Tennessee,13,19.0,159,1.46
39,40,Alabama,14,20.0,112,1.43
40,40,Utah,13,20.0,121,1.54
41,40,Purdue,12,20.0,126,1.67
42,40,Mississippi State,12,20.0,130,1.67
43,40,Buffalo,12,20.0,140,1.67
44,40,Florida State,13,20.0,146,1.54
45,40,Florida Atlantic,12,20.0,155,1.67
46,40,Missouri,13,20.0,191,1.54
47,48,Fresno State,13,21.0,88,1.62
48,48,UAB,12,21.0,124,1.75
49,48,Connecticut,13,21.0,137,1.62
50,48,Temple,13,21.0,158,1.62
51,48,Colorado State,12,21.0,169,1.75
52,48,Auburn,13,21.0,181,1.62
53,54,Navy,14,22.0,118,1.57
54,54,BYU,13,22.0,133,1.69
55,56,Wisconsin,13,23.0,154,1.77
56,56,Western Michigan,12,23.0,157,1.92
57,56,Ohio State,13,23.0,162,1.77
58,56,New Mexico State,13,23.0,171,1.77
59,60,Troy,13,24.0,126,1.85
60,60,Vanderbilt,12,24.0,163,2.00
61,60,Kansas State,12,24.0,197,2.00
62,60,West Virginia,13,24.0,209,1.85
63,64,Idaho,13,25.0,147,1.92
64,64,Michigan,12,25.0,161,2.08
65,64,Eastern Michigan,12,25.0,163,2.08
66,64,Arkansas,13,25.0,172,1.92
67,64,Notre Dame,12,25.0,173,2.08
68,64,UTEP,12,25.0,191,2.08
69,70,North Carolina,13,26.0,147,2.00
70,70,Marshall,13,26.0,164,2.00
71,70,Akron,12,26.0,165,2.17
72,70,Arizona State,12,26.0,168,2.17
73,74,Washington,12,27.0,172,2.25
74,74,Louisiana Tech,12,27.0,185,2.25
75,74,Syracuse,12,27.0,196,2.25
76,77,Florida,14,28.0,143,2.00
77,77,UCLA,13,28.0,169,2.15
78,77,Wake Forest,12,28.0,175,2.33
79,77,Duke,12,28.0,200,2.33
80,77,Ohio,14,28.0,213,2.00
81,82,Bowling Green,13,29.0,179,2.23
82,82,Tulane,12,29.0,198,2.42
83,82,Texas A&M,13,29.0,224,2.23
84,82,Oregon State,13,29.0,229,2.23
85,82,Iowa,13,29.0,232,2.23
86,87,Baylor,12,30.0,196,2.50
87,87,Rice,12,30.0,219,2.50
88,87,Ball State,12,30.0,255,2.50
89,90,Illinois,12,31.0,173,2.58
90,90,California,13,31.0,176,2.39
91,90,Virginia Tech,13,31.0,183,2.39
92,90,Northwestern,13,31.0,212,2.39
93,90,Arkansas State,12,31.0,229,2.58
94,90,Texas Tech,13,31.0,317,2.39
95,96,Texas,14,32.0,180,2.29
96,96,North Carolina State,12,32.0,210,2.67
97,96,Utah State,12,32.0,213,2.67
98,96,Kansas,12,32.0,277,2.67
99,100,UCF,13,33.0,203,2.54
100,101,Florida International,12,34.0,227,2.83
101,101,San Jose State,12,34.0,271,2.83
102,103,LSU,13,35.0,253,2.69
103,103,Miami (Florida),13,35.0,257,2.69
104,105,Louisville,12,36.0,205,3.00
105,105,Hawai'i,13,36.0,223,2.77
106,105,SMU,13,36.0,225,2.77
107,105,South Carolina,13,36.0,251,2.77
108,105,Maryland,12,36.0,254,3.00
109,110,Wyoming,13,38.0,245,2.92
110,110,South Florida,13,38.0,255,2.92
111,110,Western Kentucky,12,38.0,272,3.17
112,113,Minnesota,13,40.0,254,3.08
113,113,Rutgers,13,40.0,284,3.08
114,115,New Mexico,12,41.0,262,3.42
115,115,Virginia,12,41.0,314,3.42
116,117,Colorado,12,43.0,366,3.58
117,118,Tulsa,12,45.0,277,3.75
118,119,Washington State,12,53.0,318,4.42
119,120,Miami (Ohio),12,58.0,385,4.83
