,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Navy,14,48,415,3.4,29.6
1,2,Connecticut,13,51,386,3.9,29.7
2,3,Penn State,13,56,406,4.3,31.2
3,4,Iowa,13,57,447,4.4,34.4
4,5,UCF,13,52,489,4.0,37.6
5,6,Kentucky,13,58,502,4.5,38.6
6,7,Fresno State,13,57,515,4.4,39.6
7,8,Tennessee,13,63,516,4.8,39.7
8,9,Temple,13,67,527,5.2,40.5
9,10,Houston,14,63,571,4.5,40.8
10,11,Purdue,12,64,495,5.3,41.3
11,12,Tulane,12,59,497,4.9,41.4
12,13,Ball State,12,62,505,5.2,42.1
13,14,Western Michigan,12,58,507,4.8,42.3
14,15,Alabama,14,69,598,4.9,42.7
15,16,Arizona,13,71,559,5.5,43.0
16,17,Michigan,12,58,517,4.8,43.1
17,17,Army,12,65,517,5.4,43.1
18,19,Boston College,13,64,561,4.9,43.2
19,19,Ohio State,13,71,561,5.5,43.2
20,21,North Carolina State,12,64,519,5.3,43.3
21,22,West Virginia,13,66,572,5.1,44.0
22,23,Duke,12,59,530,4.9,44.2
23,24,Mississippi,13,72,579,5.5,44.5
24,25,Clemson,14,69,629,4.9,44.9
25,25,Mississippi State,12,67,539,5.6,44.9
26,25,Northwestern,13,73,584,5.6,44.9
27,28,Air Force,13,64,585,4.9,45.0
28,29,Cincinnati,13,63,589,4.8,45.3
29,30,Rutgers,13,81,594,6.2,45.7
30,31,New Mexico State,13,68,597,5.2,45.9
31,32,Maryland,12,66,553,5.5,46.1
32,33,San Jose State,12,75,554,6.3,46.2
33,34,Northern Illinois,13,70,611,5.4,47.0
34,35,Georgia Tech,14,84,659,6.0,47.1
35,36,Wisconsin,13,69,616,5.3,47.4
36,37,San Diego State,12,67,570,5.6,47.5
37,38,Eastern Michigan,12,68,572,5.7,47.7
38,39,Rice,12,69,574,5.8,47.8
39,40,Tulsa,12,58,582,4.8,48.5
40,41,LSU,13,86,633,6.6,48.7
41,42,Virginia Tech,13,75,634,5.8,48.8
42,42,Kansas,12,72,586,6.0,48.8
43,44,Louisiana-Lafayette,12,66,590,5.5,49.2
44,45,Bowling Green,13,71,641,5.5,49.3
45,46,California,13,68,642,5.2,49.4
46,47,Iowa State,13,71,648,5.5,49.8
47,47,Indiana,12,70,598,5.8,49.8
48,49,Vanderbilt,12,75,600,6.3,50.0
49,50,Hawai'i,13,78,652,6.0,50.2
50,51,Central Michigan,14,74,704,5.3,50.3
51,52,Miami (Ohio),12,75,605,6.3,50.4
52,53,Pittsburgh,13,67,656,5.2,50.5
53,54,Akron,12,70,610,5.8,50.8
54,55,UNLV,12,63,613,5.3,51.1
55,56,Syracuse,12,73,614,6.1,51.2
56,57,Wake Forest,12,70,618,5.8,51.5
57,58,Colorado State,12,69,624,5.8,52.0
58,59,Minnesota,13,80,678,6.2,52.2
59,59,Arkansas,13,87,679,6.7,52.2
60,61,Florida,14,95,735,6.8,52.5
61,62,Stanford,13,72,685,5.5,52.7
62,63,South Carolina,13,80,695,6.2,53.5
63,64,TCU,13,72,703,5.5,54.1
64,64,Miami (Florida),13,93,703,7.2,54.1
65,66,Buffalo,12,63,651,5.3,54.3
66,67,UCLA,13,81,711,6.2,54.7
67,68,Louisiana Tech,12,71,658,5.9,54.8
68,69,Virginia,12,68,659,5.7,54.9
69,70,Missouri,13,69,716,5.3,55.1
70,71,Ohio,14,86,776,6.1,55.4
71,71,Michigan State,13,83,720,6.4,55.4
72,73,Notre Dame,12,75,666,6.3,55.5
73,74,North Carolina,13,81,735,6.2,56.5
74,75,Boise State,14,87,792,6.2,56.6
75,76,Kent State,12,78,680,6.5,56.7
76,77,Washington State,12,80,681,6.7,56.8
77,78,Memphis,12,82,685,6.8,57.1
78,79,Middle Tennessee,13,81,745,6.2,57.3
79,80,Wyoming,13,82,747,6.3,57.5
80,81,Louisville,12,79,691,6.6,57.6
81,81,South Florida,13,91,749,7.0,57.6
82,83,Western Kentucky,12,85,693,7.1,57.8
83,84,North Texas,12,80,695,6.7,57.9
84,85,Texas,14,94,817,6.7,58.4
85,86,Washington,12,83,709,6.9,59.1
86,87,Oregon State,13,101,773,7.8,59.5
87,88,East Carolina,14,102,841,7.3,60.1
88,88,Arkansas State,12,91,721,7.6,60.1
89,90,New Mexico,12,79,724,6.6,60.3
90,90,Kansas State,12,84,723,7.0,60.3
91,92,Nevada,13,87,793,6.7,61.0
92,93,Louisiana-Monroe,12,90,733,7.5,61.1
93,94,Illinois,12,78,734,6.5,61.2
94,95,USC,13,90,798,6.9,61.4
95,96,Oregon,13,94,805,7.2,61.9
96,97,Florida State,13,89,812,6.8,62.5
97,98,Florida International,12,93,754,7.8,62.8
98,99,Oklahoma State,13,97,822,7.5,63.2
99,100,SMU,13,95,824,7.3,63.4
100,101,Idaho,13,87,829,6.7,63.8
101,102,Nebraska,14,100,894,7.1,63.9
102,103,Auburn,13,97,847,7.5,65.2
103,104,Baylor,12,95,791,7.9,65.9
104,105,BYU,13,93,865,7.2,66.5
105,106,Georgia,13,105,878,8.1,67.5
106,107,Troy,13,106,888,8.2,68.3
107,108,Marshall,13,94,893,7.2,68.7
108,108,UAB,12,90,824,7.5,68.7
109,110,Utah,13,101,900,7.8,69.2
110,111,Texas A&M,13,99,901,7.6,69.3
111,112,UTEP,12,92,838,7.7,69.8
112,113,Toledo,12,97,841,8.1,70.1
113,114,Southern Mississippi,13,101,914,7.8,70.3
114,115,Florida Atlantic,12,99,857,8.3,71.4
115,116,Colorado,12,107,907,8.9,75.6
116,117,Utah State,12,89,909,7.4,75.8
