,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,TCU,13,1043,2073,801,3116,3.89,239.7
1,2,Alabama,14,1111,2324,842,3435,4.08,245.4
2,3,Texas,14,1013,2514,918,3527,3.84,251.9
3,4,Florida,14,1406,2127,844,3533,4.19,252.4
4,5,Ohio State,13,1180,2230,826,3410,4.13,262.3
5,6,North Carolina,13,1243,2262,835,3505,4.20,269.6
6,7,Nebraska,14,1294,2504,955,3798,3.98,271.3
7,8,Oklahoma,13,1208,2336,866,3544,4.09,272.6
8,9,Penn State,13,1168,2400,811,3568,4.40,274.5
9,10,Iowa,13,1607,1988,844,3595,4.26,276.5
10,11,Air Force,13,1742,2006,793,3748,4.73,288.3
11,12,Virginia Tech,13,1669,2172,835,3841,4.60,295.5
12,13,Arizona State,12,1303,2268,750,3571,4.76,297.6
13,14,Boise State,14,1685,2518,879,4203,4.78,300.2
14,15,South Carolina,13,1790,2119,828,3909,4.72,300.7
15,16,Army,12,1826,1836,726,3662,5.04,305.2
16,17,Wisconsin,13,1147,2827,782,3974,5.08,305.7
17,18,Rutgers,13,1342,2659,827,4001,4.84,307.8
18,19,Utah,13,1792,2288,876,4080,4.66,313.8
19,20,Clemson,14,2121,2279,967,4400,4.55,314.3
20,21,Mississippi,13,1824,2267,866,4091,4.72,314.7
21,22,Tennessee,13,1943,2201,852,4144,4.86,318.8
22,23,Pittsburgh,13,1382,2769,836,4151,4.97,319.3
23,24,South Florida,13,1761,2422,836,4183,5.00,321.8
24,25,Arizona,13,1566,2620,826,4186,5.07,322.0
25,26,LSU,13,1734,2525,910,4259,4.68,327.6
26,26,Boston College,13,1340,2919,896,4259,4.75,327.6
27,28,BYU,13,1432,2846,870,4278,4.92,329.1
28,29,Miami (Florida),13,1590,2695,831,4285,5.16,329.6
29,30,Northern Illinois,13,1636,2672,795,4308,5.42,331.4
30,31,Oklahoma State,13,1245,3078,919,4323,4.70,332.5
31,32,Temple,13,1399,2943,854,4342,5.08,334.0
32,32,UCLA,13,1856,2486,836,4342,5.19,334.0
33,34,Navy,14,1710,2983,856,4693,5.48,335.2
34,35,Oregon,13,1673,2699,953,4372,4.59,336.3
35,36,West Virginia,13,1647,2728,865,4375,5.06,336.5
36,37,Syracuse,12,1222,2822,743,4044,5.44,337.0
37,38,Georgia,13,1640,2772,868,4412,5.08,339.4
38,39,Kansas State,12,1265,2814,757,4079,5.39,339.9
39,40,USC,13,1666,2760,919,4426,4.82,340.5
40,41,Arkansas State,12,1475,2622,783,4097,5.23,341.4
41,42,Buffalo,12,1581,2531,790,4112,5.21,342.7
42,43,Central Michigan,14,1720,3099,939,4819,5.13,344.2
43,44,Louisiana-Monroe,12,1341,2843,819,4184,5.11,348.7
44,45,Ohio,14,2163,2727,1000,4890,4.89,349.3
45,46,Oregon State,13,1487,3056,838,4543,5.42,349.5
46,47,Northwestern,13,1666,2884,843,4550,5.40,350.0
47,48,UCF,13,1076,3481,871,4557,5.23,350.5
48,49,Texas Tech,13,1648,2933,949,4581,4.83,352.4
49,50,Middle Tennessee,13,1778,2835,952,4613,4.85,354.8
50,51,Kent State,12,1648,2627,860,4275,4.97,356.3
51,52,Virginia,12,2086,2215,852,4301,5.05,358.4
52,53,Georgia Tech,14,2123,2921,831,5044,6.07,360.3
53,54,Kentucky,13,2378,2308,845,4686,5.55,360.5
54,55,North Carolina State,12,1669,2666,762,4335,5.69,361.3
55,56,Vanderbilt,12,2374,1979,845,4353,5.15,362.8
56,57,Colorado,12,1934,2422,805,4356,5.41,363.0
57,58,Mississippi State,12,1752,2640,774,4392,5.67,366.0
58,59,Akron,12,2063,2349,833,4412,5.30,367.7
