,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Nebraska,14,28,16,57.14,11,39.29,5,17.86
1,2,Iowa State,13,50,33,66.00,27,54.00,6,12.00
2,3,Alabama,14,24,16,66.67,8,33.33,8,33.33
3,4,Mississippi,13,44,30,68.18,15,34.09,15,34.09
4,5,Penn State,13,29,20,68.97,11,37.93,9,31.03
5,6,East Carolina,14,53,37,69.81,26,49.06,11,20.75
6,7,Colorado,12,44,31,70.45,19,43.18,12,27.27
7,8,Navy,14,48,34,70.83,21,43.75,13,27.08
8,9,Kent State,12,53,38,71.70,22,41.51,16,30.19
9,10,Arkansas,13,46,33,71.74,19,41.30,14,30.43
10,11,Oklahoma State,13,43,31,72.09,22,51.16,9,20.93
11,12,Texas Tech,13,44,32,72.73,23,52.27,9,20.45
12,13,Pittsburgh,13,37,27,72.97,20,54.05,7,18.92
13,14,Central Michigan,14,52,38,73.08,23,44.23,15,28.85
14,15,Ohio State,13,27,20,74.07,15,55.56,5,18.52
15,16,Army,12,35,26,74.29,19,54.29,7,20.00
16,17,Arkansas State,12,39,29,74.36,21,53.85,8,20.51
17,18,Virginia Tech,13,43,32,74.42,15,34.88,17,39.53
18,19,Buffalo,12,51,38,74.51,26,50.98,12,23.53
19,20,TCU,13,24,18,75.00,12,50.00,6,25.00
20,20,Oklahoma,13,36,27,75.00,18,50.00,9,25.00
21,20,Notre Dame,12,44,33,75.00,25,56.82,8,18.18
22,23,Florida,14,33,25,75.76,14,42.42,11,33.33
23,24,Kentucky,13,46,35,76.09,27,58.70,8,17.39
24,25,Indiana,12,47,36,76.60,27,57.45,9,19.15
25,26,Louisiana Tech,12,43,33,76.74,20,46.51,13,30.23
26,27,Wyoming,13,57,44,77.19,30,52.63,14,24.56
27,28,South Florida,13,44,34,77.27,21,47.73,13,29.55
28,28,Marshall,13,44,34,77.27,25,56.82,9,20.45
29,30,Air Force,13,31,24,77.42,15,48.39,9,29.03
30,31,Boston College,13,40,31,77.50,16,40.00,15,37.50
31,31,Utah,13,40,31,77.50,20,50.00,11,27.50
32,31,Minnesota,13,40,31,77.50,21,52.50,10,25.00
33,34,Fresno State,13,45,35,77.78,26,57.78,9,20.00
34,34,Colorado State,12,45,35,77.78,29,64.44,6,13.33
35,34,Baylor,12,54,42,77.78,29,53.70,13,24.07
36,37,Houston,14,59,46,77.97,35,59.32,11,18.64
37,38,Northern Illinois,13,37,29,78.38,18,48.65,11,29.73
38,39,Purdue,12,51,40,78.43,29,56.86,11,21.57
39,40,Temple,13,42,33,78.57,21,50.00,12,28.57
40,41,USC,13,47,37,78.72,25,53.19,12,25.53
41,42,Middle Tennessee,13,38,30,78.95,20,52.63,10,26.32
42,43,Florida State,13,53,42,79.25,35,66.04,7,13.21
43,44,Boise State,14,29,23,79.31,17,58.62,6,20.69
44,45,South Carolina,13,39,31,79.49,20,51.28,11,28.21
45,46,Ball State,12,44,35,79.55,25,56.82,10,22.73
46,47,SMU,13,49,39,79.59,35,71.43,4,8.16
47,48,Rutgers,13,30,24,80.00,20,66.67,4,13.33
48,48,UCLA,13,35,28,80.00,16,45.71,12,34.29
49,48,Northwestern,13,40,32,80.00,23,57.50,9,22.50
50,48,Duke,12,45,36,80.00,26,57.78,10,22.22
51,48,Eastern Michigan,12,55,44,80.00,36,65.45,8,14.55
52,48,Tulane,12,70,56,80.00,41,58.57,15,21.43
53,54,San Jose State,12,56,45,80.36,33,58.93,12,21.43
54,54,Washington State,12,56,45,80.36,34,60.71,11,19.64
55,54,Texas A&M,13,56,45,80.36,35,62.50,10,17.86
56,54,Akron,12,56,45,80.36,37,66.07,8,14.29
57,58,Illinois,12,51,41,80.39,30,58.82,11,21.57
58,59,Bowling Green,13,46,37,80.43,30,65.22,7,15.22
59,60,LSU,13,41,33,80.49,13,31.71,20,48.78
60,61,UAB,12,52,42,80.77,31,59.62,11,21.15
61,61,New Mexico State,13,52,42,80.77,31,59.62,11,21.15
62,63,BYU,13,47,38,80.85,27,57.45,11,23.40
63,63,Western Michigan,12,47,38,80.85,27,57.45,11,23.40
64,65,Mississippi State,12,42,34,80.95,23,54.76,11,26.19
65,66,North Carolina State,12,58,47,81.03,36,62.07,11,18.97
66,67,New Mexico,12,53,43,81.13,33,62.26,10,18.87
67,68,Ohio,14,48,39,81.25,24,50.00,15,31.25
68,68,San Diego State,12,48,39,81.25,29,60.42,10,20.83
69,70,Tulsa,12,43,35,81.40,18,41.86,17,39.53
70,71,Georgia Tech,14,49,40,81.63,26,53.06,14,28.57
71,71,Oregon,13,49,40,81.63,29,59.18,11,22.45
72,73,Florida International,12,55,45,81.82,32,58.18,13,23.64
73,74,Washington,12,50,41,82.00,24,48.00,17,34.00
74,75,Miami (Florida),13,39,32,82.05,14,35.90,18,46.15
75,76,Texas,14,34,28,82.35,18,52.94,10,29.41
76,76,Louisiana-Lafayette,12,51,42,82.35,32,62.75,10,19.61
77,76,Miami (Ohio),12,51,42,82.35,35,68.63,7,13.73
78,79,Iowa,13,29,24,82.76,14,48.28,10,34.48
79,80,UCF,13,35,29,82.86,19,54.29,10,28.57
80,81,Georgia,13,41,34,82.93,22,53.66,12,29.27
81,82,Arizona State,12,30,25,83.33,13,43.33,12,40.00
