,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Oregon State,13,56,54,96.43,41,73.21,13,23.21
1,2,Arkansas,13,49,47,95.92,35,71.43,12,24.49
2,3,Auburn,13,41,39,95.12,29,70.73,10,24.39
3,3,Louisiana Tech,12,41,39,95.12,28,68.29,11,26.83
4,5,Georgia,13,35,33,94.29,22,62.86,11,31.43
5,6,Virginia,12,30,28,93.33,15,50.00,13,43.33
6,7,Texas,14,58,54,93.10,40,68.97,14,24.14
7,8,Oregon,13,57,53,92.98,41,71.93,12,21.05
8,9,Wisconsin,13,58,53,91.38,42,72.41,11,18.97
9,9,Pittsburgh,13,58,53,91.38,33,56.90,20,34.48
10,11,Central Michigan,14,66,60,90.91,48,72.73,12,18.18
11,12,SMU,13,43,39,90.70,30,69.77,9,20.93
12,13,Virginia Tech,13,53,47,88.68,32,60.38,15,28.30
13,14,Boston College,13,44,39,88.64,27,61.36,12,27.27
14,15,Louisiana-Lafayette,12,35,31,88.57,27,77.14,4,11.43
15,16,BYU,13,61,54,88.52,47,77.05,7,11.48
16,17,Northern Illinois,13,52,46,88.46,29,55.77,17,32.69
17,18,Mississippi,13,43,38,88.37,27,62.79,11,25.58
18,19,Temple,13,51,45,88.24,29,56.86,16,31.37
19,19,Purdue,12,34,30,88.24,25,73.53,5,14.71
20,21,Kansas,12,50,44,88.00,35,70.00,9,18.00
21,22,Cincinnati,13,58,51,87.93,42,72.41,9,15.52
22,23,LSU,13,41,36,87.80,25,60.98,11,26.83
23,24,North Carolina State,12,49,43,87.76,35,71.43,8,16.33
24,25,Tennessee,13,55,48,87.27,37,67.27,11,20.00
25,26,South Florida,13,46,40,86.96,30,65.22,10,21.74
26,27,Houston,14,84,73,86.90,56,66.67,17,20.24
27,28,Western Kentucky,12,37,32,86.49,23,62.16,9,24.32
28,29,Alabama,14,59,51,86.44,28,47.46,23,38.98
29,30,USC,13,43,37,86.05,27,62.79,10,23.26
30,30,Washington,12,43,37,86.05,22,51.16,15,34.88
31,32,Texas Tech,13,61,52,85.25,43,70.49,9,14.75
32,33,Idaho,13,47,40,85.11,32,68.09,8,17.02
33,34,TCU,13,60,51,85.00,39,65.00,12,20.00
34,35,Penn State,13,53,45,84.91,31,58.49,14,26.42
35,36,Boise State,14,79,67,84.81,49,62.03,18,22.78
36,37,Michigan State,13,46,39,84.78,26,56.52,13,28.26
37,38,Oklahoma,13,59,50,84.75,33,55.93,17,28.81
38,39,Florida Atlantic,12,45,38,84.44,32,71.11,6,13.33
39,39,Wake Forest,12,45,38,84.44,29,64.44,9,20.00
40,39,North Carolina,13,45,38,84.44,21,46.67,17,37.78
41,42,Iowa,13,38,32,84.21,20,52.63,12,31.58
42,43,Oklahoma State,13,44,37,84.09,28,63.64,9,20.45
43,44,Notre Dame,12,50,42,84.00,28,56.00,14,28.00
44,45,Iowa State,13,37,31,83.78,23,62.16,8,21.62
45,45,UCLA,13,37,31,83.78,13,35.14,18,48.65
46,47,Connecticut,13,49,41,83.67,33,67.35,8,16.33
47,47,Utah,13,49,41,83.67,26,53.06,15,30.61
48,49,Stanford,13,61,51,83.61,42,68.85,9,14.75
49,50,Toledo,12,42,35,83.33,27,64.29,8,19.05
50,50,California,13,42,35,83.33,24,57.14,11,26.19
51,52,Nevada,13,53,44,83.02,39,73.58,5,9.43
52,53,Utah State,12,41,34,82.93,25,60.98,9,21.95
53,53,UAB,12,41,34,82.93,22,53.66,12,29.27
54,55,Kentucky,13,46,38,82.61,31,67.39,7,15.22
55,56,Navy,14,57,47,82.46,40,70.18,7,12.28
56,57,Duke,12,39,32,82.05,18,46.15,14,35.90
57,58,Nebraska,14,49,40,81.63,26,53.06,14,28.57
58,59,Troy,13,65,53,81.54,40,61.54,13,20.00
59,60,Air Force,13,54,44,81.48,27,50.00,17,31.48
60,60,East Carolina,14,54,44,81.48,27,50.00,17,31.48
61,62,South Carolina,13,43,35,81.40,23,53.49,12,27.91
62,63,Maryland,12,32,26,81.25,16,50.00,10,31.25
63,64,Middle Tennessee,13,52,42,80.77,29,55.77,13,25.00
64,64,Missouri,13,52,42,80.77,21,40.38,21,40.38
65,66,Florida State,13,57,46,80.70,36,63.16,10,17.54
66,67,Georgia Tech,14,62,50,80.65,40,64.52,10,16.13
67,68,Syracuse,12,41,33,80.49,25,60.98,8,19.51
68,69,Clemson,14,51,41,80.39,28,54.90,13,25.49
69,70,Southern Mississippi,13,61,49,80.33,37,60.66,12,19.67
70,71,Miami (Florida),13,55,44,80.00,34,61.82,10,18.18
71,71,Rutgers,13,40,32,80.00,19,47.50,13,32.50
72,71,Colorado State,12,35,28,80.00,21,60.00,7,20.00
73,74,Illinois,12,39,31,79.49,25,64.10,6,15.38
74,75,Ohio State,13,48,38,79.17,25,52.08,13,27.08
75,76,Colorado,12,43,34,79.07,26,60.47,8,18.60
76,77,Arkansas State,12,52,41,78.85,28,53.85,13,25.00
77,78,West Virginia,13,47,37,78.72,30,63.83,7,14.89
78,78,North Texas,12,47,37,78.72,28,59.57,9,19.15
79,80,Marshall,13,42,33,78.57,22,52.38,11,26.19
80,81,Florida International,12,46,36,78.26,28,60.87,8,17.39
81,82,Fresno State,13,55,43,78.18,33,60.00,10,18.18
82,82,Tulsa,12,55,43,78.18,31,56.36,12,21.82
83,84,Buffalo,12,41,32,78.05,22,53.66,10,24.39
84,85,Texas A&M,13,63,49,77.78,41,65.08,8,12.70
85,85,Arizona,13,54,42,77.78,28,51.85,14,25.93
86,85,Minnesota,13,45,35,77.78,23,51.11,12,26.67
87,85,Indiana,12,45,35,77.78,22,48.89,13,28.89
88,85,Ball State,12,36,28,77.78,14,38.89,14,38.89
89,90,UTEP,12,52,40,76.92,28,53.85,12,23.08
90,91,Arizona State,12,43,33,76.74,22,51.16,11,25.58
91,91,Louisville,12,43,33,76.74,21,48.84,12,27.91
92,93,San Jose State,12,30,23,76.67,18,60.00,5,16.67
93,94,Northwestern,13,47,36,76.60,25,53.19,11,23.40
94,95,San Diego State,12,38,29,76.32,23,60.53,6,15.79
95,96,Memphis,12,42,32,76.19,23,54.76,9,21.43
96,97,UNLV,12,49,37,75.51,28,57.14,9,18.37
97,98,Florida,14,68,51,75.00,34,50.00,17,25.00
98,98,New Mexico State,13,32,24,75.00,16,50.00,8,25.00
99,100,Wyoming,13,35,26,74.29,13,37.14,13,37.14
100,101,Western Michigan,12,53,39,73.58,30,56.60,9,16.98
101,102,Tulane,12,34,25,73.53,17,50.00,8,23.53
102,103,Vanderbilt,12,37,27,72.97,14,37.84,13,35.14
103,104,Kansas State,12,47,34,72.34,26,55.32,8,17.02
104,105,Mississippi State,12,46,33,71.74,21,45.65,12,26.09
105,106,Louisiana-Monroe,12,53,38,71.70,29,54.72,9,16.98
106,106,UCF,13,53,38,71.70,29,54.72,9,16.98
107,108,Eastern Michigan,12,35,25,71.43,18,51.43,7,20.00
108,109,Ohio,14,45,32,71.11,18,40.00,14,31.11
109,110,Army,12,38,27,71.05,16,42.11,11,28.95
110,111,Miami (Ohio),12,34,24,70.59,18,52.94,6,17.65
111,112,Washington State,12,23,16,69.57,11,47.83,5,21.74
112,113,New Mexico,12,29,20,68.97,12,41.38,8,27.59
113,114,Bowling Green,13,69,47,68.12,35,50.72,12,17.39
114,115,Akron,12,38,25,65.79,19,50.00,6,15.79
115,116,Michigan,12,49,32,65.31,25,51.02,7,14.29
116,117,Baylor,12,40,26,65.00,19,47.50,7,17.50
117,117,Kent State,12,40,26,65.00,16,40.00,10,25.00
118,119,Hawai'i,13,57,36,63.16,26,45.61,10,17.54
119,120,Rice,12,41,25,60.98,20,48.78,5,12.20
