,Rank,Name,G,Total Time,Time/G
0,1,Wisconsin,13,440:52,33:54.77
1,2,Navy,14,474:44,33:54.57
2,3,Georgia Tech,14,473:28,33:49.14
3,4,Kansas State,12,405:34,33:47.83
4,5,Alabama,14,469:14,33:31.00
5,6,Arizona,13,424:20,32:38.46
6,7,Penn State,13,423:56,32:36.62
7,8,Air Force,13,421:55,32:27.31
8,9,Marshall,13,420:46,32:22.00
9,10,Louisiana-Monroe,12,387:53,32:19.42
10,11,Stanford,13,417:04,32:04.92
11,12,Army,12,383:27,31:57.25
12,13,Fresno State,13,414:44,31:54.15
13,14,Notre Dame,12,382:49,31:54.08
14,15,Oregon State,13,414:29,31:53.00
15,16,Oklahoma State,13,413:52,31:50.15
16,17,Wake Forest,12,381:44,31:48.67
17,18,TCU,13,413:18,31:47.54
18,19,Mississippi State,12,381:18,31:46.50
19,20,Florida Atlantic,12,380:10,31:40.83
20,21,Miami (Ohio),12,378:43,31:33.58
21,22,Ohio State,13,409:26,31:29.69
22,23,Bowling Green,13,406:44,31:17.23
23,24,Northern Illinois,13,405:31,31:11.62
24,25,Syracuse,12,373:50,31:09.17
25,26,Rutgers,13,404:49,31:08.38
26,27,Utah,13,403:47,31:03.62
27,28,SMU,13,403:23,31:01.77
28,29,Iowa,13,402:41,30:58.54
29,30,East Carolina,14,433:22,30:57.29
30,31,Pittsburgh,13,402:13,30:56.38
31,32,Nevada,13,402:10,30:56.15
32,33,UCF,13,402:08,30:56.00
33,34,Northwestern,13,402:00,30:55.38
34,35,Florida,14,432:24,30:53.14
35,36,BYU,13,401:00,30:50.77
36,37,Kansas,12,369:48,30:49.00
37,38,Eastern Michigan,12,369:39,30:48.25
38,39,Florida State,13,400:00,30:46.15
39,40,North Texas,12,369:12,30:46.00
40,41,Idaho,13,399:52,30:45.54
41,42,Toledo,12,368:30,30:42.50
42,43,Temple,13,398:24,30:38.77
43,44,Arizona State,12,367:31,30:37.58
44,45,Boise State,14,428:01,30:34.36
45,46,Texas,14,427:54,30:33.86
46,47,Nebraska,14,426:54,30:29.57
47,48,North Carolina,13,395:49,30:26.85
48,49,Washington,12,365:10,30:25.83
49,50,South Carolina,13,395:22,30:24.77
50,51,Tennessee,13,395:13,30:24.08
51,52,Kentucky,13,394:56,30:22.77
52,53,Virginia Tech,13,394:39,30:21.46
53,54,Western Michigan,12,364:01,30:20.08
54,55,Central Michigan,14,424:40,30:20.00
55,56,Miami (Florida),13,393:20,30:15.38
56,56,West Virginia,13,393:20,30:15.38
57,58,Tulane,12,362:40,30:13.33
58,59,South Florida,13,392:28,30:11.38
59,60,Louisiana-Lafayette,12,361:51,30:09.25
60,61,Colorado,12,360:31,30:02.58
61,62,Texas A&M,13,389:31,29:57.77
62,63,North Carolina State,12,358:13,29:51.08
63,64,Colorado State,12,358:11,29:50.92
64,65,Mississippi,13,387:51,29:50.08
65,66,Illinois,12,357:56,29:49.67
66,67,UNLV,12,357:42,29:48.50
67,68,New Mexico State,13,387:29,29:48.38
68,69,Arkansas State,12,357:40,29:48.33
69,70,Purdue,12,357:39,29:48.25
70,71,UCLA,13,387:03,29:46.38
71,72,Western Kentucky,12,356:25,29:42.08
72,73,Buffalo,12,354:51,29:34.25
73,74,Louisiana Tech,12,354:30,29:32.50
74,75,Indiana,12,353:53,29:29.42
75,76,Georgia,13,383:02,29:27.85
76,77,UTEP,12,352:54,29:24.50
77,78,Memphis,12,352:06,29:20.50
78,79,Louisville,12,351:52,29:19.33
79,80,Boston College,13,381:07,29:19.00
80,81,Tulsa,12,350:48,29:14.00
81,82,Auburn,13,379:53,29:13.31
82,83,Duke,12,350:24,29:12.00
83,84,Connecticut,13,379:30,29:11.54
84,85,USC,13,379:14,29:10.31
85,85,California,13,379:14,29:10.31
86,87,UAB,12,349:57,29:09.75
87,88,Southern Mississippi,13,378:45,29:08.08
88,89,Utah State,12,349:05,29:05.42
89,90,Hawai'i,13,376:36,28:58.15
90,91,Troy,13,376:29,28:57.62
91,92,Ohio,14,405:10,28:56.43
92,93,Minnesota,13,375:53,28:54.85
93,94,Texas Tech,13,375:50,28:54.62
94,95,San Jose State,12,346:49,28:54.08
95,96,Kent State,12,346:48,28:54.00
96,97,Michigan State,13,375:02,28:50.92
97,98,Arkansas,13,374:48,28:49.85
98,99,Maryland,12,345:41,28:48.42
99,100,Wyoming,13,373:38,28:44.46
100,101,Ball State,12,344:50,28:44.17
101,102,Oklahoma,13,373:16,28:42.77
102,103,Rice,12,341:53,28:29.42
103,104,Iowa State,13,367:42,28:17.08
104,105,New Mexico,12,336:56,28:04.67
105,106,Clemson,14,389:56,27:51.14
106,107,LSU,13,361:47,27:49.77
107,108,San Diego State,12,333:29,27:47.42
108,109,Missouri,13,360:26,27:43.54
109,110,Middle Tennessee,13,357:27,27:29.77
110,111,Baylor,12,328:48,27:24.00
111,112,Virginia,12,326:42,27:13.50
112,113,Akron,12,326:30,27:12.50
113,114,Florida International,12,322:08,26:50.67
114,115,Houston,14,374:53,26:46.64
115,116,Michigan,12,317:01,26:25.08
116,117,Oregon,13,341:59,26:18.38
117,118,Washington State,12,315:38,26:18.17
118,119,Vanderbilt,12,314:13,26:11.08
119,120,Cincinnati,13,335:04,25:46.46
