,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
40,41,Texas Tech,13,35,16,34,0,0,292,22.5
41,41,UCF,13,37,13,32,0,0,293,22.5
42,43,Kentucky,13,38,11,34,0,0,295,22.7
43,44,Cincinnati,13,37,14,30,2,1,300,23.1
44,45,Arkansas State,12,36,10,33,0,0,279,23.3
45,45,Vanderbilt,12,33,17,31,0,0,280,23.3
46,45,Kansas State,12,36,10,34,0,0,280,23.3
47,48,Connecticut,13,38,14,31,2,1,307,23.6
48,49,Middle Tennessee,13,38,15,33,1,0,308,23.7
49,50,Buffalo,12,34,17,30,0,0,285,23.8
50,50,Oregon,13,35,22,29,1,1,309,23.8
51,50,Minnesota,13,37,17,36,0,0,309,23.8
52,53,Arizona,13,37,18,31,2,0,311,23.9
53,54,Marshall,13,41,10,38,1,0,316,24.3
54,55,Northwestern,13,41,11,39,0,0,318,24.5
55,56,Georgia Tech,14,42,18,39,0,1,347,24.8
56,57,Oregon State,13,44,5,38,3,1,325,25.0
57,58,Arkansas,13,38,21,33,1,0,326,25.1
58,59,Missouri,13,40,18,32,2,0,330,25.4
59,60,California,13,40,17,38,1,0,331,25.5
60,61,Louisiana Tech,12,36,19,32,2,0,309,25.8
61,61,Southern Mississippi,13,40,18,36,3,0,336,25.8
62,63,Notre Dame,12,38,14,35,1,2,311,25.9
63,63,Georgia,13,41,17,36,1,1,337,25.9
64,65,Louisville,12,38,17,36,0,0,315,26.3
65,65,Wake Forest,12,39,14,37,1,0,315,26.3
66,65,Virginia,12,36,22,34,0,0,316,26.3
67,65,Michigan State,13,42,17,39,0,0,342,26.3
68,69,Stanford,13,44,13,42,0,0,345,26.5
69,70,Washington,12,36,22,34,2,0,320,26.7
70,71,Mississippi State,12,41,12,39,0,0,321,26.8
71,72,Baylor,12,37,21,36,0,3,327,27.3
72,72,Tulsa,12,38,21,33,2,0,328,27.3
73,72,Louisiana-Monroe,12,42,11,39,0,2,328,27.3
74,72,Wyoming,13,44,16,41,1,0,355,27.3
75,76,Michigan,12,39,19,35,1,1,330,27.5
76,76,Western Michigan,12,41,16,36,0,0,330,27.5
77,76,Bowling Green,13,47,9,42,3,0,357,27.5
78,76,Auburn,13,46,14,38,1,0,358,27.5
79,80,SMU,13,48,10,39,1,0,359,27.6
80,81,Syracuse,12,44,9,40,1,1,335,27.9
81,82,Ball State,12,41,14,38,3,3,338,28.2
82,83,Duke,12,42,16,40,0,0,340,28.3
83,84,Kansas,12,42,16,35,2,1,341,28.4
84,84,Fresno State,13,47,13,44,2,0,369,28.4
85,86,Nevada,13,49,10,45,1,0,371,28.5
86,87,Akron,12,46,8,43,0,1,345,28.8
87,87,Colorado,12,42,17,41,0,1,346,28.8
88,89,Purdue,12,43,16,39,2,0,349,29.1
89,90,Indiana,12,45,11,43,1,3,354,29.5
90,90,Hawai'i,13,50,12,45,1,0,383,29.5
91,92,Colorado State,12,47,11,37,3,0,358,29.8
92,92,Troy,13,50,14,41,2,0,387,29.8
93,94,Florida State,13,53,8,46,1,0,390,30.0
94,95,Houston,14,56,12,49,0,0,421,30.1
95,96,Illinois,12,45,15,43,2,0,362,30.2
96,97,Louisiana-Lafayette,12,46,14,40,2,1,364,30.3
97,98,San Diego State,12,44,20,42,0,0,366,30.5
98,99,North Carolina State,12,49,11,47,0,0,374,31.2
99,100,Maryland,12,46,18,39,3,0,375,31.3
100,101,New Mexico State,13,53,13,52,1,0,411,31.6
101,102,UAB,12,50,13,47,1,0,388,32.3
102,103,UNLV,12,50,14,47,0,0,389,32.4
