,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Texas,14,200,53,26.50
1,2,TCU,13,194,52,26.80
2,3,Oklahoma,13,207,61,29.47
3,4,North Carolina,13,193,57,29.53
4,5,Arizona State,12,172,51,29.65
5,6,Mississippi,13,192,57,29.69
6,7,Alabama,14,194,58,29.90
7,7,Florida,14,194,58,29.90
8,9,Utah,13,195,59,30.26
9,10,Rutgers,13,178,54,30.34
10,11,Boise State,14,192,59,30.73
11,12,Ohio State,13,188,58,30.85
12,13,Air Force,13,175,54,30.86
13,14,Penn State,13,192,61,31.77
14,15,Nebraska,14,223,72,32.29
15,16,West Virginia,13,195,63,32.31
16,17,Auburn,13,192,63,32.81
17,18,UCLA,13,178,59,33.15
18,19,Boston College,13,197,67,34.01
19,20,Oklahoma State,13,191,65,34.03
20,21,Navy,14,170,58,34.12
21,21,Colorado,12,170,58,34.12
22,23,Northwestern,13,166,57,34.34
23,24,Temple,13,180,63,35.00
24,25,Virginia Tech,13,197,69,35.03
25,26,Wisconsin,13,174,61,35.06
26,27,Arizona,13,179,63,35.20
27,28,Syracuse,12,155,55,35.48
28,28,Tulsa,12,186,66,35.48
29,30,Iowa,13,199,71,35.68
30,31,Middle Tennessee,13,210,75,35.71
31,32,Tennessee,13,184,66,35.87
32,33,California,13,188,68,36.17
33,34,Miami (Florida),13,182,66,36.26
34,35,Mississippi State,12,154,56,36.36
35,36,Virginia,12,181,66,36.46
36,37,Bowling Green,13,175,64,36.57
37,38,Arkansas,13,180,66,36.67
38,39,LSU,13,204,75,36.76
39,40,Michigan,12,184,68,36.96
40,41,Louisiana-Monroe,12,170,63,37.06
41,42,Louisiana Tech,12,161,60,37.27
42,43,Texas A&M,13,184,69,37.50
43,44,Iowa State,13,173,65,37.57
44,45,Georgia,13,183,69,37.70
45,45,South Carolina,13,191,72,37.70
46,47,Oregon State,13,167,63,37.72
47,48,USC,13,196,74,37.76
48,49,Pittsburgh,13,180,68,37.78
49,50,North Texas,12,164,62,37.80
50,51,Oregon,13,211,80,37.91
51,52,Army,12,157,60,38.22
52,53,Western Michigan,12,170,65,38.24
53,54,Kent State,12,183,70,38.25
54,55,BYU,13,188,72,38.30
55,56,Marshall,13,180,69,38.33
56,57,Vanderbilt,12,193,74,38.34
57,58,Maryland,12,172,66,38.37
58,59,Connecticut,13,190,73,38.42
59,60,Ohio,14,216,83,38.43
60,61,Central Michigan,14,205,79,38.54
61,62,Troy,13,189,73,38.62
62,63,South Florida,13,175,68,38.86
63,64,East Carolina,14,203,79,38.92
64,65,Clemson,14,213,83,38.97
65,66,Ball State,12,164,64,39.02
66,67,Wyoming,13,179,70,39.11
67,68,Notre Dame,12,157,62,39.49
68,69,Nevada,13,162,64,39.51
69,69,Cincinnati,13,205,81,39.51
70,71,Texas Tech,13,202,80,39.60
71,72,Kentucky,13,189,75,39.68
72,73,Fresno State,13,166,66,39.76
73,74,Kansas,12,178,71,39.89
74,75,Memphis,12,165,66,40.00
75,76,Washington,12,147,59,40.14
76,77,Louisville,12,149,60,40.27
77,78,Arkansas State,12,171,69,40.35
78,79,Miami (Ohio),12,150,61,40.67
79,80,Purdue,12,177,72,40.68
80,81,Kansas State,12,156,64,41.03
81,82,Georgia Tech,14,173,71,41.04
82,83,Florida Atlantic,12,138,57,41.30
83,84,Washington State,12,144,60,41.67
84,85,Northern Illinois,13,175,73,41.71
85,86,SMU,13,190,80,42.11
86,87,Utah State,12,168,71,42.26
87,87,Wake Forest,12,168,71,42.26
88,89,Southern Mississippi,13,189,80,42.33
89,89,UCF,13,189,80,42.33
90,91,Florida International,12,177,75,42.37
91,92,North Carolina State,12,160,68,42.50
92,93,New Mexico State,13,178,76,42.70
93,94,Missouri,13,201,86,42.79
94,95,Buffalo,12,168,72,42.86
95,96,Stanford,13,177,76,42.94
96,97,Houston,14,193,83,43.01
97,98,Michigan State,13,202,87,43.07
98,99,Rice,12,153,67,43.79
99,100,San Jose State,12,143,63,44.06
100,101,Florida State,13,161,71,44.10
101,102,Hawai'i,13,165,73,44.24
102,103,Minnesota,13,196,87,44.39
103,104,Baylor,12,184,82,44.57
104,105,Duke,12,172,77,44.77
105,106,Illinois,12,167,75,44.91
106,106,UAB,12,167,75,44.91
107,108,Eastern Michigan,12,141,64,45.39
108,109,Louisiana-Lafayette,12,169,77,45.56
109,110,Toledo,12,161,74,45.96
110,111,San Diego State,12,185,86,46.49
111,112,UTEP,12,171,80,46.78
112,113,Indiana,12,160,76,47.50
113,114,New Mexico,12,173,83,47.98
114,115,Akron,12,174,85,48.85
115,116,Tulane,12,140,69,49.29
116,117,UNLV,12,152,75,49.34
117,118,Western Kentucky,12,149,78,52.35
118,119,Idaho,13,168,89,52.98
119,120,Colorado State,12,172,94,54.65
