,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Nebraska,14,79,5368,67.95,29,36.71,1,0
1,2,Oklahoma State,13,73,4947,67.77,35,47.95,0,0
2,3,Utah,13,75,5066,67.55,32,42.67,1,0
3,4,Cincinnati,13,92,6158,66.93,23,25.00,0,0
4,5,UCLA,13,65,4329,66.60,20,30.77,1,0
5,6,UNLV,12,59,3905,66.19,15,25.42,1,1
6,7,Utah State,12,66,4368,66.18,25,37.88,0,4
7,8,Stanford,13,86,5689,66.15,14,16.28,1,1
8,9,Idaho,13,75,4955,66.07,9,12.00,3,4
9,10,New Mexico State,13,39,2574,66.00,12,30.77,1,0
10,11,SMU,13,72,4730,65.69,15,20.83,6,1
11,12,Wisconsin,13,79,5175,65.51,12,15.19,2,0
12,13,Mississippi,13,75,4886,65.15,12,16.00,1,1
13,14,Colorado,12,52,3381,65.02,15,28.85,1,4
14,15,Pittsburgh,13,84,5453,64.92,15,17.86,1,0
15,16,Texas Tech,13,84,5451,64.89,17,20.24,1,2
16,17,Wake Forest,12,61,3955,64.84,13,21.31,1,2
17,18,USC,13,68,4401,64.72,11,16.18,2,1
18,19,Ohio State,13,74,4787,64.69,6,8.11,0,1
19,20,Florida State,13,75,4850,64.67,24,32.00,1,2
20,21,Clemson,14,88,5689,64.65,7,7.95,0,0
21,22,Virginia Tech,13,82,5287,64.48,16,19.51,2,1
22,23,Troy,13,83,5348,64.43,16,19.28,3,0
23,24,Florida,14,99,6377,64.41,10,10.10,4,0
24,25,UCF,13,68,4376,64.35,11,16.18,1,2
25,26,Nevada,13,85,5468,64.33,20,23.53,3,2
26,27,Connecticut,13,75,4790,63.87,12,16.00,3,1
27,28,Florida Atlantic,12,61,3895,63.85,8,13.11,0,1
28,29,Kentucky,13,67,4266,63.67,12,17.91,4,0
29,30,Alabama,14,96,6085,63.39,14,14.58,2,0
30,31,Purdue,12,63,3993,63.38,5,7.94,1,2
31,32,Northern Illinois,13,72,4560,63.33,10,13.89,2,4
32,33,Iowa State,13,56,3544,63.29,2,3.57,0,2
33,34,BYU,13,83,5250,63.25,15,18.07,5,0
34,35,Georgia,13,77,4866,63.19,17,22.08,4,0
35,36,Western Michigan,12,58,3662,63.14,15,25.86,1,1
36,37,Kansas,12,68,4293,63.13,8,11.76,0,1
37,38,Fresno State,13,80,5045,63.06,8,10.00,3,0
38,39,TCU,13,93,5861,63.02,5,5.38,2,0
39,40,Penn State,13,76,4789,63.01,12,15.79,0,0
40,40,Arizona,13,69,4348,63.01,11,15.94,2,1
41,42,Oregon,13,87,5478,62.97,10,11.49,2,1
42,43,Oklahoma,13,81,5099,62.95,6,7.41,0,0
43,43,Texas A&M,13,80,5036,62.95,9,11.25,1,1
44,45,Vanderbilt,12,48,3021,62.94,3,6.25,2,1
45,46,Michigan,12,68,4268,62.76,13,19.12,2,1
46,47,Louisville,12,50,3137,62.74,5,10.00,1,0
47,48,Temple,13,78,4869,62.42,9,11.54,4,1
48,49,Illinois,12,54,3368,62.37,12,22.22,0,4
49,50,Arkansas,13,86,5361,62.34,4,4.65,3,0
50,51,Texas,14,103,6418,62.31,14,13.59,2,1
51,52,Auburn,13,80,4982,62.28,6,7.50,5,1
52,53,Baylor,12,56,3480,62.14,6,10.71,1,0
53,54,Kansas State,12,59,3663,62.08,6,10.17,3,0
54,55,Hawai'i,13,57,3538,62.07,6,10.53,4,3
55,56,Bowling Green,13,73,4528,62.03,7,9.59,4,0
56,57,Michigan State,13,75,4646,61.95,8,10.67,2,2
57,58,Ball State,12,58,3589,61.88,3,5.17,3,0
58,59,Missouri,13,78,4822,61.82,9,11.54,2,0
59,60,Memphis,12,54,3338,61.81,4,7.41,1,1
60,61,Rutgers,13,76,4697,61.80,5,6.58,0,0
61,62,Marshall,13,62,3829,61.76,11,17.74,2,0
62,63,San Diego State,12,56,3454,61.68,2,3.57,0,0
63,64,Minnesota,13,58,3576,61.66,8,13.79,4,0
64,65,Notre Dame,12,71,4377,61.65,2,2.82,3,2
65,66,Navy,14,74,4551,61.50,3,4.05,1,0
66,67,Indiana,12,61,3750,61.48,7,11.48,2,0
67,68,Syracuse,12,55,3376,61.38,3,5.45,3,1
68,69,Arkansas State,12,59,3619,61.34,4,6.78,2,1
69,70,Boise State,14,110,6742,61.29,7,6.36,2,0
70,70,North Carolina,13,69,4229,61.29,2,2.90,1,0
71,72,East Carolina,14,77,4718,61.27,6,7.79,1,0
72,73,Air Force,13,75,4591,61.21,17,22.67,1,2
73,74,Miami (Florida),13,75,4578,61.04,6,8.00,3,1
74,75,LSU,13,68,4147,60.99,3,4.41,2,1
75,76,South Florida,13,67,4082,60.93,4,5.97,1,0
76,77,Iowa,13,66,4017,60.86,5,7.58,1,0
77,78,North Texas,12,63,3833,60.84,6,9.52,4,0
78,79,New Mexico,12,46,2798,60.83,1,2.17,1,4
79,80,Arizona State,12,56,3403,60.77,3,5.36,3,0
80,81,Virginia,12,52,3153,60.63,7,13.46,3,1
81,82,Tulsa,12,68,4120,60.59,9,13.24,2,0
82,83,Boston College,13,62,3752,60.52,7,11.29,4,0
83,84,Colorado State,12,55,3316,60.29,3,5.45,2,2
84,85,Tennessee,13,72,4336,60.22,4,5.56,2,1
85,86,Middle Tennessee,13,80,4804,60.05,5,6.25,0,1
86,87,Oregon State,13,80,4799,59.99,6,7.50,2,2
87,87,Northwestern,13,70,4199,59.99,3,4.29,1,1
88,89,Southern Mississippi,13,81,4842,59.78,5,6.17,1,0
89,90,Central Michigan,14,89,5298,59.53,7,7.87,1,1
90,91,UTEP,12,70,4151,59.30,8,11.43,2,1
91,92,Georgia Tech,14,88,5208,59.18,1,1.14,3,1
92,93,Mississippi State,12,63,3725,59.13,0,0.00,2,1
93,94,Washington State,12,37,2185,59.05,4,10.81,2,0
94,95,Washington,12,63,3716,58.98,5,7.94,0,0
95,95,Tulane,12,43,2536,58.98,2,4.65,1,1
96,97,South Carolina,13,59,3469,58.80,1,1.69,3,0
97,98,California,13,72,4229,58.74,3,4.17,2,3
98,99,Maryland,12,56,3289,58.73,4,7.14,1,2
99,100,Rice,12,47,2757,58.66,4,8.51,2,1
100,101,Duke,12,65,3811,58.63,4,6.15,4,0
101,102,Houston,14,106,6210,58.58,5,4.72,3,3
102,103,North Carolina State,12,68,3974,58.44,0,0.00,3,1
103,104,Wyoming,13,54,3146,58.26,6,11.11,1,1
104,105,Army,12,47,2735,58.19,1,2.13,1,0
105,106,San Jose State,12,39,2262,58.00,3,7.69,0,1
106,107,Miami (Ohio),12,39,2255,57.82,5,12.82,1,4
107,108,UAB,12,63,3638,57.75,0,0.00,2,3
108,109,Buffalo,12,57,3284,57.61,4,7.02,1,0
109,110,Ohio,14,72,4145,57.57,3,4.17,3,2
110,111,Toledo,12,68,3907,57.46,5,7.35,6,2
111,111,Louisiana-Monroe,12,63,3620,57.46,5,7.94,4,1
112,113,Florida International,12,50,2870,57.40,3,6.00,2,4
113,114,Akron,12,48,2743,57.15,3,6.25,2,2
114,115,Louisiana Tech,12,64,3639,56.86,3,4.69,7,3
115,116,West Virginia,13,67,3799,56.70,4,5.97,4,1
116,117,Western Kentucky,12,51,2889,56.65,2,3.92,5,3
117,118,Louisiana-Lafayette,12,55,3053,55.51,1,1.82,0,1
118,119,Eastern Michigan,12,42,2285,54.40,1,2.38,2,4
119,120,Kent State,12,51,2731,53.55,2,3.92,5,0
