,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Georgia,13,56,2691,48.05,4.3,207.0
1,2,Oklahoma State,13,67,3023,45.12,5.2,232.5
2,3,Oklahoma,13,62,2787,44.95,4.8,214.4
3,4,Fresno State,13,45,2010,44.67,3.5,154.6
4,5,Memphis,12,65,2896,44.55,5.4,241.3
5,6,West Virginia,13,64,2844,44.44,4.9,218.8
6,7,Michigan,12,54,2388,44.22,4.5,199.0
7,8,Virginia Tech,13,57,2495,43.77,4.4,191.9
8,9,San Diego State,12,62,2712,43.74,5.2,226.0
9,10,East Carolina,14,69,3011,43.64,4.9,215.1
10,11,Rice,12,77,3354,43.56,6.4,279.5
11,11,Arizona State,12,70,3049,43.56,5.8,254.1
12,13,UCLA,13,71,3091,43.54,5.5,237.8
13,14,New Mexico,12,68,2952,43.41,5.7,246.0
14,14,Florida,14,34,1476,43.41,2.4,105.4
15,16,Western Kentucky,12,57,2474,43.40,4.8,206.2
16,17,Wyoming,13,81,3499,43.20,6.2,269.2
17,18,Air Force,13,53,2289,43.19,4.1,176.1
18,19,Navy,14,54,2327,43.09,3.9,166.2
19,20,Tulsa,12,69,2957,42.86,5.8,246.4
20,21,UTEP,12,52,2227,42.83,4.3,185.6
21,22,Minnesota,13,71,3040,42.82,5.5,233.8
22,23,Washington State,12,87,3718,42.74,7.3,309.8
23,24,Baylor,12,59,2517,42.66,4.9,209.8
24,25,Florida International,12,78,3319,42.55,6.5,276.6
25,26,Connecticut,13,63,2680,42.54,4.8,206.2
26,27,Boise State,14,57,2413,42.33,4.1,172.4
27,28,Georgia Tech,14,37,1565,42.30,2.6,111.8
28,29,Arkansas State,12,53,2240,42.26,4.4,186.7
29,30,Vanderbilt,12,82,3464,42.24,6.8,288.7
30,31,UNLV,12,55,2319,42.16,4.6,193.3
31,32,Syracuse,12,63,2654,42.13,5.3,221.2
32,33,Utah,13,71,2986,42.06,5.5,229.7
33,34,Missouri,13,63,2647,42.02,4.8,203.6
34,35,South Carolina,13,69,2890,41.88,5.3,222.3
35,36,SMU,13,70,2930,41.86,5.4,225.4
36,37,Rutgers,13,69,2879,41.72,5.3,221.5
37,38,Idaho,13,45,1876,41.69,3.5,144.3
38,39,Houston,14,44,1831,41.61,3.1,130.8
39,40,Michigan State,13,63,2621,41.60,4.8,201.6
40,40,Wisconsin,13,50,2080,41.60,3.8,160.0
41,42,UAB,12,57,2370,41.58,4.8,197.5
42,43,California,13,70,2909,41.56,5.4,223.8
43,44,Alabama,14,58,2407,41.50,4.1,171.9
44,45,Florida State,13,44,1825,41.48,3.4,140.4
45,46,Arizona,13,57,2363,41.46,4.4,181.8
46,47,San Jose State,12,74,3058,41.32,6.2,254.8
47,48,Tennessee,13,56,2313,41.30,4.3,177.9
48,49,BYU,13,42,1733,41.26,3.2,133.3
49,50,Nebraska,14,78,3210,41.15,5.6,229.3
50,51,Mississippi,13,56,2304,41.14,4.3,177.2
51,52,Nevada,13,45,1851,41.13,3.5,142.4
52,53,Utah State,12,72,2955,41.04,6.0,246.3
53,53,Kansas,12,54,2216,41.04,4.5,184.7
54,55,Boston College,13,80,3282,41.03,6.2,252.5
55,56,Penn State,13,59,2419,41.00,4.5,186.1
56,57,Iowa,13,61,2496,40.92,4.7,192.0
57,58,Troy,13,56,2285,40.80,4.3,175.8
