,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,LSU,13,27,509,18.85,2,2.1,39.2
1,2,Florida State,13,23,390,16.96,1,1.8,30.0
2,3,Oklahoma,13,43,699,16.26,1,3.3,53.8
3,4,Arizona,13,16,245,15.31,2,1.2,18.8
4,5,Alabama,14,39,587,15.05,1,2.8,41.9
5,6,Clemson,14,26,374,14.38,2,1.9,26.7
6,7,Tulsa,12,20,282,14.10,1,1.7,23.5
7,8,USC,13,28,381,13.61,2,2.2,29.3
8,9,Central Michigan,14,20,270,13.50,2,1.4,19.3
9,10,Georgia Tech,14,21,281,13.38,2,1.5,20.1
10,11,Wyoming,13,17,227,13.35,1,1.3,17.5
11,12,North Carolina,13,30,399,13.30,1,2.3,30.7
12,13,Minnesota,13,10,132,13.20,1,0.8,10.2
13,14,TCU,13,47,619,13.17,2,3.6,47.6
14,14,Texas,14,30,395,13.17,4,2.1,28.2
15,16,SMU,13,21,275,13.10,1,1.6,21.2
16,17,Cincinnati,13,19,247,13.00,1,1.5,19.0
17,18,Notre Dame,12,18,232,12.89,1,1.5,19.3
18,19,Florida International,12,25,322,12.88,0,2.1,26.8
19,20,Air Force,13,24,308,12.83,1,1.8,23.7
20,21,Oklahoma State,13,28,357,12.75,2,2.2,27.5
21,22,Kentucky,13,27,338,12.52,1,2.1,26.0
22,23,California,13,20,247,12.35,1,1.5,19.0
23,23,Rice,12,17,210,12.35,0,1.4,17.5
24,25,Louisiana Tech,12,12,148,12.33,1,1.0,12.3
25,26,Boston College,13,14,171,12.21,1,1.1,13.2
26,27,Oregon,13,28,336,12.00,2,2.2,25.8
27,27,Marshall,13,26,312,12.00,1,2.0,24.0
28,29,UCF,13,26,311,11.96,0,2.0,23.9
29,30,Nebraska,14,44,510,11.59,2,3.1,36.4
30,31,Southern Mississippi,13,32,367,11.47,1,2.5,28.2
31,32,Temple,13,23,263,11.43,2,1.8,20.2
32,33,Louisville,12,17,193,11.35,1,1.4,16.1
33,34,Boise State,14,35,391,11.17,0,2.5,27.9
34,35,Georgia,13,23,255,11.09,0,1.8,19.6
35,36,Baylor,12,21,232,11.05,0,1.8,19.3
36,37,Idaho,13,14,153,10.93,0,1.1,11.8
37,38,Kent State,12,22,240,10.91,0,1.8,20.0
38,39,Connecticut,13,38,412,10.84,1,2.9,31.7
39,40,Virginia Tech,13,34,368,10.82,2,2.6,28.3
40,41,East Carolina,14,17,183,10.76,0,1.2,13.1
41,42,Mississippi,13,28,292,10.43,0,2.2,22.5
42,43,Kansas State,12,25,260,10.40,0,2.1,21.7
43,44,West Virginia,13,25,259,10.36,0,1.9,19.9
44,45,Indiana,12,10,103,10.30,0,0.8,8.6
45,46,Ohio,14,43,437,10.16,4,3.1,31.2
46,47,Mississippi State,12,15,151,10.07,1,1.3,12.6
47,48,Fresno State,13,29,289,9.97,1,2.2,22.2
48,49,Texas Tech,13,25,245,9.80,0,1.9,18.8
49,50,San Diego State,12,16,156,9.75,0,1.3,13.0
50,51,Northern Illinois,13,23,224,9.74,1,1.8,17.2
51,52,Arizona State,12,29,277,9.55,0,2.4,23.1
52,53,Missouri,13,25,238,9.52,0,1.9,18.3
53,54,North Carolina State,12,29,274,9.45,0,2.4,22.8
54,55,Tennessee,13,12,112,9.33,0,0.9,8.6
55,56,UCLA,13,34,309,9.09,0,2.6,23.8
56,57,New Mexico State,13,24,218,9.08,0,1.8,16.8
57,58,Louisiana-Lafayette,12,16,144,9.00,1,1.3,12.0
58,58,Washington,12,11,99,9.00,0,0.9,8.3
59,60,Miami (Florida),13,25,223,8.92,2,1.9,17.2
60,61,Ball State,12,22,192,8.73,1,1.8,16.0
61,62,Michigan,12,27,234,8.67,1,2.3,19.5
62,63,Arkansas State,12,30,254,8.47,0,2.5,21.2
63,63,Arkansas,13,15,127,8.47,1,1.2,9.8
64,65,UTEP,12,13,110,8.46,0,1.1,9.2
65,66,Colorado State,12,13,108,8.31,0,1.1,9.0
66,67,Purdue,12,26,215,8.27,1,2.2,17.9
67,68,Utah,13,42,344,8.19,0,3.2,26.5
68,69,Bowling Green,13,28,224,8.00,0,2.2,17.2
69,70,Ohio State,13,40,319,7.98,0,3.1,24.5
70,71,Oregon State,13,24,191,7.96,0,1.8,14.7
71,72,Toledo,12,15,119,7.93,0,1.3,9.9
