,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Air Force,13,14,20,34,9,3,12,22,1.69
1,2,Rutgers,13,19,15,34,4,10,14,20,1.54
2,3,Boise State,14,11,24,35,11,3,14,21,1.50
3,4,Alabama,14,7,24,31,7,5,12,19,1.36
4,5,Ohio State,13,11,24,35,7,11,18,17,1.31
5,6,Arkansas,13,17,13,30,6,9,15,15,1.15
6,7,Ohio,14,17,20,37,11,13,24,13,0.93
7,8,Middle Tennessee,13,14,19,33,6,15,21,12,0.92
8,9,East Carolina,14,17,17,34,10,12,22,12,0.86
9,10,Southern Mississippi,13,15,12,27,11,6,17,10,0.77
10,10,Pittsburgh,13,9,15,24,6,8,14,10,0.77
11,12,UAB,12,11,11,22,5,8,13,9,0.75
12,13,Virginia Tech,13,13,11,24,10,5,15,9,0.69
13,13,Cincinnati,13,3,16,19,2,8,10,9,0.69
14,15,Texas,14,12,25,37,12,16,28,9,0.64
15,15,Navy,14,10,13,23,10,4,14,9,0.64
16,17,UCF,13,16,12,28,7,13,20,8,0.62
17,17,Wyoming,13,10,12,22,7,7,14,8,0.62
18,19,Indiana,12,13,16,29,7,15,22,7,0.58
19,19,Louisiana Tech,12,7,13,20,8,5,13,7,0.58
20,21,Georgia Tech,14,14,12,26,12,6,18,8,0.57
21,22,Northern Illinois,13,15,8,23,8,8,16,7,0.54
22,23,Florida,14,3,20,23,11,5,16,7,0.50
23,23,Kansas State,12,11,13,24,10,8,18,6,0.50
24,23,Utah State,12,9,12,21,11,4,15,6,0.50
25,26,UCLA,13,10,20,30,12,12,24,6,0.46
26,26,Penn State,13,9,14,23,7,10,17,6,0.46
27,28,Clemson,14,9,21,30,11,13,24,6,0.43
28,29,Army,12,11,13,24,14,5,19,5,0.42
29,29,Notre Dame,12,7,12,19,9,5,14,5,0.42
30,31,Utah,13,8,17,25,11,9,20,5,0.38
31,31,Oregon State,13,8,8,16,4,7,11,5,0.38
32,33,Nebraska,14,8,20,28,11,12,23,5,0.36
33,33,Central Michigan,14,9,11,20,6,9,15,5,0.36
34,35,Washington,12,15,8,23,8,11,19,4,0.33
35,36,Iowa State,13,17,15,32,11,17,28,4,0.31
36,36,Oklahoma,13,12,18,30,11,15,26,4,0.31
37,36,Temple,13,11,16,27,9,14,23,4,0.31
38,36,Missouri,13,15,8,23,8,11,19,4,0.31
39,36,California,13,10,11,21,9,8,17,4,0.31
40,36,Bowling Green,13,10,9,19,8,7,15,4,0.31
41,36,LSU,13,5,13,18,6,8,14,4,0.31
42,43,Louisiana-Lafayette,12,10,16,26,15,8,23,3,0.25
43,43,Vanderbilt,12,7,12,19,6,10,16,3,0.25
44,45,Northwestern,13,13,17,30,13,14,27,3,0.23
45,45,Wisconsin,13,12,15,27,12,12,24,3,0.23
46,45,Connecticut,13,13,12,25,9,13,22,3,0.23
47,45,Tennessee,13,14,10,24,7,14,21,3,0.23
48,49,Houston,14,18,11,29,11,15,26,3,0.21
49,50,Duke,12,10,8,18,6,10,16,2,0.17
50,51,Iowa,13,9,21,30,8,20,28,2,0.15
51,51,North Carolina,13,10,19,29,10,17,27,2,0.15
52,51,SMU,13,11,17,28,12,14,26,2,0.15
53,51,TCU,13,11,14,25,15,8,23,2,0.15
54,51,Oregon,13,11,14,25,16,7,23,2,0.15
55,51,Auburn,13,8,17,25,14,9,23,2,0.15
56,51,Kentucky,13,6,16,22,9,11,20,2,0.15
57,58,Florida State,13,13,14,27,13,13,26,1,0.08
58,58,Colorado State,12,8,11,19,3,15,18,1,0.08
59,58,Florida Atlantic,12,11,5,16,8,7,15,1,0.08
60,61,Oklahoma State,13,12,18,30,16,14,30,0,0.00
61,61,BYU,13,10,14,24,10,14,24,0,0.00
62,61,South Florida,13,10,13,23,11,12,23,0,0.00
63,61,USC,13,11,11,22,7,15,22,0,0.00
64,61,Miami (Florida),13,12,9,21,4,17,21,0,0.00
65,61,Virginia,12,8,12,20,12,8,20,0,0.00
66,61,Stanford,13,9,8,17,11,6,17,0,0.00
67,68,Minnesota,13,16,12,28,13,16,29,-1,-0.08
68,68,Texas A&M,13,10,12,22,15,8,23,-1,-0.08
