,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Oklahoma,13,128,1075,9.8,82.7
1,2,Florida International,12,103,904,8.6,75.3
2,3,Washington State,12,94,884,7.8,73.7
3,4,Baylor,12,93,879,7.8,73.3
4,5,Texas A&M,13,106,936,8.2,72.0
5,6,UNLV,12,92,859,7.7,71.6
6,7,Western Kentucky,12,89,813,7.4,67.8
7,8,Rice,12,94,812,7.8,67.7
8,8,Utah State,12,94,812,7.8,67.7
9,10,Idaho,13,96,872,7.4,67.1
10,11,Arizona State,12,89,799,7.4,66.6
11,12,Troy,13,107,863,8.2,66.4
12,12,North Carolina State,12,78,797,6.5,66.4
13,14,Bowling Green,13,91,862,7.0,66.3
14,15,Colorado,12,85,791,7.1,65.9
15,16,Texas,14,105,921,7.5,65.8
16,17,San Jose State,12,87,783,7.3,65.3
17,18,UTEP,12,84,770,7.0,64.2
18,19,Memphis,12,89,769,7.4,64.1
19,20,North Texas,12,80,752,6.7,62.7
20,21,Wyoming,13,100,814,7.7,62.6
21,22,Louisiana-Monroe,12,87,749,7.3,62.4
22,23,Texas Tech,13,96,801,7.4,61.6
23,24,BYU,13,92,796,7.1,61.2
24,24,Buffalo,12,84,734,7.0,61.2
25,26,Kansas State,12,74,733,6.2,61.1
26,27,Virginia,12,78,729,6.5,60.8
27,28,Florida Atlantic,12,82,719,6.8,59.9
28,29,Louisiana-Lafayette,12,88,718,7.3,59.8
29,29,SMU,13,78,778,6.0,59.8
30,31,Southern Mississippi,13,86,767,6.6,59.0
31,32,San Diego State,12,76,707,6.3,58.9
32,33,New Mexico,12,75,705,6.3,58.8
33,33,Wake Forest,12,70,706,5.8,58.8
34,35,Ball State,12,81,702,6.8,58.5
35,36,Kansas,12,72,701,6.0,58.4
36,37,Georgia,13,94,758,7.2,58.3
37,37,East Carolina,14,82,816,5.9,58.3
38,39,Missouri,13,91,754,7.0,58.0
39,40,UAB,12,79,695,6.6,57.9
40,41,Michigan State,13,91,750,7.0,57.7
41,41,Ohio,14,88,808,6.3,57.7
42,43,Colorado State,12,72,691,6.0,57.6
43,44,Marshall,13,86,745,6.6,57.3
44,45,TCU,13,82,738,6.3,56.8
45,46,California,13,84,733,6.5,56.4
46,47,Pittsburgh,13,88,732,6.8,56.3
47,48,Notre Dame,12,81,672,6.8,56.0
48,49,Boston College,13,80,724,6.2,55.7
