,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,BYU,13,169,94,55.62
1,2,Georgia Tech,14,199,104,52.26
2,3,Houston,14,191,98,51.31
3,4,Texas A&M,13,207,104,50.24
4,5,Central Michigan,14,184,92,50.00
5,6,Nevada,13,159,79,49.69
6,7,Florida,14,177,87,49.15
7,8,Penn State,13,182,88,48.35
8,9,Idaho,13,159,76,47.80
9,10,Wisconsin,13,180,85,47.22
10,11,Navy,14,196,91,46.43
11,12,UNLV,12,166,77,46.39
12,13,Florida State,13,160,74,46.25
13,14,Washington,12,169,78,46.15
14,15,Oregon State,13,183,84,45.90
15,16,Northwestern,13,221,101,45.70
16,17,Bowling Green,13,204,93,45.59
17,18,Texas,14,210,95,45.24
18,19,Hawai'i,13,149,67,44.97
19,20,Florida Atlantic,12,165,74,44.85
20,21,North Carolina State,12,154,69,44.81
21,22,Miami (Florida),13,177,79,44.63
22,23,Stanford,13,158,70,44.30
23,24,Air Force,13,226,100,44.25
24,24,Fresno State,13,174,77,44.25
25,26,Wake Forest,12,175,77,44.00
26,27,Tulane,12,167,73,43.71
27,28,East Carolina,14,209,91,43.54
28,29,Troy,13,184,80,43.48
29,30,Kansas,12,175,76,43.43
30,31,Northern Illinois,13,176,76,43.18
31,32,Pittsburgh,13,172,74,43.02
32,32,Virginia Tech,13,172,74,43.02
33,34,Louisiana-Monroe,12,170,73,42.94
34,35,Marshall,13,191,81,42.41
35,36,Louisiana-Lafayette,12,184,78,42.39
36,37,Purdue,12,177,75,42.37
37,38,San Diego State,12,168,71,42.26
38,39,West Virginia,13,173,73,42.20
39,40,North Texas,12,164,69,42.07
40,41,Ohio State,13,193,81,41.97
41,42,Southern Mississippi,13,174,73,41.95
42,43,Louisiana Tech,12,167,70,41.92
43,44,South Florida,13,172,72,41.86
44,45,Cincinnati,13,144,60,41.67
45,46,Texas Tech,13,173,72,41.62
46,47,Western Michigan,12,178,74,41.57
47,47,Buffalo,12,166,69,41.57
48,49,Mississippi,13,176,73,41.48
49,50,Arizona,13,186,77,41.40
50,51,Iowa State,13,191,79,41.36
51,52,Toledo,12,175,72,41.14
52,52,UTEP,12,158,65,41.14
53,54,Notre Dame,12,156,64,41.03
54,55,Connecticut,13,194,79,40.72
55,56,TCU,13,158,64,40.51
56,57,Auburn,13,177,71,40.11
57,58,Oklahoma,13,202,81,40.10
58,59,Tennessee,13,176,70,39.77
59,60,Michigan,12,166,66,39.76
60,61,Georgia,13,167,66,39.52
61,62,Alabama,14,194,76,39.18
62,63,Indiana,12,174,68,39.08
63,63,Illinois,12,174,68,39.08
64,65,Kentucky,13,193,75,38.86
65,65,Tulsa,12,175,68,38.86
66,67,Clemson,14,191,74,38.74
67,68,Miami (Ohio),12,184,71,38.59
68,69,Nebraska,14,201,77,38.31
69,70,Iowa,13,183,70,38.25
70,71,LSU,13,160,61,38.13
71,72,Utah,13,187,71,37.97
72,73,Boise State,14,174,66,37.93
73,74,Eastern Michigan,12,172,65,37.79
74,75,UCF,13,178,67,37.64
75,76,Duke,12,182,68,37.36
76,77,South Carolina,13,188,70,37.23
77,78,North Carolina,13,186,69,37.10
78,79,UAB,12,141,52,36.88
79,80,Oklahoma State,13,179,66,36.87
80,81,Louisville,12,171,63,36.84
81,82,Missouri,13,185,68,36.76
82,83,Maryland,12,186,68,36.56
83,84,Michigan State,13,170,62,36.47
84,85,Temple,13,171,62,36.26
85,86,California,13,177,64,36.16
86,87,Utah State,12,181,65,35.91
87,88,Colorado,12,190,68,35.79
88,89,USC,13,157,56,35.67
89,90,Vanderbilt,12,192,68,35.42
90,91,Middle Tennessee,13,209,74,35.41
91,92,Baylor,12,167,59,35.33
92,92,Memphis,12,167,59,35.33
93,92,Colorado State,12,150,53,35.33
94,95,Oregon,13,168,59,35.12
95,96,Wyoming,13,206,72,34.95
96,97,Florida International,12,192,67,34.90
97,98,Virginia,12,178,61,34.27
98,99,Rutgers,13,184,63,34.24
99,100,Kansas State,12,164,56,34.15
100,101,Minnesota,13,179,61,34.08
101,102,UCLA,13,185,63,34.05
102,103,Ball State,12,165,56,33.94
103,104,Mississippi State,12,160,54,33.75
104,105,Arkansas,13,162,54,33.33
105,105,Arkansas State,12,144,48,33.33
106,107,San Jose State,12,166,55,33.13
107,108,Ohio,14,193,62,32.12
108,109,Akron,12,150,48,32.00
109,110,Syracuse,12,148,47,31.76
110,111,Western Kentucky,12,147,46,31.29
111,112,SMU,13,161,50,31.06
112,113,Rice,12,182,56,30.77
113,113,Arizona State,12,169,52,30.77
114,115,New Mexico State,13,181,55,30.39
115,116,Boston College,13,172,52,30.23
116,117,New Mexico,12,186,56,30.11
117,118,Kent State,12,166,48,28.92
118,119,Army,12,173,50,28.90
119,120,Washington State,12,168,40,23.81
