,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Houston,14,1852,6033,1150,7885,6.86,563.2
1,2,Nevada,13,4484,2089,900,6573,7.30,505.6
2,3,Troy,13,1939,4375,973,6314,6.49,485.7
3,4,Texas Tech,13,1092,5028,988,6120,6.19,470.8
4,5,Texas A&M,13,2394,3661,1053,6055,5.75,465.8
5,6,Florida,14,3105,3305,919,6410,6.97,457.9
6,7,TCU,13,3098,2823,921,5921,6.43,455.5
7,8,Notre Dame,12,1539,3882,848,5421,6.39,451.8
8,9,Idaho,13,2136,3727,852,5863,6.88,451.0
9,10,Boise State,14,2606,3698,966,6304,6.53,450.3
10,11,Cincinnati,13,1803,4014,833,5817,6.98,447.5
11,12,Utah State,12,2311,2961,872,5272,6.05,439.3
12,13,Toledo,12,1918,3337,853,5255,6.16,437.9
13,14,Hawai'i,13,1306,4381,861,5687,6.61,437.5
14,15,Florida Atlantic,12,1828,3356,878,5184,5.90,432.0
15,16,Auburn,13,2756,2857,914,5613,6.14,431.8
16,17,Fresno State,13,2976,2621,876,5597,6.39,430.5
17,18,Stanford,13,2837,2722,850,5559,6.54,427.6
18,19,Arkansas,13,1713,3842,834,5555,6.66,427.3
19,20,BYU,13,1894,3657,889,5551,6.24,427.0
20,21,UTEP,12,1813,3309,822,5122,6.23,426.8
21,22,UAB,12,2759,2352,754,5111,6.78,425.9
22,23,Central Michigan,14,2357,3577,996,5934,5.96,423.9
23,24,Oklahoma,13,1750,3760,1004,5510,5.49,423.8
24,25,Kansas,12,1345,3724,885,5069,5.73,422.4
25,26,Georgia Tech,14,4136,1774,960,5910,6.16,422.1
26,27,Middle Tennessee,13,2418,3064,955,5482,5.74,421.7
27,28,Texas,14,2066,3831,1053,5897,5.60,421.2
28,29,Florida State,13,1943,3523,859,5466,6.36,420.5
29,30,Wisconsin,13,2650,2770,921,5420,5.88,416.9
30,31,Southern Mississippi,13,2358,3055,904,5413,5.99,416.4
31,32,Missouri,13,1651,3711,911,5362,5.89,412.5
32,33,Oregon,13,3012,2344,885,5356,6.05,412.0
33,34,Oregon State,13,1818,3520,918,5338,5.81,410.6
34,35,Tulsa,12,1809,3112,869,4921,5.66,410.1
35,36,North Texas,12,2223,2681,833,4904,5.89,408.7
36,37,Penn State,13,2207,3083,864,5290,6.12,406.9
37,38,Michigan State,13,1779,3502,842,5281,6.27,406.2
38,39,Buffalo,12,1962,2903,836,4865,5.82,405.4
39,40,Northwestern,13,1532,3725,1034,5257,5.08,404.4
40,41,Mississippi,13,2402,2844,879,5246,5.97,403.5
41,42,Wake Forest,12,1582,3259,846,4841,5.72,403.4
42,43,Alabama,14,3011,2631,947,5642,5.96,403.0
43,44,Bowling Green,13,1125,4110,956,5235,5.48,402.7
44,45,Miami (Florida),13,1794,3405,879,5199,5.91,399.9
45,46,North Carolina State,12,1451,3275,840,4726,5.63,393.8
46,47,Illinois,12,2405,2317,827,4722,5.71,393.5
47,48,Louisiana-Monroe,12,2207,2501,817,4708,5.76,392.3
48,49,Virginia Tech,13,2706,2391,822,5097,6.20,392.1
49,50,California,13,2201,2895,865,5096,5.89,392.0
50,51,SMU,13,1427,3666,850,5093,5.99,391.8
51,52,Pittsburgh,13,2344,2747,817,5091,6.23,391.6
52,53,Purdue,12,1633,3063,837,4696,5.61,391.3
53,54,Utah,13,2084,2980,890,5064,5.69,389.5
54,55,USC,13,2168,2890,817,5058,6.19,389.1
55,56,Connecticut,13,2219,2815,903,5034,5.57,387.2
56,57,Western Michigan,12,1317,3306,873,4623,5.30,385.3
57,58,Michigan,12,2234,2380,823,4614,5.61,384.5
58,58,Arizona,13,2073,2926,914,4999,5.47,384.5
59,60,Tennessee,13,2045,2942,877,4987,5.69,383.6
60,61,West Virginia,13,2423,2484,855,4907,5.74,377.5
61,62,Washington,12,1668,2838,787,4506,5.73,375.5
62,63,Memphis,12,1905,2572,840,4477,5.33,373.1
63,64,Louisiana Tech,12,2210,2257,819,4467,5.45,372.3
64,65,Air Force,13,3685,1149,968,4834,4.99,371.8
65,66,East Carolina,14,2129,3043,981,5172,5.27,369.4
66,67,Ohio State,13,2547,2250,879,4797,5.46,369.0
67,68,Duke,12,762,3660,840,4422,5.26,368.5
68,69,Mississippi State,12,2695,1717,818,4412,5.39,367.7
69,70,Oklahoma State,13,2441,2333,891,4774,5.36,367.2
70,71,South Florida,13,2222,2531,805,4753,5.90,365.6
71,72,Indiana,12,1405,2976,809,4381,5.42,365.1
72,73,Iowa State,13,2338,2403,896,4741,5.29,364.7
73,74,Clemson,14,2385,2688,886,5073,5.73,362.4
74,75,Georgia,13,2093,2615,793,4708,5.94,362.2
75,76,Louisiana-Lafayette,12,1643,2698,866,4341,5.01,361.8
76,77,Navy,14,3927,1058,930,4985,5.36,356.1
77,78,UNLV,12,1522,2693,806,4215,5.23,351.3
78,79,Colorado State,12,1731,2479,740,4210,5.69,350.8
79,80,Kansas State,12,2159,2033,802,4192,5.23,349.3
80,81,Marshall,13,1855,2683,875,4538,5.19,349.1
81,82,South Carolina,13,1576,2940,875,4516,5.16,347.4
82,83,Northern Illinois,13,2548,1950,804,4498,5.59,346.0
83,84,Miami (Ohio),12,841,3281,886,4122,4.65,343.5
84,85,Baylor,12,1207,2908,777,4115,5.30,342.9
85,86,San Diego State,12,940,3163,776,4103,5.29,341.9
86,87,UCF,13,1697,2734,859,4431,5.16,340.8
87,88,UCLA,13,1490,2896,857,4386,5.12,337.4
88,89,Iowa,13,1485,2887,846,4372,5.17,336.3
89,90,Arizona State,12,1442,2582,800,4024,5.03,335.3
90,91,Louisville,12,1502,2507,789,4009,5.08,334.1
91,92,Temple,13,2431,1904,831,4335,5.22,333.5
92,93,Kentucky,13,2486,1824,877,4310,4.91,331.5
93,94,Syracuse,12,1519,2446,775,3965,5.12,330.4
94,95,Arkansas State,12,1623,2323,758,3946,5.21,328.8
95,96,Kent State,12,1375,2557,786,3932,5.00,327.7
96,97,Rutgers,13,1747,2495,811,4242,5.23,326.3
97,98,Boston College,13,1788,2423,823,4211,5.12,323.9
98,99,Nebraska,14,2059,2460,876,4519,5.16,322.8
99,100,Western Kentucky,12,2085,1775,757,3860,5.10,321.7
100,100,Florida International,12,1260,2600,855,3860,4.51,321.7
101,102,Maryland,12,1266,2520,801,3786,4.73,315.5
102,103,New Mexico,12,1203,2581,831,3784,4.55,315.3
103,104,Colorado,12,1055,2717,852,3772,4.43,314.3
104,105,Tulane,12,1270,2486,768,3756,4.89,313.0
105,106,Ohio,14,1587,2774,856,4361,5.09,311.5
106,107,Wyoming,13,1770,2252,906,4022,4.44,309.4
107,108,North Carolina,13,1727,2274,845,4001,4.73,307.8
108,109,Vanderbilt,12,1920,1766,803,3686,4.59,307.2
109,110,Minnesota,13,1293,2691,815,3984,4.89,306.5
110,111,Rice,12,1311,2344,858,3655,4.26,304.6
111,112,LSU,13,1596,2363,771,3959,5.13,304.5
112,113,Akron,12,1421,2190,735,3611,4.91,300.9
113,114,Ball State,12,1913,1613,749,3526,4.71,293.8
114,115,San Jose State,12,920,2488,754,3408,4.52,284.0
115,116,Eastern Michigan,12,1518,1825,747,3343,4.48,278.6
116,117,Army,12,2443,861,754,3304,4.38,275.3
117,118,Virginia,12,1189,2046,773,3235,4.18,269.6
118,119,Washington State,12,848,2115,726,2963,4.08,246.9
119,120,New Mexico State,13,1843,1141,772,2984,3.87,229.5
