,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Nevada,13,607,4484,7.39,48,46.69,344.92
1,2,Georgia Tech,14,792,4136,5.22,47,56.57,295.43
2,3,Air Force,13,815,3685,4.52,31,62.69,283.46
3,4,Navy,14,820,3927,4.79,44,58.57,280.50
4,5,TCU,13,595,3098,5.21,35,45.77,238.31
5,6,Oregon,13,547,3012,5.51,38,42.08,231.69
6,7,UAB,12,463,2759,5.96,17,38.58,229.92
7,8,Fresno State,13,555,2976,5.36,30,42.69,228.92
8,9,Mississippi State,12,553,2695,4.87,21,46.08,224.58
9,10,Florida,14,555,3105,5.59,30,39.64,221.79
10,11,Stanford,13,537,2837,5.28,39,41.31,218.23
11,12,Alabama,14,601,3011,5.01,31,42.93,215.07
12,13,Auburn,13,550,2756,5.01,24,42.31,212.00
13,14,Virginia Tech,13,573,2706,4.72,33,44.08,208.15
14,15,Wisconsin,13,581,2650,4.56,33,44.69,203.85
15,16,Army,12,593,2443,4.12,13,49.42,203.58
16,17,Illinois,12,497,2405,4.84,22,41.42,200.42
17,18,Northern Illinois,13,530,2548,4.81,27,40.77,196.00
18,19,Ohio State,13,564,2547,4.52,20,43.38,195.92
19,20,Utah State,12,496,2311,4.66,25,41.33,192.58
20,21,Kentucky,13,551,2486,4.51,26,42.38,191.23
21,22,Oklahoma State,13,555,2441,4.40,22,42.69,187.77
22,23,Temple,13,551,2431,4.41,29,42.38,187.00
23,24,West Virginia,13,508,2423,4.77,29,39.08,186.38
24,25,Michigan,12,494,2234,4.52,27,41.17,186.17
25,26,Boise State,14,508,2606,5.13,30,36.29,186.14
26,27,Middle Tennessee,13,519,2418,4.66,22,39.92,186.00
27,28,North Texas,12,420,2223,5.29,27,35.00,185.25
28,29,Mississippi,13,502,2402,4.78,22,38.62,184.77
29,30,Louisiana Tech,12,499,2210,4.43,20,41.58,184.17
30,31,Texas A&M,13,544,2394,4.40,25,41.85,184.15
31,32,Louisiana-Monroe,12,488,2207,4.52,21,40.67,183.92
32,33,Southern Mississippi,13,513,2358,4.60,23,39.46,181.38
33,34,Pittsburgh,13,479,2344,4.89,25,36.85,180.31
34,35,Kansas State,12,504,2159,4.28,22,42.00,179.92
35,36,Iowa State,13,515,2338,4.54,16,39.62,179.85
36,37,Western Kentucky,12,444,2085,4.70,18,37.00,173.75
37,38,South Florida,13,508,2222,4.37,22,39.08,170.92
38,39,Connecticut,13,528,2219,4.20,30,40.62,170.69
39,40,Clemson,14,496,2385,4.81,24,35.43,170.36
40,41,Penn State,13,467,2207,4.73,20,35.92,169.77
41,42,California,13,472,2201,4.66,27,36.31,169.31
42,43,Central Michigan,14,518,2357,4.55,29,37.00,168.36
43,44,USC,13,438,2168,4.95,24,33.69,166.77
44,45,Idaho,13,456,2136,4.68,25,35.08,164.31
45,46,Buffalo,12,434,1962,4.52,16,36.17,163.50
46,47,Georgia,13,447,2093,4.68,17,34.38,161.00
47,48,Utah,13,485,2084,4.30,23,37.31,160.31
48,49,Vanderbilt,12,451,1920,4.26,12,37.58,160.00
49,50,Toledo,12,409,1918,4.69,23,34.08,159.83
50,51,Arizona,13,430,2073,4.82,19,33.08,159.46
51,52,Ball State,12,436,1913,4.39,14,36.33,159.42
52,53,Memphis,12,438,1905,4.35,20,36.50,158.75
53,54,Tennessee,13,476,2045,4.30,19,36.62,157.31
54,55,Florida Atlantic,12,433,1828,4.22,17,36.08,152.33
55,56,East Carolina,14,529,2129,4.02,24,37.79,152.07
56,57,UTEP,12,401,1813,4.52,27,33.42,151.08
57,58,Tulsa,12,480,1809,3.77,19,40.00,150.75
58,59,Florida State,13,422,1943,4.60,27,32.46,149.46
59,60,Troy,13,444,1939,4.37,29,34.15,149.15
60,61,Texas,14,513,2066,4.03,28,36.64,147.57
61,62,Nebraska,14,512,2059,4.02,20,36.57,147.07
62,63,BYU,13,470,1894,4.03,26,36.15,145.69
63,64,Colorado State,12,416,1731,4.16,15,34.67,144.25
64,65,Marshall,13,471,1855,3.94,18,36.23,142.69
65,66,New Mexico State,13,503,1843,3.66,10,38.69,141.77
66,67,Oregon State,13,440,1818,4.13,26,33.85,139.85
67,68,Washington,12,390,1668,4.28,13,32.50,139.00
68,69,Cincinnati,13,361,1803,4.99,23,27.77,138.69
69,70,Miami (Florida),13,463,1794,3.87,21,35.62,138.00
70,71,Boston College,13,473,1788,3.78,17,36.38,137.54
71,72,Louisiana-Lafayette,12,460,1643,3.57,19,38.33,136.92
72,73,Michigan State,13,419,1779,4.25,16,32.23,136.85
73,74,Wyoming,13,496,1770,3.57,14,38.15,136.15
74,75,Purdue,12,388,1633,4.21,17,32.33,136.08
75,76,Arkansas State,12,428,1623,3.79,21,35.67,135.25
76,77,Oklahoma,13,485,1750,3.61,18,37.31,134.62
77,78,Rutgers,13,484,1747,3.61,21,37.23,134.38
78,79,North Carolina,13,477,1727,3.62,14,36.69,132.85
79,80,Houston,14,406,1852,4.56,23,29.00,132.29
80,81,Wake Forest,12,429,1582,3.69,13,35.75,131.83
81,82,Arkansas,13,395,1713,4.34,23,30.38,131.77
82,83,UCF,13,480,1697,3.54,20,36.92,130.54
83,84,Notre Dame,12,401,1539,3.84,13,33.42,128.25
84,85,Missouri,13,444,1651,3.72,15,34.15,127.00
85,86,UNLV,12,389,1522,3.91,20,32.42,126.83
86,87,Syracuse,12,421,1519,3.61,15,35.08,126.58
87,88,Eastern Michigan,12,420,1518,3.61,15,35.00,126.50
88,89,Louisville,12,424,1502,3.54,15,35.33,125.17
89,90,LSU,13,435,1596,3.67,15,33.46,122.77
90,91,South Carolina,13,435,1576,3.62,12,33.46,121.23
91,92,North Carolina State,12,419,1451,3.46,15,34.92,120.92
92,93,Arizona State,12,381,1442,3.78,14,31.75,120.17
93,94,Akron,12,393,1421,3.62,13,32.75,118.42
94,95,Northwestern,13,503,1532,3.05,18,38.69,117.85
95,96,Indiana,12,369,1405,3.81,15,30.75,117.08
96,97,UCLA,13,421,1490,3.54,12,32.38,114.62
97,98,Kent State,12,393,1375,3.50,9,32.75,114.58
98,99,Iowa,13,454,1485,3.27,13,34.92,114.23
99,100,Ohio,14,454,1587,3.50,9,32.43,113.36
100,101,Kansas,12,379,1345,3.55,20,31.58,112.08
101,102,SMU,13,378,1427,3.78,23,29.08,109.77
102,103,Western Michigan,12,345,1317,3.82,13,28.75,109.75
103,104,Rice,12,406,1311,3.23,14,33.83,109.25
104,105,Tulane,12,395,1270,3.22,10,32.92,105.83
105,106,Maryland,12,409,1266,3.10,13,34.08,105.50
106,107,Florida International,12,422,1260,2.99,19,35.17,105.00
107,108,Baylor,12,346,1207,3.49,16,28.83,100.58
108,109,Hawai'i,13,292,1306,4.47,12,22.46,100.46
109,110,New Mexico,12,361,1203,3.33,8,30.08,100.25
110,111,Minnesota,13,430,1293,3.01,13,33.08,99.46
111,112,Virginia,12,410,1189,2.90,15,34.17,99.08
112,113,Colorado,12,379,1055,2.78,14,31.58,87.92
113,114,Bowling Green,13,360,1125,3.13,19,27.69,86.54
114,115,Texas Tech,13,319,1092,3.42,24,24.54,84.00
115,116,San Diego State,12,328,940,2.87,8,27.33,78.33
116,117,San Jose State,12,351,920,2.62,8,29.25,76.67
117,118,Washington State,12,354,848,2.40,5,29.50,70.67
118,119,Miami (Ohio),12,352,841,2.39,9,29.33,70.08
119,120,Duke,12,339,762,2.25,6,28.25,63.50
