,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Houston,14,744,522,70.2,6033,8.1,47,15,155.10,53.1,430.9
1,2,Texas Tech,13,669,448,67.0,5028,7.5,38,17,143.76,51.5,386.8
2,3,Hawai'i,13,569,339,59.6,4381,7.7,25,17,132.77,43.8,337.0
3,4,Troy,13,529,333,62.9,4375,8.3,24,10,143.61,40.7,336.5
4,5,Notre Dame,12,447,301,67.3,3882,8.7,30,5,160.20,37.3,323.5
5,6,Bowling Green,13,596,381,63.9,4110,6.9,27,7,134.46,45.8,316.2
6,7,Kansas,12,506,320,63.2,3724,7.4,22,10,135.46,42.2,310.3
7,8,Cincinnati,13,472,311,65.9,4014,8.5,39,8,161.20,36.3,308.8
8,9,Duke,12,501,308,61.5,3660,7.3,24,10,134.66,41.8,305.0
9,10,Arkansas,13,439,247,56.3,3842,8.8,32,9,149.73,33.8,295.5
10,11,Oklahoma,13,519,300,57.8,3760,7.2,28,15,130.68,39.9,289.2
11,12,Idaho,13,396,240,60.6,3727,9.4,28,15,155.42,30.5,286.7
12,13,Northwestern,13,531,342,64.4,3725,7.0,20,14,130.50,40.8,286.5
13,14,Missouri,13,467,274,58.7,3711,7.9,26,11,139.08,35.9,285.5
14,15,SMU,13,472,286,60.6,3666,7.8,22,14,135.28,36.3,282.0
15,16,Texas A&M,13,509,302,59.3,3661,7.2,30,8,136.06,39.2,281.6
16,17,BYU,13,419,282,67.3,3657,8.7,34,14,160.72,32.2,281.3
17,18,Florida Atlantic,12,445,257,57.8,3356,7.5,26,7,137.23,37.1,279.7
18,19,Toledo,12,444,270,60.8,3337,7.5,21,16,132.34,37.0,278.1
19,20,UTEP,12,421,228,54.2,3309,7.9,17,13,127.33,35.1,275.8
20,21,Western Michigan,12,528,317,60.0,3306,6.3,24,14,122.33,44.0,275.5
21,22,Texas,14,540,362,67.0,3831,7.1,29,16,138.42,38.6,273.6
22,23,Miami (Ohio),12,534,317,59.4,3281,6.1,15,21,112.37,44.5,273.4
23,24,North Carolina State,12,421,248,58.9,3275,7.8,32,13,143.15,35.1,272.9
24,25,Wake Forest,12,417,273,65.5,3259,7.8,26,12,145.94,34.8,271.6
25,26,Florida State,13,437,296,67.7,3523,8.1,16,13,141.59,33.6,271.0
26,27,Oregon State,13,478,319,66.7,3520,7.4,23,7,141.55,36.8,270.8
27,28,Michigan State,13,423,251,59.3,3502,8.3,28,12,145.05,32.5,269.4
28,29,Boise State,14,458,294,64.2,3698,8.1,40,3,159.52,32.7,264.1
29,30,San Diego State,12,448,246,54.9,3163,7.1,25,16,125.48,37.3,263.6
30,31,Miami (Florida),13,416,246,59.1,3405,8.2,25,17,139.55,32.0,261.9
