,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,Texas,14,25,349,4,1.79
1,2,Ohio State,13,24,337,2,1.85
2,2,Alabama,14,24,319,2,1.71
3,2,Boise State,14,24,293,4,1.71
4,5,Iowa,13,21,307,1,1.62
5,5,Clemson,14,21,342,1,1.50
6,7,Air Force,13,20,265,3,1.54
7,7,UCLA,13,20,247,3,1.54
8,7,Ohio,14,20,338,3,1.43
9,7,Nebraska,14,20,296,2,1.43
10,7,Florida,14,20,199,3,1.43
11,12,North Carolina,13,19,508,4,1.46
12,12,Middle Tennessee,13,19,311,2,1.46
13,14,Oklahoma,13,18,225,1,1.38
14,14,Oklahoma State,13,18,136,2,1.38
15,16,Mississippi State,12,17,417,5,1.42
16,16,Auburn,13,17,243,4,1.31
17,16,West Virginia,13,17,235,1,1.31
18,16,Utah,13,17,214,3,1.31
19,16,SMU,13,17,166,1,1.31
20,16,Northwestern,13,17,123,1,1.31
21,16,East Carolina,14,17,283,2,1.21
22,23,Indiana,12,16,255,0,1.33
23,23,Louisiana-Lafayette,12,16,180,1,1.33
24,23,Temple,13,16,362,2,1.23
25,23,Kentucky,13,16,258,3,1.23
26,23,Cincinnati,13,16,189,0,1.23
27,28,Arizona State,12,15,228,2,1.25
28,28,Kent State,12,15,76,0,1.25
29,28,Rutgers,13,15,239,4,1.15
30,28,Boston College,13,15,155,1,1.15
31,28,Iowa State,13,15,133,0,1.15
32,28,Pittsburgh,13,15,129,1,1.15
33,28,Wisconsin,13,15,26,0,1.15
34,35,Penn State,13,14,276,1,1.08
35,35,Florida State,13,14,251,3,1.08
36,35,BYU,13,14,247,0,1.08
37,35,Oregon,13,14,159,2,1.08
38,35,TCU,13,14,140,3,1.08
39,40,Louisiana Tech,12,13,307,4,1.08
40,40,Army,12,13,197,1,1.08
41,40,Akron,12,13,180,2,1.08
42,40,Kansas State,12,13,131,1,1.08
43,40,Louisiana-Monroe,12,13,116,0,1.08
44,40,Mississippi,13,13,260,2,1.00
45,40,Arkansas,13,13,222,2,1.00
46,40,South Florida,13,13,198,1,1.00
47,40,LSU,13,13,144,2,1.00
48,40,Navy,14,13,204,0,0.93
49,50,Eastern Michigan,12,12,178,0,1.00
50,50,Virginia,12,12,171,2,1.00
51,50,Notre Dame,12,12,132,0,1.00
52,50,Utah State,12,12,103,0,1.00
53,50,Vanderbilt,12,12,93,0,1.00
54,50,Purdue,12,12,89,0,1.00
55,50,Toledo,12,12,69,0,1.00
56,50,Texas A&M,13,12,192,0,0.92
57,50,Minnesota,13,12,158,0,0.92
58,50,Arizona,13,12,148,2,0.92
59,50,UCF,13,12,138,1,0.92
60,50,Southern Mississippi,13,12,84,0,0.92
61,50,Connecticut,13,12,77,1,0.92
62,50,Hawai'i,13,12,69,0,0.92
63,50,Wyoming,13,12,14,0,0.92
64,50,Georgia Tech,14,12,135,1,0.86
65,66,UAB,12,11,264,3,0.92
66,66,Colorado State,12,11,227,1,0.92
67,66,UTEP,12,11,198,1,0.92
68,66,San Diego State,12,11,177,1,0.92
69,66,Michigan,12,11,80,1,0.92
70,66,USC,13,11,230,2,0.85
71,66,California,13,11,159,2,0.85
72,66,Virginia Tech,13,11,80,1,0.85
73,66,Houston,14,11,170,2,0.79
74,66,Central Michigan,14,11,128,1,0.79
75,76,Baylor,12,10,211,3,0.83
76,76,Washington State,12,10,209,2,0.83
77,76,Maryland,12,10,208,1,0.83
78,76,Ball State,12,10,127,0,0.83
79,76,Western Michigan,12,10,98,0,0.83
80,76,Florida International,12,10,95,1,0.83
81,76,Louisville,12,10,53,1,0.83
82,76,Georgia,13,10,135,1,0.77
83,76,Troy,13,10,131,1,0.77
84,76,Tennessee,13,10,86,2,0.77
85,76,Texas Tech,13,10,49,0,0.77
86,87,Wake Forest,12,9,154,1,0.75
87,87,Memphis,12,9,135,0,0.75
88,87,Colorado,12,9,131,1,0.75
89,87,Tulsa,12,9,121,0,0.75
90,87,Syracuse,12,9,77,0,0.75
91,87,Bowling Green,13,9,141,1,0.69
92,87,Marshall,13,9,106,0,0.69
93,87,Miami (Florida),13,9,89,1,0.69
94,95,Arkansas State,12,8,223,1,0.67
95,95,Washington,12,8,169,1,0.67
96,95,Duke,12,8,162,2,0.67
97,95,North Carolina State,12,8,65,0,0.67
98,95,Northern Illinois,13,8,197,2,0.62
99,95,Fresno State,13,8,167,3,0.62
100,95,Stanford,13,8,152,2,0.62
101,95,Missouri,13,8,102,1,0.62
102,95,Oregon State,13,8,55,0,0.62
103,95,Nevada,13,8,22,0,0.62
104,105,Buffalo,12,7,182,0,0.58
105,105,North Texas,12,7,92,0,0.58
106,105,Kansas,12,7,90,1,0.58
107,105,New Mexico,12,7,31,1,0.58
108,105,Idaho,13,7,123,1,0.54
109,105,New Mexico State,13,7,97,1,0.54
110,111,San Jose State,12,6,139,0,0.50
111,111,Western Kentucky,12,6,74,0,0.50
112,111,Miami (Ohio),12,6,62,1,0.50
113,111,Rice,12,6,37,0,0.50
114,111,South Carolina,13,6,113,1,0.46
115,111,Michigan State,13,6,65,1,0.46
116,117,Illinois,12,5,175,1,0.42
117,117,Tulane,12,5,54,0,0.42
118,117,Florida Atlantic,12,5,51,1,0.42
119,117,UNLV,12,5,40,1,0.42
