,Rank,Name,G,Fumbles,Fumbles Lost,Fumble Lost %
0,1,Cincinnati,13,11,2,18.18
1,2,Colorado State,12,12,3,25.00
2,3,Rutgers,13,12,4,33.33
3,3,Miami (Florida),13,13,4,30.77
4,3,Oregon State,13,15,4,26.67
5,6,UAB,12,11,5,45.45
6,6,UNLV,12,11,5,45.45
7,8,Central Michigan,14,9,6,66.67
8,8,Duke,12,14,6,42.86
9,8,LSU,13,17,6,35.29
10,8,Pittsburgh,13,18,6,33.33
11,8,Arkansas,13,18,6,33.33
12,8,Vanderbilt,12,22,6,27.27
13,8,Middle Tennessee,13,25,6,24.00
14,15,UCF,13,14,7,50.00
15,15,Indiana,12,15,7,46.67
16,15,USC,13,15,7,46.67
17,15,Wake Forest,12,15,7,46.67
18,15,Tennessee,13,16,7,43.75
19,15,Alabama,14,16,7,43.75
20,15,Baylor,12,17,7,41.18
21,15,Wyoming,13,17,7,41.18
22,15,Penn State,13,18,7,38.89
23,15,Ohio State,13,18,7,38.89
24,25,Iowa,13,11,8,72.73
25,25,Washington,12,13,8,61.54
26,25,Idaho,13,15,8,53.33
27,25,Michigan State,13,15,8,53.33
28,25,Arizona,13,15,8,53.33
29,25,Northern Illinois,13,16,8,50.00
30,25,Boston College,13,17,8,47.06
31,25,Bowling Green,13,18,8,44.44
32,25,Missouri,13,18,8,44.44
33,25,Florida Atlantic,12,22,8,36.36
34,25,Illinois,12,23,8,34.78
35,25,UTEP,12,23,8,34.78
36,25,Louisiana Tech,12,24,8,33.33
37,25,Louisiana-Monroe,12,26,8,30.77
38,39,Louisville,12,12,9,75.00
39,39,Kentucky,13,16,9,56.25
40,39,San Diego State,12,17,9,52.94
41,39,Notre Dame,12,19,9,47.37
42,39,Connecticut,13,20,9,45.00
43,39,Air Force,13,21,9,42.86
44,39,California,13,22,9,40.91
45,39,Marshall,13,23,9,39.13
46,39,Florida International,12,23,9,39.13
47,39,Temple,13,25,9,36.00
48,49,North Carolina,13,15,10,66.67
49,49,BYU,13,17,10,58.82
50,49,Eastern Michigan,12,17,10,58.82
51,49,East Carolina,14,18,10,55.56
52,49,Virginia Tech,13,19,10,52.63
53,49,Mississippi,13,20,10,50.00
54,49,New Mexico State,13,20,10,50.00
55,49,San Jose State,12,20,10,50.00
56,49,Buffalo,12,21,10,47.62
57,49,Navy,14,22,10,45.45
58,49,Kansas State,12,23,10,43.48
59,49,Rice,12,24,10,41.67
60,61,Akron,12,16,11,68.75
61,61,Florida,14,17,11,64.71
62,61,Houston,14,18,11,61.11
63,61,Iowa State,13,19,11,57.89
64,61,Southern Mississippi,13,19,11,57.89
65,61,Nebraska,14,21,11,52.38
66,61,Boise State,14,22,11,50.00
67,61,Georgia,13,23,11,47.83
68,61,New Mexico,12,23,11,47.83
69,61,Ohio,14,23,11,47.83
70,61,South Florida,13,24,11,45.83
71,61,Memphis,12,24,11,45.83
72,61,South Carolina,13,24,11,45.83
73,61,Utah State,12,25,11,44.00
74,61,Stanford,13,25,11,44.00
75,61,Clemson,14,26,11,42.31
76,61,Oklahoma,13,26,11,42.31
77,61,Utah,13,31,11,35.48
78,79,Texas,14,17,12,70.59
79,79,Kent State,12,20,12,60.00
80,79,Kansas,12,20,12,60.00
81,79,Wisconsin,13,20,12,60.00
82,79,SMU,13,21,12,57.14
83,79,Ball State,12,21,12,57.14
84,79,North Texas,12,21,12,57.14
85,79,Virginia,12,21,12,57.14
86,79,Tulane,12,22,12,54.55
87,79,North Carolina State,12,23,12,52.17
88,79,Syracuse,12,25,12,48.00
89,79,Arkansas State,12,27,12,44.44
90,79,UCLA,13,32,12,37.50
91,79,Georgia Tech,14,34,12,35.29
92,93,Northwestern,13,17,13,76.47
93,93,Minnesota,13,20,13,65.00
94,93,Tulsa,12,22,13,59.09
95,93,Mississippi State,12,23,13,56.52
96,93,Florida State,13,26,13,50.00
97,93,Colorado,12,27,13,48.15
98,93,Texas Tech,13,27,13,48.15
99,93,Michigan,12,29,13,44.83
100,101,Fresno State,13,20,14,70.00
101,101,Maryland,12,23,14,60.87
102,101,Western Michigan,12,23,14,60.87
103,101,Arizona State,12,25,14,56.00
104,101,Auburn,13,28,14,50.00
105,101,Army,12,34,14,41.18
106,107,Purdue,12,22,15,68.18
107,107,Nevada,13,22,15,68.18
108,107,West Virginia,13,25,15,60.00
109,107,Louisiana-Lafayette,12,26,15,57.69
110,107,Miami (Ohio),12,26,15,57.69
111,107,Texas A&M,13,27,15,55.56
112,107,TCU,13,27,15,55.56
113,107,Washington State,12,27,15,55.56
114,107,Toledo,12,28,15,53.57
115,116,Western Kentucky,12,24,16,66.67
116,116,Oregon,13,27,16,59.26
117,116,Oklahoma State,13,28,16,57.14
118,116,Hawai'i,13,29,16,55.17
119,120,Troy,13,28,17,60.71
